badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-129491894,Cranebrook,NSW,2749,17-19 Stilt Avenue,"17-19 Stilt Avenue, Cranebrook, NSW 2749",700000,"$700,000",house,1,1,2,,,1315.0,m²,XRWPEN,Ray White - Nepean Group,,,30 Oct 2018,house,,1315.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-131296098,Cranebrook,NSW,2749,117 Lakeview  Drive,"117 Lakeview  Drive, Cranebrook, NSW 2749",387000,"$387,000",house,1,1,1,,,-1.0,,THNPEN,Professionals - Penrith,,,27 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-112578223,Cranebrook,NSW,2749,113 Gannet Place,"113 Gannet Place, Cranebrook, NSW 2749",288000,"$288,000",house,1,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,09 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-106627463,Cranebrook,NSW,2749,,,250000,"$250,000",house,1,1,2,,,588.0,m²,XRHSTM,Raine & Horne - St Marys,,,01 Oct 2010,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-105752875,Cranebrook,NSW,2749,12-17 Castlereagh Road,"12-17 Castlereagh Road, Cranebrook, NSW 2749",418000,"$418,000",house,1,2,0,,,2000.0,m²,JIAPEN,Jim Aitken + Partners - Penrith,,,15 Oct 2009,house,,2000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-134496918,Cranebrook,NSW,2749,,,745000,"$745,000",house,1,1,0,,,-1.0,,STAPEN,Starr Partners - Glenmore Park & Penrith ,,,19 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-cranebrook-118561679,Cranebrook,NSW,2749,113 Gannet Drive,"113 Gannet Drive, Cranebrook, NSW 2749",,Contact agent,terrace,1,1,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,12 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-118256007,Cranebrook,NSW,2749,115 Gannet Drive,"115 Gannet Drive, Cranebrook, NSW 2749",338000,"$338,000",house,1,1,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,14 Nov 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-107556613,Cranebrook,NSW,2749,36 Camelot Drive,"36 Camelot Drive, Cranebrook, NSW 2749",390000,"Range: $330,000 - $390,000",house,1,1,4,,,-1.0,,,,,,05 Sep 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-106469678,Cranebrook,NSW,2749,,,315000,"$315,000",house,1,1,2,,,739.0,m²,,,,,29 Apr 2010,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-105937320,Cranebrook,NSW,2749,6 Cluster,"6 Cluster, Cranebrook, NSW 2749",345000,"Range: $295,000 - $345,000",house,1,3,0,,,-1.0,,,,,,19 Jan 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-141703804,Cranebrook,NSW,2749,113 Lakeview Drive,"113 Lakeview Drive, Cranebrook, NSW 2749",668000,"$668,000",house,2,1,1,,,117.0,m²,XFNPRT,Stanton & Taylor - PENRITH,,,06 Apr 2023,house,,117.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-140731811,Cranebrook,NSW,2749,129 Lakeview Drive,"129 Lakeview Drive, Cranebrook, NSW 2749",645000,"$645,000",house,2,1,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,25 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-139776323,Cranebrook,NSW,2749,137 Lakeview Drive,"137 Lakeview Drive, Cranebrook, NSW 2749",640000,"$640,000",house,2,1,1,,,-1.0,,,,,,23 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cranebrook-139948975,Cranebrook,NSW,2749,121 Gannet Drive,"121 Gannet Drive, Cranebrook, NSW 2749",670000,"$670,000",house,2,1,1,,,-1.0,,XRWGLE,Ray White - Nepean Group,,,15 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-cranebrook-139026071,Cranebrook,NSW,2749,25 Church Lane,"25 Church Lane, Cranebrook, NSW 2749",2700000,"$2,700,000",acreage,2,2,35,,,1.5,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,18 May 2022,house,,15000.0
