badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-141642484,Cringila,NSW,2502,108 Lake Avenue,"108 Lake Avenue, Cringila, NSW 2502",650000,"$650,000",house,2,1,2,,,993.0,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,31 Mar 2023,house,,993.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-138414015,Cringila,NSW,2502,12 Lake Ave,"12 Lake Ave, Cringila, NSW 2502",680000,"$680,000",house,2,1,1,,,486.9,m²,FCHGQZ,Adeles Real Estate - SHELLHARBOUR,,,17 Feb 2022,house,,486.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-137773482,Cringila,NSW,2502,11 Monteith Street,"11 Monteith Street, Cringila, NSW 2502",605000,"$605,000",house,2,1,1,,,923.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,18 Dec 2021,house,,923.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-136147782,Cringila,NSW,2502,32 Cringila Street,"32 Cringila Street, Cringila, NSW 2502",495000,"$495,000",house,2,1,0,,,556.0,m²,WQBWNM,Ray White - SHELLHARBOUR CITY,,,25 May 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-136195670,Cringila,NSW,2502,7 Steel Street,"7 Steel Street, Cringila, NSW 2502",490000,"$490,000",house,2,1,3,,,481.0,m²,NCOFLL,The Agency - Illawarra,,,24 May 2021,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-135863082,Cringila,NSW,2502,32 Auburn Parade,"32 Auburn Parade, Cringila, NSW 2502",536000,"$536,000",house,2,1,1,,,968.0,m²,FLVFJQ,Belle Property - Illawarra,,,23 Apr 2021,house,,968.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-134998462,Cringila,NSW,2502,24 Monteith Street,"24 Monteith Street, Cringila, NSW 2502",505000,"$505,000",house,2,1,1,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,22 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-132670906,Cringila,NSW,2502,35 Lake Avenue,"35 Lake Avenue, Cringila, NSW 2502",429000,"$429,000",house,2,1,1,,,563.0,m²,BGLDAP,Harcourts - Dapto | Albion Park | Shellharbour,,,18 May 2020,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-135983674,Cringila,NSW,2502,29 Jarvie Road,"29 Jarvie Road, Cringila, NSW 2502",512000,"$512,000",house,2,1,2,,,442.0,m²,ECOHVY,LJ Hooker - Albion Park Rail,,,05 Jul 2021,house,,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-124349662,Cringila,NSW,2502,5 Sheffield Street,"5 Sheffield Street, Cringila, NSW 2502",410000,"$410,000",house,2,1,1,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,14 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-120552437,Cringila,NSW,2502,10 Jarvie Road,"10 Jarvie Road, Cringila, NSW 2502",350000,"$350,000",house,2,1,2,,,708.2,m²,XRXWOO,Professionals - Wollongong,,,01 Sep 2015,house,,708.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-119252115,Cringila,NSW,2502,26 Steel Street,"26 Steel Street, Cringila, NSW 2502",285000,"$285,000",house,2,1,0,,,556.0,m²,FLVFJQ,Belle Property - Illawarra,,,27 Mar 2015,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-117139591,Cringila,NSW,2502,1 McGovern Street,"1 McGovern Street, Cringila, NSW 2502",270000,"$270,000",house,2,1,1,,,-1.0,,,,,,09 Jul 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-115840831,Cringila,NSW,2502,25 Merrett Avenue,"25 Merrett Avenue, Cringila, NSW 2502",255000,"$255,000",house,2,1,1,,,-1.0,,WQBWNM,Ray White - SHELLHARBOUR CITY,,,17 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-113337775,Cringila,NSW,2502,7 Gregory Street,"7 Gregory Street, Cringila, NSW 2502",245000,"$245,000",house,2,2,1,,,1050.0,m²,,,,,12 Jul 2013,house,,1050.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-109297706,Cringila,NSW,2502,20 Fitzgerald Street,"20 Fitzgerald Street, Cringila, NSW 2502",235000,"$235,000",house,2,1,1,,,558.0,m²,,,,,12 Mar 2012,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-107090957,Cringila,NSW,2502,28 Monteith St,"28 Monteith St, Cringila, NSW 2502",237500,"$237,500",house,2,1,0,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,08 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-105919123,Cringila,NSW,2502,7 Lackawanna Street,"7 Lackawanna Street, Cringila, NSW 2502",225000,"$225,000",house,2,1,2,,,448.0,m²,,,,,28 Sep 2009,house,,448.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-105746068,Cringila,NSW,2502,28 Monteith Street,"28 Monteith Street, Cringila, NSW 2502",160000,"$160,000",house,2,1,0,,,-1.0,,XRWWOL,LJ Hooker - Wollongong ,,,26 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-105536057,Cringila,NSW,2502,54 Merrett Avenue,"54 Merrett Avenue, Cringila, NSW 2502",189000,"$189,000",house,2,1,1,,,514.0,m²,,,,,09 Mar 2009,house,,514.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-135975446,Cringila,NSW,2502,21 Sheffield Street,"21 Sheffield Street, Cringila, NSW 2502",535000,"$535,000",house,2,1,0,,,646.0,m²,SHYCPE,First National Real Estate - Albion Park,,,21 Apr 2021,house,,646.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-130814794,Cringila,NSW,2502,1 Fitzgerald Street,"1 Fitzgerald Street, Cringila, NSW 2502",375000,"$375,000",house,2,1,1,,,609.0,m²,,,,,02 Jul 2019,house,,609.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-120507557,Cringila,NSW,2502,11 Monteith Street,"11 Monteith Street, Cringila, NSW 2502",,Contact agent,house,2,1,1,,,923.0,m²,MKYWIN,MMJ South - Windang,,,04 Sep 2015,house,,923.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-120507553,Cringila,NSW,2502,9 Monteith Street,"9 Monteith Street, Cringila, NSW 2502",289000,"$289,000",house,2,1,1,,,1071.0,m²,MKYWIN,MMJ South - Windang,,,04 Sep 2015,house,,1071.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-114472995,Cringila,NSW,2502,4 Gregory Street,"4 Gregory Street, Cringila, NSW 2502",208000,"$208,000",house,2,1,0,,,626.0,m²,JDSLAS,Master Properties - On King,,,12 Nov 2013,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-108741561,Cringila,NSW,2502,26 Steel Street,"26 Steel Street, Cringila, NSW 2502",,Contact agent,house,2,1,0,,,556.0,m²,,,,,22 Feb 2012,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-106504462,Cringila,NSW,2502,25 Merrett Ave,"25 Merrett Ave, Cringila, NSW 2502",219000,"$219,000",house,2,1,1,,,-1.0,,WQBWNM,Ray White - SHELLHARBOUR CITY,,,10 Nov 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-106483074,Cringila,NSW,2502,9 Birmingham Street,"9 Birmingham Street, Cringila, NSW 2502",,Contact agent,house,2,1,0,,,-1.0,,,,,,31 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-141408784,Cringila,NSW,2502,46 Lake Avenue,"46 Lake Avenue, Cringila, NSW 2502",620000,"$620,000",house,3,1,0,,,761.0,m²,HOCXOB,Spinelli Real Estate Wollongong - Shellharbour City,,,02 Mar 2023,house,,761.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-140875260,Cringila,NSW,2502,12 Malcolm Avenue,"12 Malcolm Avenue, Cringila, NSW 2502",480000,"$480,000",house,3,1,1,,,758.0,m²,JCEWMY,One Agency Elite Property Group,,,08 Dec 2022,house,,758.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-140282483,Cringila,NSW,2502,22 Barry Street,"22 Barry Street, Cringila, NSW 2502",649000,"$649,000",house,3,1,2,,,487.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,06 Sep 2022,house,,487.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-140159435,Cringila,NSW,2502,17 Monteith Street,"17 Monteith Street, Cringila, NSW 2502",620000,"$620,000",house,3,1,1,,,582.0,m²,NCOFLL,The Agency - Illawarra,,,25 Aug 2022,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-139043615,Cringila,NSW,2502,2  McGovern Street,"2  McGovern Street, Cringila, NSW 2502",770000,"$770,000",house,3,2,1,,,847.0,m²,XRXWOO,Professionals - Wollongong,,,22 Jul 2022,house,,847.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-138110006,Cringila,NSW,2502,28 Auburn  Parade,"28 Auburn  Parade, Cringila, NSW 2502",880000,"$880,000",house,3,2,4,,,1163.0,m²,XFRUAB,Mike T Real Estate - Wollongong,,,15 Mar 2022,house,,1163.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-138066998,Cringila,NSW,2502,8 Gregory Street,"8 Gregory Street, Cringila, NSW 2502",555000,"$555,000",house,3,1,0,,,558.0,m²,XRWWAD,Illawarra Estate Agents,,,04 Feb 2022,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-138095882,Cringila,NSW,2502,7 Monteith Street,"7 Monteith Street, Cringila, NSW 2502",618000,"$618,000",house,3,2,1,,,712.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,21 Jan 2022,house,,712.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-137642738,Cringila,NSW,2502,47 Lake Avenue,"47 Lake Avenue, Cringila, NSW 2502",705000,"$705,000",house,3,2,2,100,m²,436.0,m²,GOQKOF,Knock Knock Real Estate - DAPTO,,,23 Dec 2021,house,100,436.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-137219174,Cringila,NSW,2502,28 Lackawanna Street,"28 Lackawanna Street, Cringila, NSW 2502",900000,"$900,000",house,3,1,0,109,m²,892.0,m²,GOQKOF,Knock Knock Real Estate - DAPTO,,,30 Sep 2021,house,109,892.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-cringila-136057274,Cringila,NSW,2502,71 Jarvie Road,"71 Jarvie Road, Cringila, NSW 2502",1300000,"$1,300,000",acreage,3,1,12,,,5023.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,21 Aug 2021,house,,5023.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-136826778,Cringila,NSW,2502,13 Dorman Street,"13 Dorman Street, Cringila, NSW 2502",640000,"$640,000",house,3,1,1,,,443.0,m²,HOCXOB,Spinelli Real Estate Wollongong - Shellharbour City,,,17 Aug 2021,house,,443.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-136922062,Cringila,NSW,2502,22 Lake Avenue,"22 Lake Avenue, Cringila, NSW 2502",627000,"$627,000",house,3,1,1,,,-1.0,,MZKWOM,MMJ Wollongong - WOLLONGONG,,,13 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-135756778,Cringila,NSW,2502,118 Lake Avenue,"118 Lake Avenue, Cringila, NSW 2502",600000,"$600,000",house,3,1,1,,,1066.0,m²,HOCXOB,Spinelli Real Estate Wollongong - Shellharbour City,,,08 Jul 2021,house,,1066.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-136137094,Cringila,NSW,2502,10 Lake Ave,"10 Lake Ave, Cringila, NSW 2502",575000,"$575,000",house,3,1,1,,,486.9,m²,FCHGQZ,Adeles Real Estate - SHELLHARBOUR,,,24 May 2021,house,,486.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-135472622,Cringila,NSW,2502,56 Lake Avenue,"56 Lake Avenue, Cringila, NSW 2502",592000,"$592,000",house,3,1,1,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,26 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-135356886,Cringila,NSW,2502,50 Auburn Parade,"50 Auburn Parade, Cringila, NSW 2502",515000,"$515,000",house,3,1,1,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,11 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-134176134,Cringila,NSW,2502,20 Cringila Street,"20 Cringila Street, Cringila, NSW 2502",490000,"$490,000",house,3,1,1,,,559.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,08 Sep 2020,house,,559.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-134212270,Cringila,NSW,2502,9 Merrett Avenue,"9 Merrett Avenue, Cringila, NSW 2502",517500,"$517,500",house,3,1,1,,,-1.0,,WQBWNM,Ray White - SHELLHARBOUR CITY,,,27 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-132848614,Cringila,NSW,2502,18 Auburn Parade,"18 Auburn Parade, Cringila, NSW 2502",505000,"$505,000",house,3,1,1,143,m²,1176.0,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,29 Apr 2020,house,143,1176.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-132339114,Cringila,NSW,2502,31 Cringila Street,"31 Cringila Street, Cringila, NSW 2502",405000,"$405,000",house,3,1,1,,,597.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,12 Dec 2019,house,,597.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cringila-131370514,Cringila,NSW,2502,15 Dorman Street,"15 Dorman Street, Cringila, NSW 2502",410000,"$410,000",house,3,1,1,,,446.0,m²,HKBTQZ,Dimosons Real Estate - PORT KEMBLA,,,25 Nov 2019,house,,446.0
