badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-124586650,Cromer,NSW,2099,15 Ryrie Avenue,"15 Ryrie Avenue, Cromer, NSW 2099",1265000,"$1,265,000",house,1,1,2,,,559.0,m²,XRHCOL,UPSTATE - DEE WHY,,,17 Feb 2017,house,,559.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-106119679,Cromer,NSW,2099,10a Burrawal Place,"10a Burrawal Place, Cromer, NSW 2099",665000,"$665,000",house,1,1,0,,,1161.0,m²,DOYDEE,Doyle Spillane - Dee Why,,,08 Jul 2011,house,,1161.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-112251839,Cromer,NSW,2099,5 Torrens Place,"5 Torrens Place, Cromer, NSW 2099",,Contact agent,house,1,1,0,,,-1.0,,WBDWAR,Laing+Simmons - Freshwater,,,20 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-141622404,Cromer,NSW,2099,264 Alfred Street,"264 Alfred Street, Cromer, NSW 2099",1872000,"$1,872,000",house,2,1,2,,,632.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,16 Mar 2023,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-140554947,Cromer,NSW,2099,261 Alfred Street,"261 Alfred Street, Cromer, NSW 2099",2035000,"$2,035,000",house,2,1,3,,,1024.0,m²,XRHCOL,UPSTATE - DEE WHY,,,29 Oct 2022,house,,1024.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-139225619,Cromer,NSW,2099,264 Alfred Street,"264 Alfred Street, Cromer, NSW 2099",1807000,"$1,807,000",house,2,1,2,,,632.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,20 May 2022,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-135770410,Cromer,NSW,2099,262 Alfred Street,"262 Alfred Street, Cromer, NSW 2099",1856000,"$1,856,000",house,2,1,1,,,-1.0,,DOYDEE,Doyle Spillane - Dee Why,,,25 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-135581378,Cromer,NSW,2099,177A Fisher Road North,"177A Fisher Road North, Cromer, NSW 2099",1470000,"$1,470,000",house,2,1,2,,,-1.0,,XLJDEE,LJ Hooker - Dee Why,,,20 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-129627466,Cromer,NSW,2099,162 Fisher Road North,"162 Fisher Road North, Cromer, NSW 2099",1350000,"$1,350,000",house,2,1,1,,,-1.0,,XVAXEJ,McGrath - Collaroy | Dee Why,,,08 Nov 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-128390442,Cromer,NSW,2099,22C Ryrie Avenue,"22C Ryrie Avenue, Cromer, NSW 2099",1049000,"$1,049,000",house,2,2,1,,,263.0,m²,XLJDEE,LJ Hooker - Dee Why,,,30 Jun 2018,house,,263.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-126533146,Cromer,NSW,2099,16 Geelong Road,"16 Geelong Road, Cromer, NSW 2099",1605000,"$1,605,000",house,2,1,1,,,-1.0,,XRWHAR,Ray White - Freshwater,,,31 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-125159602,Cromer,NSW,2099,25 Tennyson Road,"25 Tennyson Road, Cromer, NSW 2099",1431000,"$1,431,000",house,2,1,1,,,-1.0,,DOYDEE,Doyle Spillane - Dee Why,,,29 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-123675946,Cromer,NSW,2099,9 Maas Street,"9 Maas Street, Cromer, NSW 2099",1135000,"$1,135,000",house,2,1,1,,,311.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,05 Oct 2016,house,,311.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-123514430,Cromer,NSW,2099,13 Lagoon View Road,"13 Lagoon View Road, Cromer, NSW 2099",1195000,"$1,195,000",house,2,1,1,,,486.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,13 Sep 2016,house,,486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-123263410,Cromer,NSW,2099,2 Geelong Road,"2 Geelong Road, Cromer, NSW 2099",1345000,"$1,345,000",house,2,1,2,78,m²,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,27 Aug 2016,house,78,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-120399993,Cromer,NSW,2099,42A Toronto Avenue,"42A Toronto Avenue, Cromer, NSW 2099",800000,"$800,000",house,2,1,1,,,-1.0,,QDVLNY,McGrath - Manly,,,24 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-141240472,Cromer,NSW,2099,40 Tennyson Road,"40 Tennyson Road, Cromer, NSW 2099",1865000,"$1,865,000",house,2,2,1,,,594.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,21 Dec 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-133777122,Cromer,NSW,2099,162 Fisher Road North,"162 Fisher Road North, Cromer, NSW 2099",1350000,"$1,350,000",house,2,1,1,,,854.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,12 Jun 2020,house,,854.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-131943422,Cromer,NSW,2099,231 Alfred Street,"231 Alfred Street, Cromer, NSW 2099",1200000,"$1,200,000",house,2,1,1,,,778.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,31 Jul 2019,house,,778.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-119896429,Cromer,NSW,2099,6 Geelong Road,"6 Geelong Road, Cromer, NSW 2099",1520000,"$1,520,000",house,2,1,3,,,725.93,m²,XLJDEE,LJ Hooker - Dee Why,,,17 Jun 2015,house,,725.93
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-119159083,Cromer,NSW,2099,10 Carcoola Road,"10 Carcoola Road, Cromer, NSW 2099",1175000,"$1,175,000",house,2,1,2,,,725.0,m²,DOYDEE,Doyle Spillane - Dee Why,,,03 Mar 2015,house,,725.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-117736639,Cromer,NSW,2099,137 Fisher Road North,"137 Fisher Road North, Cromer, NSW 2099",840000,"$840,000",house,2,2,2,,,327.0,m²,ZPCAYI,Prestige Properties Northern Beaches - Newport,,,04 Sep 2014,house,,327.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-117690415,Cromer,NSW,2099,231 Alfred Street,"231 Alfred Street, Cromer, NSW 2099",898585,"$898,585",house,2,1,2,,,777.0,m²,XLJDEE,LJ Hooker - Dee Why,,,22 Aug 2014,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-115910763,Cromer,NSW,2099,10 Howse Crescent,"10 Howse Crescent, Cromer, NSW 2099",950000,"$950,000",house,2,1,1,,,645.0,m²,,,,,05 Feb 2014,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-115566171,Cromer,NSW,2099,37 Grover Avenue,"37 Grover Avenue, Cromer, NSW 2099",952770,"$952,770",house,2,2,2,,,1002.0,m²,XVAXEJ,McGrath - Collaroy | Dee Why,,,03 Dec 2013,house,,1002.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-cromer-111841435,Cromer,NSW,2099,42a Toronto Avenue,"42a Toronto Avenue, Cromer, NSW 2099",575000,"$575,000",house,2,1,1,,,-1.0,,SKYFRE,Skyline Real Estate - FRENCHS FOREST,,,11 Dec 2012,house,,-1.0
