badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-137284370,Crows Nest,NSW,2065,234 West Street,"234 West Street, Crows Nest, NSW 2065",2150000,"$2,150,000",house,0,1,0,,,186.0,m²,AJPDUU,McGrath - Crows Nest,,,16 Sep 2021,house,,186.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-crows+nest-107195232,Crows Nest,NSW,2065,402-420 Pacific Highway,"402-420 Pacific Highway, Crows Nest, NSW 2065",27000,"$27,000",residential-other,0,99,1,,,-1.0,,XLJCRP,Richardson & Wrench - Crows Nest,,,19 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-141828292,Crows Nest,NSW,2065,97 Ernest Street,"97 Ernest Street, Crows Nest, NSW 2065",1950000,"$1,950,000",house,1,1,2,,,-1.0,,XRHNEU,Raine & Horne  - Neutral Bay,,,29 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-142041620,Crows Nest,NSW,2065,96 Burlington Street,"96 Burlington Street, Crows Nest, NSW 2065",2073000,"$2,073,000",house,1,1,1,,,-1.0,,AJPDUU,McGrath - Crows Nest,,,29 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-112975447,Crows Nest,NSW,2065,5/168 Falcon Street,"5/168 Falcon Street, Crows Nest, NSW 2065",425000,"$425,000",house,1,1,1,,,-1.0,,XRHCRO,Stone Real Estate - CROWS NEST,,,21 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-106855146,Crows Nest,NSW,2065,406/250 Pacific Highway,"406/250 Pacific Highway, Crows Nest, NSW 2065",302000,"$302,000",house,1,1,0,,,-1.0,,XRHNOS,Altium Property - MOSMAN,,,18 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-106920694,Crows Nest,NSW,2065,213 402  - 420 Pacific Highway,"213 402  - 420 Pacific Highway, Crows Nest, NSW 2065",,Contact agent,house,1,1,0,,,-1.0,,XRWTEH,Sydney Country Living - TERREY HILLS,,,28 Sep 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-141259812,Crows Nest,NSW,2065,108 Ernest Street,"108 Ernest Street, Crows Nest, NSW 2065",2400000,"$2,400,000",house,2,2,1,,,-1.0,,AJPDUU,McGrath - Crows Nest,,,07 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-140916340,Crows Nest,NSW,2065,98 Holtermann Street,"98 Holtermann Street, Crows Nest, NSW 2065",1940000,"$1,940,000",house,2,1,0,,,-1.0,,AJPDUU,McGrath - Crows Nest,,,24 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-138893823,Crows Nest,NSW,2065,153 Chandos Street,"153 Chandos Street, Crows Nest, NSW 2065",2300000,"$2,300,000",house,2,1,2,,,290.8,m²,XFNRTF,Forsyth - Willoughby,,,09 Apr 2022,house,,290.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-138341007,Crows Nest,NSW,2065,210 West Street,"210 West Street, Crows Nest, NSW 2065",1750000,"$1,750,000",house,2,1,0,,,95.0,m²,XRHCRO,Stone Real Estate - CROWS NEST,,,17 Feb 2022,house,,95.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-137336330,Crows Nest,NSW,2065,166 West Street,"166 West Street, Crows Nest, NSW 2065",2325000,"$2,325,000",house,2,1,0,,,-1.0,,LQEJRJ,Belle Property - Neutral Bay ,,,01 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-137116162,Crows Nest,NSW,2065,71 Hayberry Street,"71 Hayberry Street, Crows Nest, NSW 2065",2730000,"$2,730,000",house,2,1,1,,,-1.0,,LJYHYF,Belle Property Crows Nest - CROWS NEST,,,15 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-crows+nest-136949954,Crows Nest,NSW,2065,212 West Street,"212 West Street, Crows Nest, NSW 2065",1820000,"$1,820,000",terrace,2,1,0,,,-1.0,,XLJLAO,LJ Hooker - Lane Cove  ,,,26 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-crows+nest-136155346,Crows Nest,NSW,2065,93 Holtermann Street,"93 Holtermann Street, Crows Nest, NSW 2065",1680000,"$1,680,000",duplex-semi-detached,2,1,1,,,-1.0,,ODZXXS,Tower & London,,,05 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-135846122,Crows Nest,NSW,2065,37 Atchison Street,"37 Atchison Street, Crows Nest, NSW 2065",2100000,"$2,100,000",house,2,1,0,,,-1.0,,XFNCHA,Shead Property - Chatswood,,,24 Apr 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-135582342,Crows Nest,NSW,2065,54 Emmett Lane,"54 Emmett Lane, Crows Nest, NSW 2065",2070000,"$2,070,000",house,2,1,1,,,-1.0,,LJYHYF,Belle Property Crows Nest - CROWS NEST,,,20 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-135511302,Crows Nest,NSW,2065,3A Brook Street,"3A Brook Street, Crows Nest, NSW 2065",1600000,"$1,600,000",house,2,1,1,,,-1.0,,XRHNEU,Raine & Horne  - Neutral Bay,,,24 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-135235534,Crows Nest,NSW,2065,18 Emmett Street,"18 Emmett Street, Crows Nest, NSW 2065",3000000,"$3,000,000",house,2,1,1,,,226.0,m²,LJYHYF,Belle Property Crows Nest - CROWS NEST,,,13 Feb 2021,house,,226.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-134417206,Crows Nest,NSW,2065,33 Huntington Street,"33 Huntington Street, Crows Nest, NSW 2065",1760000,"$1,760,000",house,2,1,0,,,161.0,m²,AJPDUU,McGrath - Crows Nest,,,06 Nov 2020,house,,161.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-133024038,Crows Nest,NSW,2065,228 West Street,"228 West Street, Crows Nest, NSW 2065",1655000,"$1,655,000",house,2,1,1,,,-1.0,,AJPDUU,McGrath - Crows Nest,,,23 Apr 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-132418278,Crows Nest,NSW,2065,206 West Street,"206 West Street, Crows Nest, NSW 2065",1820000,"$1,820,000",house,2,2,0,,,-1.0,,XRHCRO,Stone Real Estate - CROWS NEST,,,07 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-131275326,Crows Nest,NSW,2065,64 Burlington St,"64 Burlington St, Crows Nest, NSW 2065",1950000,"$1,950,000",house,2,1,1,,,261.0,m²,NPECRO,Northside Realtors - Crows Nest,,,05 Jul 2019,house,,261.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-130560826,Crows Nest,NSW,2065,12 Macarthur Avenue,"12 Macarthur Avenue, Crows Nest, NSW 2065",1800000,"$1,800,000",house,2,1,2,,,377.0,m²,AJPDUU,McGrath - Crows Nest,,,05 Mar 2019,house,,377.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-129319310,Crows Nest,NSW,2065,90 Falcon Street,"90 Falcon Street, Crows Nest, NSW 2065",1370000,"$1,370,000",house,2,1,2,,,-1.0,,MAOCRO,Marriott Lane Real Estate - Crows Nest,,,08 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-crows+nest-108535166,Crows Nest,NSW,2065,79 Hayberry Street,"79 Hayberry Street, Crows Nest, NSW 2065",1565000,"$1,565,000",duplex-semi-detached,2,1,1,,,145.0,m²,XRHCRO,Stone Real Estate - CROWS NEST,,,19 Jul 2018,house,,145.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-128388666,Crows Nest,NSW,2065,38 Holtermann St,"38 Holtermann St, Crows Nest, NSW 2065",1750000,"$1,750,000",house,2,1,3,,,-1.0,,YOBRER,Elders Real Estate Hornsby - Hornsby,,,15 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-127997386,Crows Nest,NSW,2065,116 Holtermann Street,"116 Holtermann Street, Crows Nest, NSW 2065",1751000,"$1,751,000",house,2,1,1,,,199.0,m²,AJPDUU,McGrath - Crows Nest,,,20 Apr 2018,house,,199.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-126203402,Crows Nest,NSW,2065,87 Atchison Street,"87 Atchison Street, Crows Nest, NSW 2065",2225000,"$2,225,000",house,2,1,1,,,278.0,m²,AJPDUU,McGrath - Crows Nest,,,24 Aug 2017,house,,278.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-125869994,Crows Nest,NSW,2065,80 Falcon Street,"80 Falcon Street, Crows Nest, NSW 2065",1955000,"$1,955,000",house,2,1,1,,,-1.0,,NPECRO,Northside Realtors - Crows Nest,,,26 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-124463814,Crows Nest,NSW,2065,109 Atchison Street,"109 Atchison Street, Crows Nest, NSW 2065",1790000,"$1,790,000",house,2,1,0,,,177.0,m²,AJPDUU,McGrath - Crows Nest,,,03 Feb 2017,house,,177.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-122691730,Crows Nest,NSW,2065,9 Brook Street,"9 Brook Street, Crows Nest, NSW 2065",1280000,"$1,280,000",house,2,1,1,,,166.0,m²,,,,,24 Jun 2016,house,,166.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-122662882,Crows Nest,NSW,2065,2/2 Trafalgar Street,"2/2 Trafalgar Street, Crows Nest, NSW 2065",1230000,"$1,230,000",house,2,1,1,,,128.0,m²,AJPDUU,McGrath - Crows Nest,,,20 May 2016,house,,128.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-122306366,Crows Nest,NSW,2065,13 Hayberry Street,"13 Hayberry Street, Crows Nest, NSW 2065",1650000,"$1,650,000",house,2,1,1,,,224.0,m²,AJPDUU,McGrath - Crows Nest,,,23 Apr 2016,house,,224.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-122198202,Crows Nest,NSW,2065,65 Huntington Street,"65 Huntington Street, Crows Nest, NSW 2065",1580000,"$1,580,000",house,2,1,0,,,162.0,m²,AJPDUU,McGrath - Crows Nest,,,22 Mar 2016,house,,162.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-120576885,Crows Nest,NSW,2065,234 West Street,"234 West Street, Crows Nest, NSW 2065",1110000,"$1,110,000",house,2,1,1,,,186.0,m²,AJPDUU,McGrath - Crows Nest,,,24 Nov 2015,house,,186.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-120305429,Crows Nest,NSW,2065,43 Huntington Street,"43 Huntington Street, Crows Nest, NSW 2065",1350000,"$1,350,000",house,2,1,0,,,186.0,m²,ABCMOS,Ray White - Lower North Shore Group,,,20 Aug 2015,house,,186.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-116855979,Crows Nest,NSW,2065,50 Holtermann Street,"50 Holtermann Street, Crows Nest, NSW 2065",1100000,"$1,100,000",house,2,1,1,,,-1.0,,ZDUSFR,DiJones - Mosman,,,13 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-139695907,Crows Nest,NSW,2065,18 Emmett Street,"18 Emmett Street, Crows Nest, NSW 2065",3000000,"$3,000,000",house,2,1,1,,,226.0,m²,LQEJRJ,Belle Property - Neutral Bay ,,,13 Feb 2021,house,,226.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-125368978,Crows Nest,NSW,2065,69 Hayberry Street,"69 Hayberry Street, Crows Nest, NSW 2065",2000001,"$2,000,001",house,2,1,1,,,-1.0,,NPECRO,Northside Realtors - Crows Nest,,,29 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-125104302,Crows Nest,NSW,2065,110 Falcon Street,"110 Falcon Street, Crows Nest, NSW 2065",1750000,"$1,750,000",house,2,1,2,,,-1.0,,NPECRO,Northside Realtors - Crows Nest,,,27 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-124563838,Crows Nest,NSW,2065,213 Chandos Street,"213 Chandos Street, Crows Nest, NSW 2065",1720000,"$1,720,000",house,2,1,1,,,-1.0,,NPECRO,Northside Realtors - Crows Nest,,,14 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-122415586,Crows Nest,NSW,2065,201a West Street,"201a West Street, Crows Nest, NSW 2065",1680000,"$1,680,000",house,2,1,1,,,-1.0,,NPECRO,Northside Realtors - Crows Nest,,,09 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-119602123,Crows Nest,NSW,2065,96 Falcon Street,"96 Falcon Street, Crows Nest, NSW 2065",1300000,"$1,300,000",house,2,2,1,,,-1.0,,XRHNEU,Raine & Horne  - Neutral Bay,,,18 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-119510587,Crows Nest,NSW,2065,3B Brook Street,"3B Brook Street, Crows Nest, NSW 2065",1360000,"$1,360,000",house,2,1,2,,,-1.0,,AJPDUU,McGrath - Crows Nest,,,21 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-119349495,Crows Nest,NSW,2065,162 West Street,"162 West Street, Crows Nest, NSW 2065",1610000,"$1,610,000",house,2,1,1,,,-1.0,,NPECRO,Northside Realtors - Crows Nest,,,20 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-crows+nest-119293315,Crows Nest,NSW,2065,66 Albany Street,"66 Albany Street, Crows Nest, NSW 2065",1318000,"$1,318,000",duplex-semi-detached,2,1,1,,,-1.0,,MAOCRO,Marriott Lane Real Estate - Crows Nest,,,28 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-119195023,Crows Nest,NSW,2065,7/99 Chandos Street,"7/99 Chandos Street, Crows Nest, NSW 2065",1225000,"$1,225,000",house,2,2,1,,,-1.0,,XMHLEI,McGrath Estate Agents Inner West - Leichhardt,,,21 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-119066387,Crows Nest,NSW,2065,224 West Street,"224 West Street, Crows Nest, NSW 2065",1350000,"$1,350,000",house,2,1,1,,,184.0,m²,AJPDUU,McGrath - Crows Nest,,,18 Feb 2015,house,,184.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-crows+nest-118841031,Crows Nest,NSW,2065,39 Devonshire Street,"39 Devonshire Street, Crows Nest, NSW 2065",1217000,"$1,217,000",house,2,1,0,,,234.0,m²,AJPDUU,McGrath - Crows Nest,,,07 Feb 2015,house,,234.0
