badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-137712366,Croydon,NSW,2132,13 Albert Crescent,"13 Albert Crescent, Croydon, NSW 2132",950000,"$950,000",house,1,1,0,,,-1.0,,XLJBUX,LJ Hooker - Burwood,,,15 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-croydon-124040234,Croydon,NSW,2132,50 The Strand,"50 The Strand, Croydon, NSW 2132",1308000,"$1,308,000",terrace,1,2,1,135,m²,110.0,m²,,,,,10 Dec 2016,house,135,110.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-114692871,Croydon,NSW,2132,221 Norton Street,"221 Norton Street, Croydon, NSW 2132",405000,"$405,000",house,1,1,0,,,-1.0,,ELDSTA,Gerber Properties - Inner West,,,30 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-croydon-114472967,Croydon,NSW,2132,Shop/95 Edwin Street North,"Shop/95 Edwin Street North, Croydon, NSW 2132",355500,"$355,500",residential-other,1,1,1,,,-1.0,,,,,,27 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-croydon-114461279,Croydon,NSW,2132,40 Webb Street,"40 Webb Street, Croydon, NSW 2132",343000,"$343,000",residential-other,1,1,0,,,-1.0,,,,,,26 Aug 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-107104055,Croydon,NSW,2132,221 Norton Street,"221 Norton Street, Croydon, NSW 2132",350000,"$350,000",house,1,1,0,,,-1.0,,NIMBUR,Begetis Estate Agents,,,02 Feb 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-106442801,Croydon,NSW,2132,2 Badmington Road,"2 Badmington Road, Croydon, NSW 2132",,Contact agent,house,1,2,10,,,-1.0,,RILCRO,Rich and Oliva - Real Estate ,,,15 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-croydon-106010074,Croydon,NSW,2132,11 Albert Crescent,"11 Albert Crescent, Croydon, NSW 2132",410000,"$410,000",terrace,1,1,0,,,-1.0,,XNTSTR,Richardson & Wrench - Strathfield,,,28 Sep 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-croydon-104159132,Croydon,NSW,2132,,,,Contact agent,residential-other,1,1,0,,,-1.0,,,,,,20 Jul 2007,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-croydon-141630940,Croydon,NSW,2132,43 Croydon Road,"43 Croydon Road, Croydon, NSW 2132",1320000,"$1,320,000",duplex-semi-detached,2,1,0,,,-1.0,,VSETZG,Richard Matthews Real Estate - Strathfield,,,01 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-141443192,Croydon,NSW,2132,39 Kenilworth Street,"39 Kenilworth Street, Croydon, NSW 2132",1510000,"$1,510,000",house,2,1,0,,,-1.0,,ELDSTA,Gerber Properties - Inner West,,,11 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-141242236,Croydon,NSW,2132,19 Cromwell Street,"19 Cromwell Street, Croydon, NSW 2132",1460000,"$1,460,000",house,2,1,0,,,248.4,m²,XRHSUM,Hudson McHugh - Summer Hill,,,01 Feb 2023,house,,248.4
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-croydon-140618991,Croydon,NSW,2132,2 Mills Street,"2 Mills Street, Croydon, NSW 2132",1235000,"$1,235,000",duplex-semi-detached,2,1,1,,,221.3,m²,ELDENF,Elders Inner West,,,12 Nov 2022,house,,221.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-croydon-140325347,Croydon,NSW,2132,28 Brighton Street,"28 Brighton Street, Croydon, NSW 2132",1410000,"$1,410,000",house,2,1,1,,,-1.0,,ELDENF,Elders Inner West,,,08 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-croydon-139649875,Croydon,NSW,2132,28a Robinson Street,"28a Robinson Street, Croydon, NSW 2132",1497000,"$1,497,000",duplex-semi-detached,2,1,2,81,m²,356.6,m²,VSETZG,Richard Matthews Real Estate - Strathfield,,,30 Jul 2022,house,81,356.6
