badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-139455619,Daceyville,NSW,2032,31 Colonel Braund Crescent,"31 Colonel Braund Crescent, Daceyville, NSW 2032",1190000,"$1,190,000",house,2,1,0,,,278.0,m²,TZJATT,Ray White - Kingsford,,,24 Jun 2022,house,,278.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-139076243,Daceyville,NSW,2032,21 Banks Avenue,"21 Banks Avenue, Daceyville, NSW 2032",1560000,"$1,560,000",house,2,1,0,,,303.5,m²,TZJATT,Ray White - Kingsford,,,25 May 2022,house,,303.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-138558063,Daceyville,NSW,2032,6 Boussole Road,"6 Boussole Road, Daceyville, NSW 2032",1400000,"$1,400,000",house,2,1,2,,,-1.0,,TZJATT,Ray White - Kingsford,,,11 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-137948214,Daceyville,NSW,2032,19 Boussole Road,"19 Boussole Road, Daceyville, NSW 2032",1470000,"$1,470,000",house,2,1,3,,,325.0,m²,TZJATT,Ray White - Kingsford,,,18 Dec 2021,house,,325.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-137297098,Daceyville,NSW,2032,16 Banks Ave,"16 Banks Ave, Daceyville, NSW 2032",1435000,"$1,435,000",house,2,1,1,,,259.3,m²,TZJATT,Ray White - Kingsford,,,15 Oct 2021,house,,259.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-121424742,Daceyville,NSW,2032,63 Astrolabe Road,"63 Astrolabe Road, Daceyville, NSW 2032",1075000,"$1,075,000",house,2,1,1,,,-1.0,,LUKWMW,LJ Hooker - Brighton Le Sands/ Sans Souci,,,17 Dec 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-109317056,Daceyville,NSW,2032,8 Isaac Smith Street,"8 Isaac Smith Street, Daceyville, NSW 2032",750000,"$750,000",house,2,1,1,,,233.0,m²,RLGPIT,McGrath - Coogee,,,18 Feb 2012,house,,233.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-107508741,Daceyville,NSW,2032,34 Isaac Smith Street,"34 Isaac Smith Street, Daceyville, NSW 2032",763000,"$763,000",house,2,1,1,,,295.0,m²,RLGPIT,McGrath - Coogee,,,03 Sep 2011,house,,295.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-105903797,Daceyville,NSW,2032,56 Isaac Smith Street,"56 Isaac Smith Street, Daceyville, NSW 2032",787000,"$787,000",house,2,2,1,,,276.0,m²,NGGKIN,NGFarah,,,27 Aug 2009,house,,276.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-104791931,Daceyville,NSW,2032,7 Astrolabe Road,"7 Astrolabe Road, Daceyville, NSW 2032",656000,"$656,000",house,2,1,2,,,-1.0,,XMHSYD,McGrath - Double Bay,,,05 Jun 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-104878616,Daceyville,NSW,2032,56 Isaac Smith Street,"56 Isaac Smith Street, Daceyville, NSW 2032",655000,"$655,000",house,2,2,0,,,-1.0,,XMHSYD,McGrath - Double Bay,,,21 May 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-141960072,Daceyville,NSW,2032,40 Isaac Smith Street,"40 Isaac Smith Street, Daceyville, NSW 2032",,Contact agent,house,2,1,1,,,-1.0,,TZJATT,Ray White - Kingsford,,,09 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-134544390,Daceyville,NSW,2032,9 Astrolabe Road,"9 Astrolabe Road, Daceyville, NSW 2032",1650000,"$1,650,000",house,2,1,0,,,-1.0,,QHTRNC,Belle Property - Randwick,,,31 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-daceyville-119560971,Daceyville,NSW,2032,51 Astrolabe Road,"51 Astrolabe Road, Daceyville, NSW 2032",1200501,"$1,200,501",duplex-semi-detached,2,1,3,,,-1.0,,ZEHQET,Dixon Real Estate - KINGSFORD,,,05 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-107465437,Daceyville,NSW,2032,42 Isaac Smith Street,"42 Isaac Smith Street, Daceyville, NSW 2032",755000,"$755,000",house,2,1,1,,,308.0,m²,OXHDAR,Oxford Agency,,,09 Jul 2011,house,,308.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-106808784,Daceyville,NSW,2032,47 Astrolabe Road,"47 Astrolabe Road, Daceyville, NSW 2032",,Contact agent,house,2,1,2,,,-1.0,,,,,,02 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-105687256,Daceyville,NSW,2032,41 Boussole Road,"41 Boussole Road, Daceyville, NSW 2032",670000,"$670,000",house,2,1,0,,,-1.0,,XRWMAB,Ray White - Maroubra / South Coogee,,,29 Jan 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-140045931,Daceyville,NSW,2032,18 Cook Avenue,"18 Cook Avenue, Daceyville, NSW 2032",1760000,"$1,760,000",house,3,1,0,,,297.0,m²,NGGKIN,NGFarah,,,31 Aug 2022,house,,297.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-137916374,Daceyville,NSW,2032,16 Cook Avenue,"16 Cook Avenue, Daceyville, NSW 2032",1870000,"$1,870,000",house,3,1,1,,,310.0,m²,TZJATT,Ray White - Kingsford,,,17 Dec 2021,house,,310.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-daceyville-136979130,Daceyville,NSW,2032,65 Astrolabe Road,"65 Astrolabe Road, Daceyville, NSW 2032",1800000,"$1,800,000",duplex-semi-detached,3,1,2,,,278.3,m²,NGGKIN,NGFarah,,,31 Aug 2021,house,,278.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-daceyville-134051290,Daceyville,NSW,2032,20 Isaac Smith Street,"20 Isaac Smith Street, Daceyville, NSW 2032",1470500,"$1,470,500",house,3,1,2,,,304.0,m²,QHTRNC,Belle Property - Randwick,,,15 Aug 2020,house,,304.0
