badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-darlinghurst-139519739,Darlinghurst,NSW,2010,112 Riley Street,"112 Riley Street, Darlinghurst, NSW 2010",2550000,"$2,550,000",residential-other,1,2,2,,,139.1,m²,XRHNEX,Raine & Horne - Newtown,,,23 Aug 2022,house,,139.1
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-darlinghurst-138375619,Darlinghurst,NSW,2010,80 Burton Street,"80 Burton Street, Darlinghurst, NSW 2010",1400000,"$1,400,000",terrace,1,1,0,,,-1.0,,BZMDAR,BresicWhitney - Inner East,,,19 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlinghurst-137911278,Darlinghurst,NSW,2010,28 Woods Lane,"28 Woods Lane, Darlinghurst, NSW 2010",1050000,"$1,050,000",house,1,1,0,,,-1.0,,TYLNZS,McGrath - Paddington,,,10 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlinghurst-136290746,Darlinghurst,NSW,2010,5 Charlotte Lane,"5 Charlotte Lane, Darlinghurst, NSW 2010",1250000,"$1,250,000",house,1,1,0,73,m²,39.0,m²,BZMDAR,BresicWhitney - Inner East,,,02 Jun 2021,house,73,39.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlinghurst-134750338,Darlinghurst,NSW,2010,97 Stanley Street,"97 Stanley Street, Darlinghurst, NSW 2010",875000,"$875,000",house,1,1,0,,,51.0,m²,OWWWFW,Belle Property - Surry Hills,,,16 Dec 2020,house,,51.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-darlinghurst-134700570,Darlinghurst,NSW,2010,15 Stanley Lane,"15 Stanley Lane, Darlinghurst, NSW 2010",1000000,"$1,000,000",terrace,1,1,0,70,m²,43.0,m²,BZMDAR,BresicWhitney - Inner East,,,05 Nov 2020,house,70,43.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlinghurst-133521426,Darlinghurst,NSW,2010,82 Burton St,"82 Burton St, Darlinghurst, NSW 2010",900000,"$900,000",house,1,1,0,,,44.0,m²,INNDOU,Innercity Property Agents Pty Ltd - Darlinghurst,,,28 May 2020,house,,44.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-darlinghurst-132079078,Darlinghurst,NSW,2010,234 Crown Street,"234 Crown Street, Darlinghurst, NSW 2010",3200000,"$3,200,000",terrace,1,3,1,300,m²,158.0,m²,TJUAQS,D'Ettorre Real Estate,,,22 Oct 2019,house,300,158.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlinghurst-129428958,Darlinghurst,NSW,2010,13 Little West Street,"13 Little West Street, Darlinghurst, NSW 2010",1030000,"$1,030,000",house,1,1,0,,,74.0,m²,BZMDAR,BresicWhitney - Inner East,,,10 Oct 2018,house,,74.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlinghurst-124770574,Darlinghurst,NSW,2010,158A-162 Crown Street,"158A-162 Crown Street, Darlinghurst, NSW 2010",6000000,"$6,000,000",house,1,2,2,350,m²,183.0,m²,TJUAQS,D'Ettorre Real Estate,,,17 Mar 2017,house,350,183.0
