badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-135451502,Darlington,NSW,2008,13 Wilson Lane,"13 Wilson Lane, Darlington, NSW 2008",1105000,"$1,105,000",house,1,1,0,,,-1.0,,XRHNEX,Raine & Horne - Newtown,,,06 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-134762378,Darlington,NSW,2008,321-323 Abercrombie Street,"321-323 Abercrombie Street, Darlington, NSW 2008",2650000,"$2,650,000",house,1,1,3,,,-1.0,,JZESBX,Laing+Simmons - Merrylands,,,19 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-darlington-128933450,Darlington,NSW,2008,101 Cleveland Street,"101 Cleveland Street, Darlington, NSW 2008",1750000,"$1,750,000",terrace,1,2,0,,,159.0,m²,TJUAQS,D'Ettorre Real Estate,,,28 Aug 2018,house,,159.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-132917766,Darlington,NSW,2008,120 Shepherd Street,"120 Shepherd Street, Darlington, NSW 2008",1200000,"$1,200,000",house,1,1,1,,,120.0,m²,CRYNEW,Crystal Realty - Newtown,,,25 Feb 2020,house,,120.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-123534590,Darlington,NSW,2008,35 Boundary Street,"35 Boundary Street, Darlington, NSW 2008",923000,"$923,000",house,1,1,0,,,57.0,m²,HBJBAL,Harris Partners Real Estate - Balmain,,,09 Sep 2016,house,,57.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-119358367,Darlington,NSW,2008,78 Vine Street,"78 Vine Street, Darlington, NSW 2008",900000,"$900,000",house,1,1,2,,,-1.0,,XRHNEX,Raine & Horne - Newtown,,,11 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-116090891,Darlington,NSW,2008,35 Boundary St,"35 Boundary St, Darlington, NSW 2008",720107,"$720,107",house,1,1,0,,,57.0,m²,HBJBAL,Harris Partners Real Estate - Balmain,,,28 Feb 2014,house,,57.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-110941971,Darlington,NSW,2008,70 Vine Street,"70 Vine Street, Darlington, NSW 2008",545500,"$545,500",house,1,1,0,,,-1.0,,,,,,28 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-126829510,Darlington,NSW,2008,37 Boundary Street,"37 Boundary Street, Darlington, NSW 2008",935000,"$935,000",house,1,1,0,,,56.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,16 Jan 2018,house,,56.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-114703187,Darlington,NSW,2008,26 Lander Street,"26 Lander Street, Darlington, NSW 2008",951000,"$951,000",house,1,1,1,,,-1.0,,XRHNEX,Raine & Horne - Newtown,,,21 Sep 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-105818949,Darlington,NSW,2008,8/299 Abercombe,"8/299 Abercombe, Darlington, NSW 2008",,Contact agent,house,1,1,0,,,-1.0,,,,,,28 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-140549095,Darlington,NSW,2008,378 Wilson Street,"378 Wilson Street, Darlington, NSW 2008",1712000,"$1,712,000",house,2,2,1,,,108.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,29 Oct 2022,house,,108.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-140163507,Darlington,NSW,2008,7 Ivy Street,"7 Ivy Street, Darlington, NSW 2008",1350000,"$1,350,000",house,2,1,0,,,-1.0,,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,14 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-darlington-140302039,Darlington,NSW,2008,51 Ivy Street,"51 Ivy Street, Darlington, NSW 2008",1420000,"$1,420,000",house,2,1,0,,,70.0,m²,ZPCAAM,Exchange Property Sales and Management - Camperdown,,,01 Oct 2022,house,,70.0
