badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-117247995,Davistown,NSW,2251,10 Illoura Reserve,"10 Illoura Reserve, Davistown, NSW 2251",515000,"$515,000",house,0,1,0,,,-1.0,,XGBKIN,George Brand Real Estate - Kincumber,,,19 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-132925190,Davistown,NSW,2251,13 Morton Cr,"13 Morton Cr, Davistown, NSW 2251",710000,"$710,000",house,1,2,2,,,-1.0,,ABCSAR,Edge Residential - Saratoga,,,28 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-130777838,Davistown,NSW,2251,4/16 Davistown Road,"4/16 Davistown Road, Davistown, NSW 2251",325000,"$325,000",house,1,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,02 May 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-120175421,Davistown,NSW,2251,51a Kincumber Cr,"51a Kincumber Cr, Davistown, NSW 2251",425000,"$425,000",house,1,1,3,,,640.0,m²,XRWXER,Ray White RPG -   ,,,17 Jul 2015,house,,640.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-111128579,Davistown,NSW,2251,23 Elinya Lane,"23 Elinya Lane, Davistown, NSW 2251",370000,"$370,000",house,1,1,0,,,443.0,m²,XRWXER,Ray White RPG -   ,,,31 Aug 2012,house,,443.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-127956994,Davistown,NSW,2251,39 Mirreen Ave,"39 Mirreen Ave, Davistown, NSW 2251",,Contact agent,house,1,1,2,,,1532.0,m²,MWXJCK,buymyplace,,,02 Aug 2020,house,,1532.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-106201681,Davistown,NSW,2251,22 Davis Ave,"22 Davis Ave, Davistown, NSW 2251",290000,"$290,000",house,1,1,0,,,483.0,m²,XRWXER,Ray White RPG -   ,,,03 Mar 2010,house,,483.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-140612243,Davistown,NSW,2251,2/5 Jenkins Street,"2/5 Jenkins Street, Davistown, NSW 2251",650000,"$650,000",house,2,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,21 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-138509015,Davistown,NSW,2251,45 Grevillia Avenue,"45 Grevillia Avenue, Davistown, NSW 2251",950000,"$950,000",house,2,1,1,,,481.0,m²,XGBKIN,George Brand Real Estate - Kincumber,,,03 Mar 2022,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-138062470,Davistown,NSW,2251,19  Davistown Road,"19  Davistown Road, Davistown, NSW 2251",890000,"$890,000",house,2,1,2,,,486.0,m²,UHULSH,Wiseberry  - Kariong,,,03 Feb 2022,house,,486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-137747422,Davistown,NSW,2251,22 Jenkins Street,"22 Jenkins Street, Davistown, NSW 2251",874000,"$874,000",house,2,1,0,,,765.0,m²,XRWXER,Ray White RPG -   ,,,01 Dec 2021,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-137416514,Davistown,NSW,2251,22 Pyang Ave,"22 Pyang Ave, Davistown, NSW 2251",1130000,"$1,130,000",house,2,1,1,,,956.0,m²,ABCSAR,Edge Residential - Saratoga,,,06 Oct 2021,house,,956.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-136280406,Davistown,NSW,2251,33 Davistown Road,"33 Davistown Road, Davistown, NSW 2251",850000,"$850,000",house,2,1,2,,,-1.0,,XRWXER,Ray White RPG -   ,,,17 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-135694778,Davistown,NSW,2251,80 Malinya Road,"80 Malinya Road, Davistown, NSW 2251",770000,"$770,000",house,2,1,2,,,480.0,m²,XRWXER,Ray White RPG -   ,,,08 Apr 2021,house,,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-134701902,Davistown,NSW,2251,27 Mirreen Avenue,"27 Mirreen Avenue, Davistown, NSW 2251",801000,"$801,000",house,2,1,1,,,766.0,m²,XLJTES,LJ Hooker - Terrigal,,,06 Nov 2020,house,,766.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-134506106,Davistown,NSW,2251,66 Mirreen Avenue,"66 Mirreen Avenue, Davistown, NSW 2251",750000,"$750,000",house,2,2,2,,,766.0,m²,ABCSAR,Edge Residential - Saratoga,,,30 Oct 2020,house,,766.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-134352218,Davistown,NSW,2251,42 Jenkins Street,"42 Jenkins Street, Davistown, NSW 2251",675500,"$675,500",house,2,1,6,,,765.0,m²,XRWXER,Ray White RPG -   ,,,24 Sep 2020,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-133386830,Davistown,NSW,2251,18 Dilgara Avenue,"18 Dilgara Avenue, Davistown, NSW 2251",572500,"$572,500",house,2,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,29 May 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-132406790,Davistown,NSW,2251,31 Malinya Rd,"31 Malinya Rd, Davistown, NSW 2251",960000,"$960,000",house,2,1,6,,,766.0,m²,ABCSAR,Edge Residential - Saratoga,,,07 Jan 2020,house,,766.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-131797414,Davistown,NSW,2251,32 Davis Avenue,"32 Davis Avenue, Davistown, NSW 2251",610000,"$610,000",house,2,2,3,,,481.0,m²,XRWXER,Ray White RPG -   ,,,05 Sep 2019,house,,481.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-130727434,Davistown,NSW,2251,9/28 Paringa Avenue,"9/28 Paringa Avenue, Davistown, NSW 2251",460000,"$460,000",house,2,2,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,13 May 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-129311042,Davistown,NSW,2251,7 Davistown Rd,"7 Davistown Rd, Davistown, NSW 2251",600000,"$600,000",house,2,1,0,,,467.0,m²,XRWXER,Ray White RPG -   ,,,05 Nov 2018,house,,467.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-129097306,Davistown,NSW,2251,22/28 Paringa Ave,"22/28 Paringa Ave, Davistown, NSW 2251",450000,"$450,000",house,2,2,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,07 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-127663642,Davistown,NSW,2251,7 Lilli Pilli St,"7 Lilli Pilli St, Davistown, NSW 2251",620000,"$620,000",house,2,1,2,,,687.0,m²,XRWXER,Ray White RPG -   ,,,09 Mar 2018,house,,687.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-127253770,Davistown,NSW,2251,23 Davis Ave,"23 Davis Ave, Davistown, NSW 2251",600000,"$600,000",house,2,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,31 Jan 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-125554358,Davistown,NSW,2251,1/28 Paringa Ave,"1/28 Paringa Ave, Davistown, NSW 2251",405000,"$405,000",house,2,2,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,23 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-124635138,Davistown,NSW,2251,3/12 Davistown Rd,"3/12 Davistown Rd, Davistown, NSW 2251",418000,"$418,000",house,2,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,17 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-124605146,Davistown,NSW,2251,7 Elinya Lane,"7 Elinya Lane, Davistown, NSW 2251",760000,"$760,000",house,2,1,2,185,m²,600.7,m²,OSQXQV,Gittoes - East Gosford,,,28 Feb 2017,house,185,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-124449922,Davistown,NSW,2251,21 Restella Ave,"21 Restella Ave, Davistown, NSW 2251",520500,"$520,500",house,2,1,1,,,339.0,m²,XGBKIN,George Brand Real Estate - Kincumber,,,15 Feb 2017,house,,339.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-124562238,Davistown,NSW,2251,2/3 Jenkins St,"2/3 Jenkins St, Davistown, NSW 2251",525000,"$525,000",house,2,1,2,,,-1.0,,XRWXER,Ray White RPG -   ,,,09 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-123790990,Davistown,NSW,2251,52 Mirreen Ave,"52 Mirreen Ave, Davistown, NSW 2251",615000,"$615,000",house,2,1,1,,,766.0,m²,ABCSAR,Edge Residential - Saratoga,,,21 Oct 2016,house,,766.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-123488674,Davistown,NSW,2251,6 Arrunga Close,"6 Arrunga Close, Davistown, NSW 2251",681500,"$681,500",house,2,2,2,,,604.0,m²,XGBKIN,George Brand Real Estate - Kincumber,,,10 Oct 2016,house,,604.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-123519946,Davistown,NSW,2251,8 Grevillia Avenue,"8 Grevillia Avenue, Davistown, NSW 2251",570000,"$570,000",house,2,1,2,86,m²,455.3,m²,OSQXQV,Gittoes - East Gosford,,,01 Oct 2016,house,86,455.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-davistown-138735611,Davistown,NSW,2251,8 Grevillia Avenue,"8 Grevillia Avenue, Davistown, NSW 2251",1030000,"$1,030,000",house,2,1,2,83,m²,455.0,m²,ZRRWDY,The Agency Central Coast,,,28 Feb 2022,house,83,455.0
