badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-128411694,Dean Park,NSW,2761,1/54 Hoyle Dr,"1/54 Hoyle Dr, Dean Park, NSW 2761",,Contact agent,house,1,1,0,,,-1.0,,ANDBLA,Andrew Merton Real Estate - Quakers Hill,,,05 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141873748,Dean Park,NSW,2761,1 Lyall Avenue,"1 Lyall Avenue, Dean Park, NSW 2761",866150,"$866,150",house,3,1,2,,,600.0,m²,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,30 Apr 2023,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141676240,Dean Park,NSW,2761,12 Raupach Street,"12 Raupach Street, Dean Park, NSW 2761",855000,"$855,000",house,3,1,4,,,561.0,m²,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,19 Mar 2023,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141478596,Dean Park,NSW,2761,8 Kathy Way,"8 Kathy Way, Dean Park, NSW 2761",820000,"$820,000",house,3,1,3,,,-1.0,,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,02 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141373108,Dean Park,NSW,2761,80 Hoyle Drive,"80 Hoyle Drive, Dean Park, NSW 2761",707580,"$707,580",house,3,1,0,,,-1.0,,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,26 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141179812,Dean Park,NSW,2761,47 Yarramundi Drive,"47 Yarramundi Drive, Dean Park, NSW 2761",850000,"$850,000",house,3,1,2,,,-1.0,,YVKVDM,Laing+Simmons - Quakers Hill,,,15 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141288272,Dean Park,NSW,2761,105 Yarramundi Drive,"105 Yarramundi Drive, Dean Park, NSW 2761",785000,"$785,000",house,3,2,1,,,552.0,m²,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,12 Feb 2023,house,,552.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141154800,Dean Park,NSW,2761,12/12 Burrowes Grove,"12/12 Burrowes Grove, Dean Park, NSW 2761",770000,"$770,000",house,3,2,2,,,-1.0,,AYVGST,McGrath - Northwest,,,08 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-141145036,Dean Park,NSW,2761,54 Nathan Crescent,"54 Nathan Crescent, Dean Park, NSW 2761",788888,"$788,888",house,3,1,2,,,-1.0,,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,28 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dean+park-139798715,Dean Park,NSW,2761,101 Yarramundi Drive,"101 Yarramundi Drive, Dean Park, NSW 2761",773000,"$773,000",house,3,1,3,,,550.0,m²,RZCQUA,Response Real Estate - Quakers Hill,,,29 Dec 2022,house,,550.0
