badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-114701839,Dee Why,NSW,2099,30 Tasman Street,"30 Tasman Street, Dee Why, NSW 2099",1175000,"$1,175,000",house,1,1,1,,,405.0,m²,XLJDEE,LJ Hooker - Dee Why,,,23 Dec 2013,house,,405.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-109951351,Dee Why,NSW,2099,,,327000,"$327,000",house,1,1,1,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,04 Apr 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-107331679,Dee Why,NSW,2099,78 Cassia Street,"78 Cassia Street, Dee Why, NSW 2099",1055000,"$1,055,000",house,1,1,1,,,-1.0,,XRWHAR,Ray White - Freshwater,,,06 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-dee+why-106422469,Dee Why,NSW,2099,9/91 Pacific Parade,"9/91 Pacific Parade, Dee Why, NSW 2099",369950,"$369,950",warehouse,1,1,1,,,56.0,m²,XLJDEE,LJ Hooker - Dee Why,,,10 Apr 2010,house,,56.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-109689636,Dee Why,NSW,2099,24 Daisy Street,"24 Daisy Street, Dee Why, NSW 2099",1050000,"$1,050,000",house,1,1,2,,,-1.0,,DOYDEE,Doyle Spillane - Dee Why,,,23 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-108144346,Dee Why,NSW,2099,39 Bushey Place,"39 Bushey Place, Dee Why, NSW 2099",1265000,"$1,265,000",house,1,1,1,557,m²,557.0,m²,XLJDEE,LJ Hooker - Dee Why,,,03 Nov 2011,house,557,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-106966382,Dee Why,NSW,2099,14/12 Mooramba Rd,"14/12 Mooramba Rd, Dee Why, NSW 2099",360000,"$360,000",house,1,1,1,,,-1.0,,FCSWMW,RE/MAX Property Specialists - Dee Why & Narrabeen ,,,06 Dec 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-105850542,Dee Why,NSW,2099,4A Stoddart Place,"4A Stoddart Place, Dee Why, NSW 2099",495000,"$495,000",house,1,1,1,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,27 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-105733178,Dee Why,NSW,2099,30/98 Dee Why Parade,"30/98 Dee Why Parade, Dee Why, NSW 2099",310000,"$310,000",house,1,1,1,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,11 Jun 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-104888294,Dee Why,NSW,2099,5/11-13 Holborn Avenue,"5/11-13 Holborn Avenue, Dee Why, NSW 2099",,Contact agent,house,1,1,1,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,05 Jun 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-137450014,Dee Why,NSW,2099,45a Oaks Avenue,"45a Oaks Avenue, Dee Why, NSW 2099",1940000,"$1,940,000",house,2,1,1,,,-1.0,,XRWHAR,Ray White - Freshwater,,,30 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-136605830,Dee Why,NSW,2099,2 Keswick Street,"2 Keswick Street, Dee Why, NSW 2099",2920000,"$2,920,000",house,2,1,2,,,515.0,m²,THQDEE,NOVAK Properties -  Northern Beaches,,,17 Jul 2021,house,,515.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-132340778,Dee Why,NSW,2099,67 Pacific Parade,"67 Pacific Parade, Dee Why, NSW 2099",2480000,"$2,480,000",house,2,1,2,,,697.0,m²,XLJNAT,LJ Hooker - Narrabeen,,,30 Nov 2019,house,,697.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-132041502,Dee Why,NSW,2099,28 Maranui Avenue,"28 Maranui Avenue, Dee Why, NSW 2099",1490000,"$1,490,000",house,2,1,2,,,478.0,m²,XLJDEE,LJ Hooker - Dee Why,,,19 Oct 2019,house,,478.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-131803122,Dee Why,NSW,2099,9 McIntosh Road,"9 McIntosh Road, Dee Why, NSW 2099",1380000,"$1,380,000",house,2,1,2,,,655.0,m²,PRNSEA,Belle Property - Seaforth  ,,,12 Sep 2019,house,,655.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-130794286,Dee Why,NSW,2099,22 Tor Road,"22 Tor Road, Dee Why, NSW 2099",1201500,"$1,201,500",house,2,1,1,,,633.0,m²,DOYDEE,Doyle Spillane - Dee Why,,,13 Apr 2019,house,,633.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-130341198,Dee Why,NSW,2099,24 Tor Road,"24 Tor Road, Dee Why, NSW 2099",1230000,"$1,230,000",house,2,1,1,,,626.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,16 Feb 2019,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-129688150,Dee Why,NSW,2099,51 Redman Road,"51 Redman Road, Dee Why, NSW 2099",1350000,"$1,350,000",house,2,1,1,,,1114.0,m²,XLJDEE,LJ Hooker - Dee Why,,,19 Dec 2018,house,,1114.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-126594598,Dee Why,NSW,2099,1/32 Westminster Avenue,"1/32 Westminster Avenue, Dee Why, NSW 2099",1200000,"$1,200,000",house,2,1,2,,,-1.0,,XRHCOL,UPSTATE - DEE WHY,,,18 Jun 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-128152746,Dee Why,NSW,2099,64 Prescott Avenue,"64 Prescott Avenue, Dee Why, NSW 2099",1465000,"$1,465,000",house,2,1,2,,,556.0,m²,XLJDEE,LJ Hooker - Dee Why,,,12 May 2018,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dee+why-126904826,Dee Why,NSW,2099,6 Whaddon Avenue,"6 Whaddon Avenue, Dee Why, NSW 2099",1556000,"$1,556,000",house,2,1,3,,,474.2,m²,QJWEGU,Clarke & Humel Property - Manly,,,02 Dec 2017,house,,474.2
