badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-121960086,Denistone East,NSW,2112,8 Haig Avenue,"8 Haig Avenue, Denistone East, NSW 2112",1900000,"$1,900,000",house,1,1,0,,,-1.0,,XJCRYE,Jackson Rowe - RYDE,,,19 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-141589576,Denistone East,NSW,2112,5 Birdwood Street,"5 Birdwood Street, Denistone East, NSW 2112",2210000,"$2,210,000",house,2,1,1,,,708.0,m²,ZLGAZO,McGrath - Epping,,,25 Mar 2023,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-137101978,Denistone East,NSW,2112,523 Blaxland Road,"523 Blaxland Road, Denistone East, NSW 2112",1420000,"$1,420,000",house,2,1,2,,,499.0,m²,EHOEPP,Tracy Yap Realty - Epping,,,24 Sep 2021,house,,499.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-132922942,Denistone East,NSW,2112,401 Blaxland Road,"401 Blaxland Road, Denistone East, NSW 2112",1120000,"$1,120,000",house,2,1,2,,,-1.0,,IXEUCX,Raine & Horne - Gladesville/Hunters Hill,,,25 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-131176726,Denistone East,NSW,2112,421A Blaxland Road,"421A Blaxland Road, Denistone East, NSW 2112",820000,"$820,000",house,2,1,1,,,300.0,m²,CTIGUN,McGrath - Ryde ,,,14 Jun 2019,house,,300.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-denistone+east-126139290,Denistone East,NSW,2112,29 Russell Street,"29 Russell Street, Denistone East, NSW 2112",1215000,"$1,215,000",duplex-semi-detached,2,1,1,,,362.0,m²,ZLGAZO,McGrath - Epping,,,02 Sep 2017,house,,362.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-124927066,Denistone East,NSW,2112,65 Lovell Road,"65 Lovell Road, Denistone East, NSW 2112",1470000,"$1,470,000",house,2,1,1,,,695.0,m²,ZLGAZO,McGrath - Epping,,,01 Apr 2017,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-124934002,Denistone East,NSW,2112,481 Blaxland Road,"481 Blaxland Road, Denistone East, NSW 2112",1260000,"$1,260,000",house,2,1,1,,,572.0,m²,XFNEAT,Green Real Estate Agency - Eastwood & West Ryde,,,01 Apr 2017,house,,572.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-120085685,Denistone East,NSW,2112,16 Rickard St.,"16 Rickard St., Denistone East, NSW 2112",1320000,"$1,320,000",house,2,1,1,,,-1.0,,RMGCGK,RMA Eastwood - EASTWOOD,,,27 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-120121961,Denistone East,NSW,2112,401 Blaxland Road,"401 Blaxland Road, Denistone East, NSW 2112",1200000,"$1,200,000",house,2,1,2,,,-1.0,,CTIGUN,McGrath - Ryde ,,,19 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-116842083,Denistone East,NSW,2112,421A Blaxland Road,"421A Blaxland Road, Denistone East, NSW 2112",680000,"$680,000",house,2,1,2,,,303.0,m²,ZLGAZO,McGrath - Epping,,,17 May 2014,house,,303.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-116447455,Denistone East,NSW,2112,24 Birdwood Street,"24 Birdwood Street, Denistone East, NSW 2112",1265000,"$1,265,000",house,2,1,1,,,866.0,m²,CDFPQO,McGrath - Hunters Hill,,,14 Apr 2014,house,,866.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-115946575,Denistone East,NSW,2112,10 Richmond Street,"10 Richmond Street, Denistone East, NSW 2112",1200000,"$1,200,000",house,2,1,2,,,-1.0,,XRWGLB,Cassidy Real Estate - GLADESVILLE,,,26 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-109752996,Denistone East,NSW,2112,26 Birdwood Street,"26 Birdwood Street, Denistone East, NSW 2112",880000,"$880,000",house,2,1,2,,,746.0,m²,XJCRYE,Jackson Rowe - RYDE,,,16 May 2012,house,,746.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-107253352,Denistone East,NSW,2112,102 North Road,"102 North Road, Denistone East, NSW 2112",760000,"$760,000",house,2,1,1,,,-1.0,,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,07 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-107162166,Denistone East,NSW,2112,1 Brabyn Street,"1 Brabyn Street, Denistone East, NSW 2112",775000,"$775,000",house,2,1,2,,,695.0,m²,XFNEPP,Atlas by L J Hooker - Epping,,,23 Mar 2011,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-106836073,Denistone East,NSW,2112,7 Brabyn Street,"7 Brabyn Street, Denistone East, NSW 2112",860000,"$860,000",house,2,1,1,,,-1.0,,XFNEPP,Atlas by L J Hooker - Epping,,,09 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-105669594,Denistone East,NSW,2112,31 Haig Avenue,"31 Haig Avenue, Denistone East, NSW 2112",746000,"$746,000",house,2,1,2,,,632.0,m²,XFNEPP,Atlas by L J Hooker - Epping,,,30 May 2009,house,,632.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-denistone+east-135700498,Denistone East,NSW,2112,27 Russell Street,"27 Russell Street, Denistone East, NSW 2112",,Contact agent,duplex-semi-detached,2,1,0,,,702.0,m²,MBAMUB,Australian Home Partners,,,25 Oct 2021,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-119103727,Denistone East,NSW,2112,519-521 Blaxland Road,"519-521 Blaxland Road, Denistone East, NSW 2112",,Contact agent,house,2,1,3,,,948.0,m²,XNTWES,Green Real Estate Agency - West Ryde & Eastwood,,,18 Mar 2015,house,,948.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-114734383,Denistone East,NSW,2112,525 Blaxland Road,"525 Blaxland Road, Denistone East, NSW 2112",878000,"$878,000",house,2,1,4,,,638.0,m²,ZLGAZO,McGrath - Epping,,,17 Sep 2013,house,,638.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-107797971,Denistone East,NSW,2112,,,,Contact agent,house,2,1,1,,,708.0,m²,,,,,30 Sep 2011,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-141191164,Denistone East,NSW,2112,54A Brabyn Street,"54A Brabyn Street, Denistone East, NSW 2112",1638000,"$1,638,000",house,3,2,2,,,468.0,m²,EHOEPP,Tracy Yap Realty - Epping,,,24 Feb 2023,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-140039707,Denistone East,NSW,2112,21 Russell Street,"21 Russell Street, Denistone East, NSW 2112",1580000,"$1,580,000",house,3,2,2,121,m²,312.4,m²,MRQLAL,Pello  - Northern Suburbs,,,27 Aug 2022,house,121,312.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-138243238,Denistone East,NSW,2112,37 Cecil Street,"37 Cecil Street, Denistone East, NSW 2112",2200000,"$2,200,000",house,3,2,1,,,594.0,m²,XRWXBR,Property Route - Baulkham Hills/Eastwood,,,12 Feb 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-137658842,Denistone East,NSW,2112,29 Haig Avenue,"29 Haig Avenue, Denistone East, NSW 2112",2683000,"$2,683,000",house,3,2,2,,,632.0,m²,CTIGUN,McGrath - Ryde ,,,10 Nov 2021,house,,632.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-137236918,Denistone East,NSW,2112,17 Beattie Avenue,"17 Beattie Avenue, Denistone East, NSW 2112",2150000,"$2,150,000",house,3,2,1,,,562.0,m²,CTIGUN,McGrath - Ryde ,,,08 Oct 2021,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-136484990,Denistone East,NSW,2112,13 Kings Road,"13 Kings Road, Denistone East, NSW 2112",1980000,"$1,980,000",house,3,1,2,,,673.0,m²,EHOEPP,Tracy Yap Realty - Epping,,,24 Jun 2021,house,,673.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-136083098,Denistone East,NSW,2112,53 Brabyn Street,"53 Brabyn Street, Denistone East, NSW 2112",2450000,"$2,450,000",house,3,1,2,,,815.7,m²,XRWEPS,Ray White - Epping,,,23 Jun 2021,house,,815.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-denistone+east-135587966,Denistone East,NSW,2112,397 Blaxland Road,"397 Blaxland Road, Denistone East, NSW 2112",2150000,"$2,150,000",house,3,1,2,,,-1.0,,EHOEPP,Tracy Yap Realty - Epping,,,27 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-denistone+east-134742114,Denistone East,NSW,2112,2/41 Cecil Street,"2/41 Cecil Street, Denistone East, NSW 2112",1255000,"$1,255,000",duplex-semi-detached,3,2,1,,,218.0,m²,HMAMDH,The Agency North West - RYDE,,,10 Feb 2021,house,,218.0
