badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-106067763,Dharruk,NSW,2770,6 Caramar Street,"6 Caramar Street, Dharruk, NSW 2770",,Contact agent,house,2,1,1,,,-1.0,,XCEMOU,Stockton Grange - Mount Druitt,,,07 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-141811568,Dharruk,NSW,2770,13 Livingston Avenue,"13 Livingston Avenue, Dharruk, NSW 2770",574000,"$574,000",house,3,1,1,,,575.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,22 Apr 2023,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-140754435,Dharruk,NSW,2770,6 Lumea Place,"6 Lumea Place, Dharruk, NSW 2770",720000,"$720,000",house,3,1,1,,,696.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,08 Dec 2022,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139857335,Dharruk,NSW,2770,15 Livingston Avenue,"15 Livingston Avenue, Dharruk, NSW 2770",623000,"$623,000",house,3,1,2,,,575.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,08 Dec 2022,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-140931860,Dharruk,NSW,2770,9 Bambara Street,"9 Bambara Street, Dharruk, NSW 2770",630000,"$630,000",house,3,1,4,,,556.0,m²,MMIXNH,Ray White Mt Druitt,,,29 Nov 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139427723,Dharruk,NSW,2770,236 Carlisle Avenue,"236 Carlisle Avenue, Dharruk, NSW 2770",730000,"$730,000",house,3,1,2,,,626.0,m²,NKVFNY,Property Results - ROPES CROSSING,,,31 Oct 2022,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-140463915,Dharruk,NSW,2770,25 Arundell Street,"25 Arundell Street, Dharruk, NSW 2770",710000,"$710,000",house,3,1,2,,,-1.0,,LMXMWS,One Agency Ellul Property Group - ST CLAIR,,,03 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139545871,Dharruk,NSW,2770,75 Stuart Road,"75 Stuart Road, Dharruk, NSW 2770",620000,"$620,000",house,3,1,1,,,575.4,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,02 Sep 2022,house,,575.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139658915,Dharruk,NSW,2770,35 Tarana Crescent,"35 Tarana Crescent, Dharruk, NSW 2770",757000,"$757,000",house,3,1,0,,,582.0,m²,,,,,16 Aug 2022,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139764799,Dharruk,NSW,2770,23 Eloura Street,"23 Eloura Street, Dharruk, NSW 2770",725000,"$725,000",house,3,1,3,,,558.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,04 Aug 2022,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139659127,Dharruk,NSW,2770,1 Dural Place,"1 Dural Place, Dharruk, NSW 2770",620000,"$620,000",house,3,1,2,80,m²,600.0,m²,QQHRJX,LJ Hooker - Colyton | St Clair ,,,15 Jul 2022,house,80,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-139218159,Dharruk,NSW,2770,8 Cudgee Place,"8 Cudgee Place, Dharruk, NSW 2770",880000,"$880,000",house,3,1,2,,,928.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,03 Jun 2022,house,,928.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-138628435,Dharruk,NSW,2770,37 Tarana Crescent,"37 Tarana Crescent, Dharruk, NSW 2770",781000,"$781,000",house,3,1,2,,,558.0,m²,RFFPLJ,Belle Property - Parramatta,,,19 Mar 2022,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-138631995,Dharruk,NSW,2770,8 Willyama Street,"8 Willyama Street, Dharruk, NSW 2770",790000,"$790,000",house,3,1,1,,,666.3,m²,HGMSVA,Ray White - Blacktown City,,,11 Mar 2022,house,,666.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-dharruk-138636151,Dharruk,NSW,2770,84 Stuart Road,"84 Stuart Road, Dharruk, NSW 2770",762599,"$762,599",house,3,1,2,95,m²,557.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,26 Feb 2022,house,95,557.0
