badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-141177920,Dora Creek,NSW,2264,4 Sydney Road,"4 Sydney Road, Dora Creek, NSW 2264",645000,"$645,000",house,1,1,1,,,478.0,m²,GCVSXR,Elle Jayne Realty - Morisset,,,15 Feb 2023,house,,478.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-122621510,Dora Creek,NSW,2264,37 Newport Road,"37 Newport Road, Dora Creek, NSW 2264",495000,"$495,000",house,1,2,2,,,695.6,m²,XRHMOT,PRD  - Real Estate,,,20 May 2016,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-127789030,Dora Creek,NSW,2264,5 Narenta Street,"5 Narenta Street, Dora Creek, NSW 2264",417500,"$417,500",house,1,1,1,,,916.9,m²,CRGCHA,Creer Property - Charlestown     ,,,14 Mar 2018,house,,916.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-119142955,Dora Creek,NSW,2264,128 Dora Street,"128 Dora Street, Dora Creek, NSW 2264",360000,"$360,000",house,1,1,1,,,1855.0,m²,XRHMOT,PRD  - Real Estate,,,02 Mar 2015,house,,1855.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-116599611,Dora Creek,NSW,2264,18  Cowell Street,"18  Cowell Street, Dora Creek, NSW 2264",250000,"$250,000",house,1,1,1,,,369.0,m²,MPPMOR,Morisset City Real Estate - Morisset,,,15 Apr 2014,house,,369.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-106511619,Dora Creek,NSW,2264,25 Coorumbung Road,"25 Coorumbung Road, Dora Creek, NSW 2264",160000,"$160,000",house,1,1,0,,,-1.0,,DOWMOR,Wilson Britten - Morisset,,,12 Jul 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-104760991,Dora Creek,NSW,2264,,,338000,"$338,000",house,1,1,1,,,676.0,m²,XRHMOT,PRD  - Real Estate,,,20 Jun 2008,house,,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-115713275,Dora Creek,NSW,2264,,,265000,"$265,000",house,1,1,1,,,-1.0,,XRWTOR,Ray White - Toronto,,,20 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-106125426,Dora Creek,NSW,2264,128 Dora Street,"128 Dora Street, Dora Creek, NSW 2264",325000,"$325,000",house,1,1,1,,,1855.0,m²,XRHMOT,PRD  - Real Estate,,,08 Nov 2013,house,,1855.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-112636611,Dora Creek,NSW,2264,8 Dora Street,"8 Dora Street, Dora Creek, NSW 2264",230000,"$230,000",house,1,1,1,,,-1.0,,XRWMOA,Ray White - Morisset,,,11 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-138477667,Dora Creek,NSW,2264,122 Stingaree Point Drive,"122 Stingaree Point Drive, Dora Creek, NSW 2264",1660000,"$1,660,000",house,2,1,5,,,1.6,ha,XRWMOA,Ray White - Morisset,,,30 Jan 2023,house,,16000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-140628515,Dora Creek,NSW,2264,18a Dora St,"18a Dora St, Dora Creek, NSW 2264",645000,"$645,000",house,2,1,1,,,694.0,m²,XRWMOA,Ray White - Morisset,,,31 Oct 2022,house,,694.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-129298818,Dora Creek,NSW,2264,42 Dora Street,"42 Dora Street, Dora Creek, NSW 2264",450000,"$450,000",house,2,1,1,,,613.0,m²,XRWMOA,Ray White - Morisset,,,09 Nov 2018,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-127888550,Dora Creek,NSW,2264,1/57 Coorumbung Road,"1/57 Coorumbung Road, Dora Creek, NSW 2264",445000,"$445,000",house,2,2,2,,,347.0,m²,XRWMOA,Ray White - Morisset,,,21 Jun 2018,house,,347.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-127923722,Dora Creek,NSW,2264,2/57 Coorumbung Road,"2/57 Coorumbung Road, Dora Creek, NSW 2264",440000,"$440,000",house,2,1,2,,,449.0,m²,XRWMOA,Ray White - Morisset,,,27 Apr 2018,house,,449.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-127191770,Dora Creek,NSW,2264,98 Kalang Road,"98 Kalang Road, Dora Creek, NSW 2264",580000,"$580,000",house,2,2,2,,,443.0,m²,XRWMOA,Ray White - Morisset,,,09 Apr 2018,house,,443.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-126895042,Dora Creek,NSW,2264,10 Kalang Road,"10 Kalang Road, Dora Creek, NSW 2264",395000,"$395,000",house,2,1,1,,,841.0,m²,XRWMOA,Ray White - Morisset,,,24 Nov 2017,house,,841.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-125550562,Dora Creek,NSW,2264,57 Stingaree Point Drive,"57 Stingaree Point Drive, Dora Creek, NSW 2264",834000,"$834,000",house,2,1,1,,,1164.0,m²,XRWMOA,Ray White - Morisset,,,19 Jun 2017,house,,1164.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-125508570,Dora Creek,NSW,2264,126B Dora Street,"126B Dora Street, Dora Creek, NSW 2264",495000,"$495,000",house,2,1,1,,,1073.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,29 May 2017,house,,1073.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-124906666,Dora Creek,NSW,2264,70 Dora Street,"70 Dora Street, Dora Creek, NSW 2264",415000,"$415,000",house,2,3,2,,,580.0,m²,XRWMOA,Ray White - Morisset,,,28 Apr 2017,house,,580.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-123953850,Dora Creek,NSW,2264,31 Stingaree Point Drive,"31 Stingaree Point Drive, Dora Creek, NSW 2264",845000,"$845,000",house,2,2,2,,,992.0,m²,XRWMOA,Ray White - Morisset,,,20 Dec 2016,house,,992.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-124216474,Dora Creek,NSW,2264,70 Newport Road,"70 Newport Road, Dora Creek, NSW 2264",385000,"$385,000",house,2,1,4,,,684.0,m²,XRWMOA,Ray White - Morisset,,,05 Dec 2016,house,,684.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-123165194,Dora Creek,NSW,2264,18a Dora Street,"18a Dora Street, Dora Creek, NSW 2264",360000,"$360,000",house,2,1,1,,,692.8,m²,XRHMOT,PRD  - Real Estate,,,24 Jul 2016,house,,692.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-120849617,Dora Creek,NSW,2264,37 Cowell Street,"37 Cowell Street, Dora Creek, NSW 2264",525000,"$525,000",house,2,1,1,,,404.0,m²,XRHMOT,PRD  - Real Estate,,,25 Jan 2016,house,,404.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-139272987,Dora Creek,NSW,2264,126B Dora Street,"126B Dora Street, Dora Creek, NSW 2264",865000,"$865,000",house,2,1,1,,,1073.0,m²,GCVSXR,Elle Jayne Realty - Morisset,,,05 May 2022,house,,1073.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-135876958,Dora Creek,NSW,2264,34 Baker Street,"34 Baker Street, Dora Creek, NSW 2264",710000,"$710,000",house,2,2,2,,,562.0,m²,XNNGFX,PRD - Real Estate,,,02 May 2021,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-134095202,Dora Creek,NSW,2264,3 Gardiner Street,"3 Gardiner Street, Dora Creek, NSW 2264",340000,"$340,000",house,2,2,1,,,916.0,m²,DOWMOR,Wilson Britten - Morisset,,,27 Aug 2020,house,,916.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-133453222,Dora Creek,NSW,2264,31 Cowell Street,"31 Cowell Street, Dora Creek, NSW 2264",530000,"$530,000",house,2,1,0,,,417.0,m²,MPPMOR,Morisset City Real Estate - Morisset,,,05 May 2020,house,,417.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dora+creek-133036726,Dora Creek,NSW,2264,70 Newport Road,"70 Newport Road, Dora Creek, NSW 2264",470000,"$470,000",house,2,1,1,,,-1.0,,CAYGOR,Capital One Real Estate - Central Coast,,,10 Mar 2020,house,,-1.0
