badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-125742066,Dover Heights,NSW,2030,20 Wentworth Street,"20 Wentworth Street, Dover Heights, NSW 2030",4410000,"$4,410,000",house,2,2,2,,,-1.0,,XBBDOU,Bradfield BadgerFox - DOUBLE BAY,,,11 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-dover+heights-118230355,Dover Heights,NSW,2030,14 Peel Street,"14 Peel Street, Dover Heights, NSW 2030",1380000,"$1,380,000",duplex-semi-detached,2,1,0,,,215.0,m²,DWNPCX,No Agent Property - BRIGHTON EAST,,,10 Nov 2014,house,,215.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-117080235,Dover Heights,NSW,2030,7 Kobada Road,"7 Kobada Road, Dover Heights, NSW 2030",1520000,"$1,520,000",house,2,1,2,,,272.0,m²,XBBDOU,Bradfield BadgerFox - DOUBLE BAY,,,17 Jun 2014,house,,272.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-106332143,Dover Heights,NSW,2030,57 Eastern Avenue,"57 Eastern Avenue, Dover Heights, NSW 2030",2651000,"$2,651,000",house,2,1,2,,,347.0,m²,XCEGOA,Savills - SYDNEY,,,17 Mar 2010,house,,347.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-106328211,Dover Heights,NSW,2030,57 Eastern,"57 Eastern, Dover Heights, NSW 2030",2651000,"$2,651,000",house,2,1,2,,,347.0,m²,XCEGOA,Savills - SYDNEY,,,17 Mar 2010,house,,347.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-105938788,Dover Heights,NSW,2030,13 Peel Street,"13 Peel Street, Dover Heights, NSW 2030",1200000,"$1,200,000",house,2,1,1,,,-1.0,,TCMLHR,Sydney Sotheby's International Realty - Double Bay,,,08 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-140379051,Dover Heights,NSW,2030,14A George Street,"14A George Street, Dover Heights, NSW 2030",3350000,"$3,350,000",house,2,1,1,,,-1.0,,XRHDOU,Raine & Horne - Double Bay,,,10 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-128929698,Dover Heights,NSW,2030,272 Military Road,"272 Military Road, Dover Heights, NSW 2030",,Contact agent,house,2,1,2,,,265.0,m²,XOEVVN,PPD Real Estate,,,18 Sep 2018,house,,265.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-126879614,Dover Heights,NSW,2030,39 Eastern Avenue,"39 Eastern Avenue, Dover Heights, NSW 2030",2170000,"$2,170,000",house,2,1,2,,,-1.0,,XBBDOU,Bradfield BadgerFox - DOUBLE BAY,,,08 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-125305042,Dover Heights,NSW,2030,251 Military Road,"251 Military Road, Dover Heights, NSW 2030",2150000,"$2,150,000",house,2,2,0,,,-1.0,,XRWDOU,Ray White - Double Bay,,,02 May 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-dover+heights-122824506,Dover Heights,NSW,2030,7 Kobada Road,"7 Kobada Road, Dover Heights, NSW 2030",1850000,"$1,850,000",house,2,1,2,,,-1.0,,XRWDOU,Ray White - Double Bay,,,15 Aug 2016,house,,-1.0
