badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-140437995,Drummoyne,NSW,2047,113 St Georges Crescent,"113 St Georges Crescent, Drummoyne, NSW 2047",2800000,"$2,800,000",house,1,1,1,,,371.0,m²,WHMUKE,BresicWhitney - Balmain,,,24 Oct 2022,house,,371.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-137353406,Drummoyne,NSW,2047,121 Henley Marine Drive,"121 Henley Marine Drive, Drummoyne, NSW 2047",2280000,"$2,280,000",house,1,1,0,,,132.8,m²,ABCFIV,Time Realty - Five Dock,,,23 Oct 2021,house,,132.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-137348206,Drummoyne,NSW,2047,24 Park Avenue,"24 Park Avenue, Drummoyne, NSW 2047",1570000,"$1,570,000",house,1,1,1,,,132.7,m²,VSETZG,Richard Matthews Real Estate - Strathfield,,,23 Oct 2021,house,,132.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-117996703,Drummoyne,NSW,2047,378 Victoria Place,"378 Victoria Place, Drummoyne, NSW 2047",,Contact agent,house,1,1,1,,,628.0,m²,CDFPQO,McGrath - Hunters Hill,,,18 Oct 2014,house,,628.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-drummoyne-112017019,Drummoyne,NSW,2047,7/52 Lyons Road,"7/52 Lyons Road, Drummoyne, NSW 2047",591000,"$591,000",residential-other,1,1,1,,,-1.0,,RAOCON,Raine & Horne - Concord | Strathfield ,,,22 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-141879180,Drummoyne,NSW,2047,32 Victoria Road,"32 Victoria Road, Drummoyne, NSW 2047",1290050,"$1,290,050",house,2,1,0,,,147.5,m²,XRWDRU,Ray White - Drummoyne,,,04 May 2023,house,,147.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-141544676,Drummoyne,NSW,2047,101 Thompson Street,"101 Thompson Street, Drummoyne, NSW 2047",1870000,"$1,870,000",house,2,1,0,,,253.0,m²,COBBAP,CobdenHayson Balmain - BALMAIN,,,28 Feb 2023,house,,253.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-140281295,Drummoyne,NSW,2047,24 Formosa Street,"24 Formosa Street, Drummoyne, NSW 2047",1685000,"$1,685,000",house,2,1,0,,,-1.0,,XRWBAA,Coopers Agency - BALMAIN,,,19 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-drummoyne-140076475,Drummoyne,NSW,2047,5 Bradley Street,"5 Bradley Street, Drummoyne, NSW 2047",2188888,"$2,188,888",duplex-semi-detached,2,1,2,,,512.0,m²,WACDRU,Warwick Williams Real Estate - Drummoyne,,,03 Sep 2022,house,,512.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-drummoyne-139156567,Drummoyne,NSW,2047,28 Thornley Street,"28 Thornley Street, Drummoyne, NSW 2047",1650000,"$1,650,000",duplex-semi-detached,2,1,0,,,185.9,m²,XLSDRU,CobdenHayson - Drummoyne,,,10 Jun 2022,house,,185.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-139266375,Drummoyne,NSW,2047,52 Gipps Street,"52 Gipps Street, Drummoyne, NSW 2047",2000000,"$2,000,000",house,2,1,1,,,343.0,m²,XRWGLB,Cassidy Real Estate - GLADESVILLE,,,04 Jun 2022,house,,343.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-drummoyne-138703023,Drummoyne,NSW,2047,33 Broughton Street,"33 Broughton Street, Drummoyne, NSW 2047",2050000,"$2,050,000",house,2,2,3,,,227.6,m²,XFNDRU,Devine Real Estate - Drummoyne,,,02 Apr 2022,house,,227.6
