badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-115583831,Duffys Forest,NSW,2084,,,,Contact agent,house,1,1,0,,,-1.0,,XRWTEH,Sydney Country Living - TERREY HILLS,,,31 Jan 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-duffys+forest-106875680,Duffys Forest,NSW,2084,,,,Contact agent,acreage,1,1,0,,,-1.0,,XRWTEH,Sydney Country Living - TERREY HILLS,,,23 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-118977383,Duffys Forest,NSW,2084,,,2100000,"$2,100,000",house,3,1,1,,,1.7,ha,XRWTEH,Sydney Country Living - TERREY HILLS,,,16 Feb 2015,house,,17000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-117735531,Duffys Forest,NSW,2084,,,3350000,"$3,350,000",house,3,4,2,,,1.51,ha,XRWTEH,Sydney Country Living - TERREY HILLS,,,31 Aug 2014,house,,15100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-duffys+forest-107888061,Duffys Forest,NSW,2084,,,,Contact agent,acreage,3,1,1,,,-1.0,,XRWTEH,Sydney Country Living - TERREY HILLS,,,15 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-107674626,Duffys Forest,NSW,2084,1 Namba Road,"1 Namba Road, Duffys Forest, NSW 2084",,Contact agent,house,3,1,1,,,2.15,ha,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,14 Mar 2013,house,,21500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-107514879,Duffys Forest,NSW,2084,8 The Greenway,"8 The Greenway, Duffys Forest, NSW 2084",,Contact agent,house,3,2,3,,,2105.0,m²,,,,,12 Jan 2012,house,,2105.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-140783851,Duffys Forest,NSW,2084,29 The Greenway,"29 The Greenway, Duffys Forest, NSW 2084",4300000,"$4,300,000",house,4,4,2,,,2030.0,m²,KLASEA,Stone Real Estate Seaforth - Seaforth,,,07 Dec 2022,house,,2030.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-134198466,Duffys Forest,NSW,2084,3 The Greenway,"3 The Greenway, Duffys Forest, NSW 2084",4050000,"$4,050,000",house,4,3,3,,,2073.0,m²,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,14 Aug 2020,house,,2073.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-duffys+forest-106091496,Duffys Forest,NSW,2084,389 Wyong Road,"389 Wyong Road, Duffys Forest, NSW 2084",3040000,"$3,040,000",house,4,2,10,,,2.03,ha,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,27 Nov 2009,house,,20299.999999999996
