badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-eagle+vale-137533630,Eagle Vale,NSW,2558,327 Proposed Road,"327 Proposed Road, Eagle Vale, NSW 2558",940700,"$940,700",house,0,2,2,222.97,m²,442.0,m²,,,,,20 Apr 2022,house,222.97,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eagle+vale-118496643,Eagle Vale,NSW,2558,10 Crozier Street,"10 Crozier Street, Eagle Vale, NSW 2558",385000,"$385,000",house,0,1,0,,,560.0,m²,ABCCAQ,Professionals - Campbelltown,,,16 Dec 2014,house,,560.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-eagle+vale-126882038,Eagle Vale,NSW,2558,12A Cinnabar St,"12A Cinnabar St, Eagle Vale, NSW 2558",437000,"$437,000",duplex-semi-detached,2,1,1,,,-1.0,,OBJOFN,Starr Partners - Campbelltown,,,14 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-eagle+vale-125788834,Eagle Vale,NSW,2558,8A Pyrite Place,"8A Pyrite Place, Eagle Vale, NSW 2558",512754,"$512,754",duplex-semi-detached,2,1,1,,,-1.0,,AYSHJN,First National Real Estate Collective - Narellan,,,17 Jul 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eagle+vale-124897654,Eagle Vale,NSW,2558,12 Newbury Place,"12 Newbury Place, Eagle Vale, NSW 2558",615000,"$615,000",house,2,1,1,,,561.0,m²,HBGYTR,Ray White Macarthur Group,,,16 May 2017,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eagle+vale-123857526,Eagle Vale,NSW,2558,8/193 Gould Road,"8/193 Gould Road, Eagle Vale, NSW 2558",435000,"$435,000",house,2,1,1,,,163.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,01 Nov 2016,house,,163.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-eagle+vale-136020242,Eagle Vale,NSW,2558,12A Cinnabar Street,"12A Cinnabar Street, Eagle Vale, NSW 2558",470000,"$470,000",duplex-semi-detached,2,1,1,,,-1.0,,OBJOFN,Starr Partners - Campbelltown,,,01 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-eagle+vale-136013090,Eagle Vale,NSW,2558,6/10-12 Fairweather Place,"6/10-12 Fairweather Place, Eagle Vale, NSW 2558",470000,"$470,000",duplex-semi-detached,2,1,2,,,154.0,m²,LUHBMS,Century 21 - Glenfield,,,30 Apr 2021,house,,154.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-eagle+vale-135783486,Eagle Vale,NSW,2558,8B Pyrite Place,"8B Pyrite Place, Eagle Vale, NSW 2558",501000,"$501,000",duplex-semi-detached,2,1,1,,,271.4,m²,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,26 Mar 2021,house,,271.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-eagle+vale-135289990,Eagle Vale,NSW,2558,5/10 Fairweather Place,"5/10 Fairweather Place, Eagle Vale, NSW 2558",415000,"$415,000",house,2,1,1,,,-1.0,,MSUKGB,Murray Kennedy Real Estate - Narellan ,,,15 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eagle+vale-133023170,Eagle Vale,NSW,2558,27B Cornelian Avenue,"27B Cornelian Avenue, Eagle Vale, NSW 2558",465000,"$465,000",house,2,1,1,,,284.0,m²,STANST,LJ Hooker - St Andrews,,,26 Mar 2020,house,,284.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-eagle+vale-122051494,Eagle Vale,NSW,2558,27B Cornelian Avenue,"27B Cornelian Avenue, Eagle Vale, NSW 2558",415000,"$415,000",duplex-semi-detached,2,1,1,,,284.0,m²,STANST,LJ Hooker - St Andrews,,,22 Apr 2016,house,,284.0
