badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-east+gosford-118899835,East Gosford,NSW,2250,17 Brougham Street,"17 Brougham Street, East Gosford, NSW 2250",,Contact agent,residential-other,0,1,0,,,3071.0,m²,OSQXQV,Gittoes - East Gosford,,,17 Dec 2013,house,,3071.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-104471379,East Gosford,NSW,2250,,,,Contact agent,house,1,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,24 Apr 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-138708463,East Gosford,NSW,2250,13/39-43 Melbourne Street,"13/39-43 Melbourne Street, East Gosford, NSW 2250",470000,"$470,000",house,2,1,1,,,-1.0,,GPDGOS,Raine & Horne - Gosford / East Gosford,,,22 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-132051474,East Gosford,NSW,2250,46A Melbourne Street,"46A Melbourne Street, East Gosford, NSW 2250",715000,"$715,000",house,2,1,2,,,611.0,m²,QTLSIP,One Agency Neil & Helena Mani - Gosford,,,31 Jan 2020,house,,611.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-131742282,East Gosford,NSW,2250,1/20 Russell Street,"1/20 Russell Street, East Gosford, NSW 2250",468000,"$468,000",house,2,1,1,,,-1.0,,GPDGOS,Raine & Horne - Gosford / East Gosford,,,22 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-132004638,East Gosford,NSW,2250,5 Enid Crescent,"5 Enid Crescent, East Gosford, NSW 2250",605000,"$605,000",house,2,1,2,,,512.0,m²,OSQXQV,Gittoes - East Gosford,,,12 Oct 2019,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-132004662,East Gosford,NSW,2250,84 Lushington Street,"84 Lushington Street, East Gosford, NSW 2250",578000,"$578,000",house,2,1,1,94,m²,525.0,m²,OSQXQV,Gittoes - East Gosford,,,26 Sep 2019,house,94,525.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-130292134,East Gosford,NSW,2250,37 Lynnette Crescent,"37 Lynnette Crescent, East Gosford, NSW 2250",440000,"$440,000",house,2,1,1,,,734.0,m²,QTLSIP,One Agency Neil & Helena Mani - Gosford,,,01 Mar 2019,house,,734.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-129428474,East Gosford,NSW,2250,24 White Street,"24 White Street, East Gosford, NSW 2250",675000,"$675,000",house,2,1,1,128,m²,474.0,m²,OSQXQV,Gittoes - East Gosford,,,04 Oct 2018,house,128,474.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-126366150,East Gosford,NSW,2250,1/21 Melbourne St,"1/21 Melbourne St, East Gosford, NSW 2250",490000,"$490,000",house,2,2,1,,,-1.0,,ABCSAR,Edge Residential - Saratoga,,,30 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-126413774,East Gosford,NSW,2250,4 Susan Street,"4 Susan Street, East Gosford, NSW 2250",600000,"$600,000",house,2,1,2,,,493.0,m²,OSQXQV,Gittoes - East Gosford,,,29 Sep 2017,house,,493.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-121012286,East Gosford,NSW,2250,41 George Street,"41 George Street, East Gosford, NSW 2250",517000,"$517,000",house,2,1,1,,,569.0,m²,OSQXQV,Gittoes - East Gosford,,,20 Oct 2015,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-120804773,East Gosford,NSW,2250,41A George Street,"41A George Street, East Gosford, NSW 2250",550000,"$550,000",house,2,2,1,,,607.0,m²,OSQXQV,Gittoes - East Gosford,,,16 Oct 2015,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-127531306,East Gosford,NSW,2250,22 Lushington Street,"22 Lushington Street, East Gosford, NSW 2250",650000,"$650,000",house,2,1,2,100,m²,727.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,12 Mar 2018,house,100,727.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-127045398,East Gosford,NSW,2250,38 Wells Street,"38 Wells Street, East Gosford, NSW 2250",675000,"$675,000",house,2,1,1,,,660.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,11 Dec 2017,house,,660.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-125958906,East Gosford,NSW,2250,34 Althorp Street,"34 Althorp Street, East Gosford, NSW 2250",721000,"$721,000",house,2,1,1,,,670.3,m²,TUGTUG,Tuggerah Realty - Tuggerah,,,28 Aug 2017,house,,670.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-124532482,East Gosford,NSW,2250,31 Lynnette Crescent,"31 Lynnette Crescent, East Gosford, NSW 2250",475000,"$475,000",house,2,1,0,,,544.0,m²,WNWMIZ,inStyle Estate Agents Central Coast,,,01 May 2017,house,,544.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-122339490,East Gosford,NSW,2250,48 Webb Street,"48 Webb Street, East Gosford, NSW 2250",771000,"$771,000",house,2,1,1,,,1851.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,04 Aug 2016,house,,1851.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-122625410,East Gosford,NSW,2250,3/111 Victoria Street,"3/111 Victoria Street, East Gosford, NSW 2250",320000,"$320,000",house,2,1,0,,,-1.0,,QTLSIP,One Agency Neil & Helena Mani - Gosford,,,06 Jul 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-120417305,East Gosford,NSW,2250,15 Russsell Street,"15 Russsell Street, East Gosford, NSW 2250",483000,"$483,000",house,2,1,1,,,-1.0,,XRWXER,Ray White RPG -   ,,,11 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-119453475,East Gosford,NSW,2250,32 Victoria Street,"32 Victoria Street, East Gosford, NSW 2250",500000,"$500,000",house,2,1,1,,,-1.0,,FTSNJG,One Agency Kylee Jones Properties - Wyoming,,,17 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-119341063,East Gosford,NSW,2250,37 Lynnette Crescent,"37 Lynnette Crescent, East Gosford, NSW 2250",360000,"$360,000",house,2,1,1,,,734.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,08 Apr 2015,house,,734.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-119391135,East Gosford,NSW,2250,46a Melbourne Street,"46a Melbourne Street, East Gosford, NSW 2250",530000,"$530,000",house,2,1,1,,,607.0,m²,KATWYO,McGrath - Gosford,,,30 Mar 2015,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-119298459,East Gosford,NSW,2250,9 Margaret Rose Drive,"9 Margaret Rose Drive, East Gosford, NSW 2250",460000,"$460,000",house,2,1,1,,,486.0,m²,OSQXQV,Gittoes - East Gosford,,,27 Mar 2015,house,,486.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-119003995,East Gosford,NSW,2250,31 White Street,"31 White Street, East Gosford, NSW 2250",491000,"$491,000",house,2,1,2,,,474.0,m²,KATWYO,McGrath - Gosford,,,28 Feb 2015,house,,474.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-118507787,East Gosford,NSW,2250,32 Henry Parry Drive,"32 Henry Parry Drive, East Gosford, NSW 2250",410000,"$410,000",house,2,1,1,,,790.0,m²,,,,,15 Dec 2014,house,,790.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-117936175,East Gosford,NSW,2250,31 Frederick Street,"31 Frederick Street, East Gosford, NSW 2250",562000,"$562,000",house,2,1,0,,,689.0,m²,PTRTER,Property Central - CENTRAL COAST,,,24 Nov 2014,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-118124283,East Gosford,NSW,2250,69 Brougham Street,"69 Brougham Street, East Gosford, NSW 2250",520000,"$520,000",house,2,1,1,,,670.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,01 Nov 2014,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-116383095,East Gosford,NSW,2250,37 Lynnette Crescent,"37 Lynnette Crescent, East Gosford, NSW 2250",299000,"$299,000",house,2,1,1,,,734.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,28 Mar 2014,house,,734.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-113948123,East Gosford,NSW,2250,46a Melbourne Street,"46a Melbourne Street, East Gosford, NSW 2250",366000,"$366,000",house,2,1,1,,,607.0,m²,,,,,21 Jun 2013,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-113690603,East Gosford,NSW,2250,54 Webb Street,"54 Webb Street, East Gosford, NSW 2250",357500,"$357,500",house,2,1,2,514,m²,-1.0,,OSQXQV,Gittoes - East Gosford,,,03 May 2013,house,514,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+gosford-111466851,East Gosford,NSW,2250,12 Waratah Street,"12 Waratah Street, East Gosford, NSW 2250",357500,"$357,500",house,2,1,0,,,607.0,m²,,,,,12 Nov 2012,house,,607.0
