badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-141479228,East Hills,NSW,2213,600 Henry Lawson Drive,"600 Henry Lawson Drive, East Hills, NSW 2213",,Contact agent,house,1,1,0,108,m²,784.0,m²,XPNPAD,Professionals - Padstow,,,30 Mar 2023,house,108,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-105548839,East Hills,NSW,2213,585 Henry Lawson Drive,"585 Henry Lawson Drive, East Hills, NSW 2213",550000,"Range: $470,000 - $550,000",house,1,1,1,,,-1.0,,,,,,26 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-138297782,East Hills,NSW,2213,596 Henry Lawson Drive,"596 Henry Lawson Drive, East Hills, NSW 2213",2020000,"$2,020,000",house,2,2,1,,,784.0,m²,XPNPAD,Professionals - Padstow,,,28 Jan 2022,house,,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-136781910,East Hills,NSW,2213,11 Browning Street,"11 Browning Street, East Hills, NSW 2213",997000,"$997,000",house,2,1,2,,,594.0,m²,ALGPAN,Alliance Real Estate - Panania,,,21 Jul 2021,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-136301762,East Hills,NSW,2213,51 Lehn Road,"51 Lehn Road, East Hills, NSW 2213",945000,"$945,000",house,2,1,2,,,556.0,m²,ALGPAN,Alliance Real Estate - Panania,,,04 Jun 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-136052226,East Hills,NSW,2213,26 Enright Street,"26 Enright Street, East Hills, NSW 2213",1150000,"$1,150,000",house,2,1,2,,,803.0,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,03 May 2021,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-135578758,East Hills,NSW,2213,1 Enright Street,"1 Enright Street, East Hills, NSW 2213",1145000,"$1,145,000",house,2,1,2,,,-1.0,,ZZZAEN,Century 21 Innovative Realty - Revesby,,,20 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-134661822,East Hills,NSW,2213,53 Lehn Road,"53 Lehn Road, East Hills, NSW 2213",1400000,"$1,400,000",house,2,2,30,,,785.0,m²,ALGPAN,Alliance Real Estate - Panania,,,11 Jan 2021,house,,785.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-134850830,East Hills,NSW,2213,36 Cook Crescent,"36 Cook Crescent, East Hills, NSW 2213",985000,"$985,000",house,2,1,1,,,853.0,m²,ALGPAN,Alliance Real Estate - Panania,,,07 Dec 2020,house,,853.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-132317950,East Hills,NSW,2213,22 Cheatle Street,"22 Cheatle Street, East Hills, NSW 2213",889000,"$889,000",house,2,1,1,,,645.0,m²,XLJPAF,LJ Hooker - Padstow  ,,,27 Nov 2019,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-132196058,East Hills,NSW,2213,2 Enright Street,"2 Enright Street, East Hills, NSW 2213",790000,"$790,000",house,2,1,1,,,-1.0,,XLJPAF,LJ Hooker - Padstow  ,,,09 Nov 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-127342010,East Hills,NSW,2213,5 Enright Avenue,"5 Enright Avenue, East Hills, NSW 2213",880000,"$880,000",house,2,1,1,,,546.0,m²,XPNPAD,Professionals - Padstow,,,10 Feb 2018,house,,546.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-114876575,East Hills,NSW,2213,13 Cheatle Street,"13 Cheatle Street, East Hills, NSW 2213",670000,"$670,000",house,2,1,1,,,650.0,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,11 Oct 2013,house,,650.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-113941267,East Hills,NSW,2213,556 Henry Lawson Drive,"556 Henry Lawson Drive, East Hills, NSW 2213",950000,"$950,000",house,2,1,1,,,840.0,m²,ALGPAN,Alliance Real Estate - Panania,,,29 Jun 2013,house,,840.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-113735099,East Hills,NSW,2213,1 Worsley Street,"1 Worsley Street, East Hills, NSW 2213",598000,"$598,000",house,2,1,1,,,-1.0,,XNTPAE,Richardson & Wrench - Padstow,,,27 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-112857843,East Hills,NSW,2213,,,542000,"$542,000",house,2,1,2,,,626.0,m²,UDCNKF,Bobb Corp Real Estate - Merrylands,,,05 Feb 2013,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-110018017,East Hills,NSW,2213,3 McKevitte Street,"3 McKevitte Street, East Hills, NSW 2213",560000,"$560,000",house,2,1,1,,,-1.0,,XPNPAD,Professionals - Padstow,,,20 Apr 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-108227141,East Hills,NSW,2213,5 Cheatle Street,"5 Cheatle Street, East Hills, NSW 2213",495000,"$495,000",house,2,1,0,,,-1.0,,ALGPAN,Alliance Real Estate - Panania,,,29 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-107415382,East Hills,NSW,2213,653 Henry Lawson Drive,"653 Henry Lawson Drive, East Hills, NSW 2213",470000,"$470,000",house,2,1,1,,,626.0,m²,XPNPAD,Professionals - Padstow,,,22 Jun 2011,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-106981143,East Hills,NSW,2213,5 Monash Ave,"5 Monash Ave, East Hills, NSW 2213",550000,"$550,000",house,2,1,1,,,605.0,m²,,,,,11 Dec 2010,house,,605.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-119487491,East Hills,NSW,2213,546 Henry Lawson Drive,"546 Henry Lawson Drive, East Hills, NSW 2213",870000,"$870,000",house,2,1,1,,,809.0,m²,XFNPAD,First National Real Estate Daystar - Daystar,,,08 May 2010,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-106118708,East Hills,NSW,2213,3 Maclaurin Avenue,"3 Maclaurin Avenue, East Hills, NSW 2213",470000,"$470,000",house,2,1,2,,,-1.0,,XPNPAD,Professionals - Padstow,,,14 Dec 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-105728282,East Hills,NSW,2213,532 Henry Lawson Drive,"532 Henry Lawson Drive, East Hills, NSW 2213",830000,"$830,000",house,2,1,1,,,777.0,m²,XNFPAN,PRD - Panania,,,21 Aug 2009,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-105671153,East Hills,NSW,2211,3 Matthews Avenue,"3 Matthews Avenue, East Hills, NSW 2211",395000,"$395,000",house,2,1,1,,,-1.0,,XLJPAF,LJ Hooker - Padstow  ,,,14 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-105631352,East Hills,NSW,2212,1 Matthews Ave,"1 Matthews Ave, East Hills, NSW 2212",380000,"$380,000",house,2,1,0,,,613.0,m²,XLJPAF,LJ Hooker - Padstow  ,,,26 Mar 2009,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-105202156,East Hills,NSW,2213,,,407000,"$407,000",house,2,1,1,,,676.0,m²,ALGPAN,Alliance Real Estate - Panania,,,08 Oct 2008,house,,676.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+hills-141389616,East Hills,NSW,2213,11 Browning Street,"11 Browning Street, East Hills, NSW 2213",,Contact agent,house,2,1,2,,,-1.0,,XFNPAD,First National Real Estate Daystar - Daystar,,,03 Apr 2023,house,,-1.0
