badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-130687250,East Lindfield,NSW,2070,15 Woodlands Road,"15 Woodlands Road, East Lindfield, NSW 2070",1967000,"$1,967,000",house,2,1,1,,,855.2,m²,,,,,06 Apr 2019,house,,855.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-122487054,East Lindfield,NSW,2070,142 Tryon Road,"142 Tryon Road, East Lindfield, NSW 2070",1900000,"$1,900,000",house,2,1,1,,,-1.0,,,,,,29 Apr 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-120249505,East Lindfield,NSW,2070,89 Wellington Road,"89 Wellington Road, East Lindfield, NSW 2070",1630000,"$1,630,000",house,2,1,1,,,-1.0,,XCEGOA,Savills - SYDNEY,,,08 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-141671276,East Lindfield,NSW,2070,28 Pleasant Avenue,"28 Pleasant Avenue, East Lindfield, NSW 2070",2940000,"$2,940,000",house,3,2,2,,,1056.0,m²,DHJHOE,DiJones - Lindfield,,,01 Apr 2023,house,,1056.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-138770807,East Lindfield,NSW,2070,28 Owen Street,"28 Owen Street, East Lindfield, NSW 2070",3720000,"$3,720,000",house,3,2,1,,,967.5,m²,DHJHOE,DiJones - Lindfield,,,01 Apr 2022,house,,967.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-137670902,East Lindfield,NSW,2070,50 Owen Street,"50 Owen Street, East Lindfield, NSW 2070",4508000,"$4,508,000",house,3,1,2,,,967.0,m²,DHJHOE,DiJones - Lindfield,,,13 Nov 2021,house,,967.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-137539202,East Lindfield,NSW,2070,10 Crana Avenue,"10 Crana Avenue, East Lindfield, NSW 2070",3188000,"$3,188,000",house,3,2,2,,,841.0,m²,MCFWAR,McConnell Bourn - North Shore,,,06 Nov 2021,house,,841.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-136515262,East Lindfield,NSW,2070,5 Carlyle Road,"5 Carlyle Road, East Lindfield, NSW 2070",3400000,"$3,400,000",house,3,2,2,,,777.0,m²,MCFWAR,McConnell Bourn - North Shore,,,10 Jul 2021,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-136007462,East Lindfield,NSW,2070,26 Hobart Avenue,"26 Hobart Avenue, East Lindfield, NSW 2070",4650000,"$4,650,000",house,3,1,1,,,967.5,m²,DHJHOE,DiJones - Lindfield,,,08 May 2021,house,,967.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-130788174,East Lindfield,NSW,2070,49 Wellington Road,"49 Wellington Road, East Lindfield, NSW 2070",2000000,"$2,000,000",house,3,1,1,151,m²,815.0,m²,XRWNEU,The Agency - North,,,13 Apr 2019,house,151,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-130673682,East Lindfield,NSW,2070,4 Woodlands Road,"4 Woodlands Road, East Lindfield, NSW 2070",1770000,"$1,770,000",house,3,2,1,,,698.0,m²,MCFWAR,McConnell Bourn - North Shore,,,30 Mar 2019,house,,698.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-128380450,East Lindfield,NSW,2070,35 Pleasant Avenue,"35 Pleasant Avenue, East Lindfield, NSW 2070",1975000,"$1,975,000",house,3,1,2,,,898.0,m²,MCFWAR,McConnell Bourn - North Shore,,,25 Jun 2018,house,,898.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-127585030,East Lindfield,NSW,2070,4 Brisbane Avenue,"4 Brisbane Avenue, East Lindfield, NSW 2070",3600000,"$3,600,000",house,3,2,1,,,1105.0,m²,MCFWAR,McConnell Bourn - North Shore,,,10 Mar 2018,house,,1105.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-126713874,East Lindfield,NSW,2070,14 Wellington Road,"14 Wellington Road, East Lindfield, NSW 2070",2700000,"$2,700,000",house,3,2,2,,,696.0,m²,MCFWAR,McConnell Bourn - North Shore,,,04 Dec 2017,house,,696.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-126715682,East Lindfield,NSW,2070,28 Melbourne Road,"28 Melbourne Road, East Lindfield, NSW 2070",1750000,"$1,750,000",house,3,1,1,,,765.0,m²,MCFWAR,McConnell Bourn - North Shore,,,11 Nov 2017,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-126525154,East Lindfield,NSW,2070,8 Brisbane Avenue,"8 Brisbane Avenue, East Lindfield, NSW 2070",3320500,"$3,320,500",house,3,1,2,,,967.0,m²,MCFWAR,McConnell Bourn - North Shore,,,22 Oct 2017,house,,967.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-125580558,East Lindfield,NSW,2070,50 Owen Street,"50 Owen Street, East Lindfield, NSW 2070",3100000,"$3,100,000",house,3,1,2,,,967.0,m²,MCFWAR,McConnell Bourn - North Shore,,,25 Jun 2017,house,,967.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-125311766,East Lindfield,NSW,2070,3 Carlyle Road,"3 Carlyle Road, East Lindfield, NSW 2070",2400000,"$2,400,000",house,3,2,1,,,1341.0,m²,MCFWAR,McConnell Bourn - North Shore,,,21 May 2017,house,,1341.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-124073718,East Lindfield,NSW,2070,4 Carlyle Road,"4 Carlyle Road, East Lindfield, NSW 2070",2500000,"$2,500,000",house,3,1,0,,,1334.0,m²,MCFWAR,McConnell Bourn - North Shore,,,04 Dec 2016,house,,1334.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-123209902,East Lindfield,NSW,2070,16 Damour Avenue,"16 Damour Avenue, East Lindfield, NSW 2070",1700000,"$1,700,000",house,3,2,2,,,854.0,m²,MCFWAR,McConnell Bourn - North Shore,,,12 Sep 2016,house,,854.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-122844762,East Lindfield,NSW,2070,89 Wellington Rd,"89 Wellington Rd, East Lindfield, NSW 2070",1802000,"$1,802,000",house,3,1,1,,,-1.0,,XCEGOA,Savills - SYDNEY,,,08 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-122578942,East Lindfield,NSW,2070,30 Melbourne Road,"30 Melbourne Road, East Lindfield, NSW 2070",1670000,"$1,670,000",house,3,2,2,,,706.0,m²,LMNYFL,McGrath - Pymble ,,,28 May 2016,house,,706.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-122650370,East Lindfield,NSW,2070,77 Archbold Road,"77 Archbold Road, East Lindfield, NSW 2070",1605500,"$1,605,500",house,3,2,1,158,m²,836.0,m²,ZQBJAR,Belle Property - Lindfield,,,28 May 2016,house,158,836.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-122542206,East Lindfield,NSW,2070,114 Tryon Road,"114 Tryon Road, East Lindfield, NSW 2070",1460000,"$1,460,000",house,3,1,1,,,-1.0,,,,,,21 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-121064866,East Lindfield,NSW,2070,2 Woodlands Road,"2 Woodlands Road, East Lindfield, NSW 2070",1616000,"$1,616,000",house,3,2,3,,,-1.0,,MCFWAR,McConnell Bourn - North Shore,,,15 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-136317154,East Lindfield,NSW,2070,12 Adelaide Avenue,"12 Adelaide Avenue, East Lindfield, NSW 2070",4570000,"$4,570,000",house,3,2,2,,,-1.0,,XRWTUR,Ray White Upper North Shore -   ,,,07 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-121459502,East Lindfield,NSW,2070,231 Tryon Road,"231 Tryon Road, East Lindfield, NSW 2070",1900000,"$1,900,000",house,3,1,1,,,-1.0,,,,,,19 Jan 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-120480729,East Lindfield,NSW,2070,34 Melbourne Road,"34 Melbourne Road, East Lindfield, NSW 2070",1980000,"$1,980,000",house,3,2,1,,,-1.0,,,,,,22 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-119520407,East Lindfield,NSW,2070,38 Pleasant Avenue,"38 Pleasant Avenue, East Lindfield, NSW 2070",1830000,"$1,830,000",house,3,1,1,147,m²,910.51,m²,XCEGOA,Savills - SYDNEY,,,11 May 2015,house,147,910.51
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-118939019,East Lindfield,NSW,2070,28 Melbourne Road,"28 Melbourne Road, East Lindfield, NSW 2070",1458500,"$1,458,500",house,3,1,1,,,-1.0,,XCEGOA,Savills - SYDNEY,,,05 Feb 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-117985267,East Lindfield,NSW,2070,54 Robinson Street,"54 Robinson Street, East Lindfield, NSW 2070",1380000,"$1,380,000",house,3,2,2,,,-1.0,,XMHGOR,McGrath - Lindfield,,,18 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-116245951,East Lindfield,NSW,2070,10 Carlyle Road,"10 Carlyle Road, East Lindfield, NSW 2070",1700000,"$1,700,000",house,3,1,1,,,-1.0,,XMHGOR,McGrath - Lindfield,,,22 Mar 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-115121463,East Lindfield,NSW,2070,46 Sylvan Avenue,"46 Sylvan Avenue, East Lindfield, NSW 2070",1072000,"$1,072,000",house,3,1,0,,,-1.0,,ZQBJAR,Belle Property - Lindfield,,,09 Nov 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-113302579,East Lindfield,NSW,2070,39 Pleasant Ave,"39 Pleasant Ave, East Lindfield, NSW 2070",1100000,"$1,100,000",house,3,2,2,,,841.3,m²,XCEGOA,Savills - SYDNEY,,,28 Mar 2013,house,,841.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-113011815,East Lindfield,NSW,2070,31 Hobart Avenue,"31 Hobart Avenue, East Lindfield, NSW 2070",1600000,"$1,600,000",house,3,2,2,,,967.0,m²,XMHGOR,McGrath - Lindfield,,,01 Mar 2013,house,,967.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-109873741,East Lindfield,NSW,2070,79 Tryon Road,"79 Tryon Road, East Lindfield, NSW 2070",901000,"$901,000",house,3,1,1,,,739.0,m²,,,,,26 Mar 2012,house,,739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-107223201,East Lindfield,NSW,2070,60 Melbourne Road,"60 Melbourne Road, East Lindfield, NSW 2070",1392000,"$1,392,000",house,3,1,2,,,-1.0,,XMHLAN,McGrath - Lane Cove,,,26 Mar 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-106504199,East Lindfield,NSW,2070,77 Archbold Road,"77 Archbold Road, East Lindfield, NSW 2070",925000,"$925,000",house,3,2,2,,,851.0,m²,,,,,30 Apr 2010,house,,851.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-106355697,East Lindfield,NSW,2070,6 Mayfair Place,"6 Mayfair Place, East Lindfield, NSW 2070",1220000,"$1,220,000",house,3,1,1,,,878.0,m²,XNTCHB,Richardson & Wrench - Chatswood,,,31 Mar 2010,house,,878.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-105503888,East Lindfield,NSW,2070,65 Robinson Street,"65 Robinson Street, East Lindfield, NSW 2070",770000,"$770,000",house,3,1,2,,,897.9,m²,XMHGOR,McGrath - Lindfield,,,28 Feb 2009,house,,897.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-140675019,East Lindfield,NSW,2070,15 Crana Avenue,"15 Crana Avenue, East Lindfield, NSW 2070",2450000,"$2,450,000",house,3,2,2,,,1201.0,m²,DHJHOE,DiJones - Lindfield,,,24 Nov 2022,house,,1201.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-139465531,East Lindfield,NSW,2070,8 Johore Place,"8 Johore Place, East Lindfield, NSW 2070",2838000,"$2,838,000",house,3,3,2,,,979.0,m²,RDJCZM,Stone Real Estate - Lindfield,,,07 Oct 2022,house,,979.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-140211947,East Lindfield,NSW,2070,1A Woodlands Road,"1A Woodlands Road, East Lindfield, NSW 2070",2105000,"$2,105,000",house,3,1,2,,,-1.0,,RDJCZM,Stone Real Estate - Lindfield,,,06 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-139264019,East Lindfield,NSW,2070,36 Allambie Avenue,"36 Allambie Avenue, East Lindfield, NSW 2070",3170000,"$3,170,000",house,3,1,1,,,835.0,m²,MCFWAR,McConnell Bourn - North Shore,,,25 Jun 2022,house,,835.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-139033291,East Lindfield,NSW,2070,5 Ormonde Road,"5 Ormonde Road, East Lindfield, NSW 2070",2200000,"$2,200,000",house,3,2,2,,,802.0,m²,KEQWHS,Marshall.Chan.Yahl. -  North Shore,,,26 Apr 2022,house,,802.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-138193394,East Lindfield,NSW,2070,1 Mycumbene Ave,"1 Mycumbene Ave, East Lindfield, NSW 2070",3770000,"$3,770,000",house,3,2,2,,,904.0,m²,SXEVOT,Okura Real Estate - Chatswood,,,17 Jan 2022,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-east+lindfield-137733882,East Lindfield,NSW,2070,43 Wellington Road,"43 Wellington Road, East Lindfield, NSW 2070",3760000,"$3,760,000",house,3,1,1,,,819.0,m²,ZQBJAR,Belle Property - Lindfield,,,20 Nov 2021,house,,819.0
