badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-139507331,Eastern Creek,NSW,2766,4 Penfold Street,"4 Penfold Street, Eastern Creek, NSW 2766",1055000,"$1,055,000",house,2,1,2,,,996.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,22 Jun 2022,house,,996.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-137293302,Eastern Creek,NSW,2766,76 Minchinbury Street,"76 Minchinbury Street, Eastern Creek, NSW 2766",785000,"$785,000",house,2,1,1,,,701.9,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,08 Oct 2021,house,,701.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-128239738,Eastern Creek,NSW,2766,77 Minchinbury Street,"77 Minchinbury Street, Eastern Creek, NSW 2766",620000,"$620,000",house,2,1,1,,,701.5,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,31 May 2018,house,,701.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-124157758,Eastern Creek,NSW,2766,75 Penfold Street,"75 Penfold Street, Eastern Creek, NSW 2766",680000,"$680,000",house,2,1,1,,,1069.0,m²,ZRYNFD,OKARO - Rooty Hill,,,16 Jan 2017,house,,1069.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-137240222,Eastern Creek,NSW,2766,58 Penfold Street,"58 Penfold Street, Eastern Creek, NSW 2766",710000,"$710,000",house,2,1,2,702,m²,-1.0,,XHANME,Harcourts Your Place - St Marys/ Mount Druitt,,,11 Sep 2021,house,702,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-120170553,Eastern Creek,NSW,2766,63 Minchinbury Street,"63 Minchinbury Street, Eastern Creek, NSW 2766",660000,"$660,000",house,2,1,2,,,-1.0,,UVGHWD,Efficient Real Estate - Seven Hills,,,05 Jan 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-106580555,Eastern Creek,NSW,2766,73 Minchinbury Street,"73 Minchinbury Street, Eastern Creek, NSW 2766",320000,"$320,000",house,2,1,1,,,-1.0,,STASTM,Starr Partners Real Estate,,,11 Jun 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-115629823,Eastern Creek,NSW,2766,63 Minchinbury Street,"63 Minchinbury Street, Eastern Creek, NSW 2766",415500,"$415,500",house,2,1,0,,,701.0,m²,STASTM,Starr Partners Real Estate,,,08 Jan 2014,house,,701.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-110890363,Eastern Creek,NSW,2766,75 Penfold Street,"75 Penfold Street, Eastern Creek, NSW 2766",315000,"$315,000",house,2,1,1,,,-1.0,,ZRYNFD,OKARO - Rooty Hill,,,26 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-140875628,Eastern Creek,NSW,2766,47 Penfold Street,"47 Penfold Street, Eastern Creek, NSW 2766",821000,"$821,000",house,3,1,2,,,701.9,m²,XNFPEN,PRD - PENRITH,,,01 Dec 2022,house,,701.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-139775495,Eastern Creek,NSW,2766,1A Cawarra Street,"1A Cawarra Street, Eastern Creek, NSW 2766",860000,"$860,000",house,3,3,1,,,351.3,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,13 Sep 2022,house,,351.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-139169071,Eastern Creek,NSW,2766,23 Penfold Street,"23 Penfold Street, Eastern Creek, NSW 2766",835000,"$835,000",house,3,1,2,,,702.0,m²,OTKVAZ,Century 21 K P Realty - MOUNT DRUITT,,,27 May 2022,house,,702.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-138498371,Eastern Creek,NSW,2766,64 Penfold Street,"64 Penfold Street, Eastern Creek, NSW 2766",810000,"$810,000",house,3,2,2,,,-1.0,,DRWBSW,The Property Lab - CROWS NEST,,,17 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eastern+creek-137968610,Eastern Creek,NSW,2766,2 Minchinbury Street,"2 Minchinbury Street, Eastern Creek, NSW 2766",1065000,"$1,065,000",house,3,3,2,,,949.0,m²,CSEGKD,Ray White Quakers Hill - The Tesolin Group,,,13 Dec 2021,house,,949.0
