badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-125447254,Elanora Heights,NSW,2101,1  Elanora Road,"1  Elanora Road, Elanora Heights, NSW 2101",1240000,"$1,240,000",house,1,1,2,,,779.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,20 Sep 2017,house,,779.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-elanora+heights-126195166,Elanora Heights,NSW,2101,13A Allawah Avenue,"13A Allawah Avenue, Elanora Heights, NSW 2101",900000,"$900,000",duplex-semi-detached,1,1,2,,,186.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,09 Sep 2017,house,,186.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-111844059,Elanora Heights,NSW,2101,9 Caladenia Close,"9 Caladenia Close, Elanora Heights, NSW 2101",1725000,"$1,725,000",house,1,1,0,,,2.36,ha,JXFRWY,Belle Property Dee Why | Mona Vale | Terrey Hills,,,08 Oct 2013,house,,23600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-112007551,Elanora Heights,NSW,2101,13A Allawah Avenue,"13A Allawah Avenue, Elanora Heights, NSW 2101",500000,"$500,000",house,1,1,1,,,-1.0,,MWXJCK,buymyplace,,,26 Feb 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-106270911,Elanora Heights,NSW,2101,,,380000,"$380,000",house,1,1,0,,,-1.0,,RCEDEE,Ratcliff Mathews - Dee Why,,,04 Feb 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-120036665,Elanora Heights,NSW,2101,10 Iluka Avenue,"10 Iluka Avenue, Elanora Heights, NSW 2101",1155000,"$1,155,000",house,1,1,2,,,588.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,19 Aug 2015,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-114044351,Elanora Heights,NSW,2101,Lot1/12 Marinna Rd,"Lot1/12 Marinna Rd, Elanora Heights, NSW 2101",,Contact agent,house,1,1,2,,,-1.0,,FCSWMW,RE/MAX Property Specialists - Dee Why & Narrabeen ,,,29 Jul 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-112990679,Elanora Heights,NSW,2101,84 Woorarra Ave,"84 Woorarra Ave, Elanora Heights, NSW 2101",,Contact agent,house,1,1,0,,,766.0,m²,FCSWMW,RE/MAX Property Specialists - Dee Why & Narrabeen ,,,04 Mar 2013,house,,766.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-112386343,Elanora Heights,NSW,2101,8 Cooleena Road,"8 Cooleena Road, Elanora Heights, NSW 2101",652000,"$652,000",house,1,1,2,,,578.0,m²,XLJNAT,LJ Hooker - Narrabeen,,,15 Dec 2012,house,,578.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elanora+heights-126856246,Elanora Heights,NSW,2101,11 Coolangatta Avenue,"11 Coolangatta Avenue, Elanora Heights, NSW 2101",1410000,"$1,410,000",house,2,1,1,,,1024.0,m²,MZTELA,D & S Hunter Estate Agents - Elanora Heights,,,27 Nov 2017,house,,1024.0
