badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-118696731,Elderslie,NSW,2570,Lot 151 Argyle Estate,"Lot 151 Argyle Estate, Elderslie, NSW 2570",649990,"$649,990",house,0,2,4,227.61,m²,375.0,m²,,,,,25 May 2015,house,227.61,375.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-116724867,Elderslie,NSW,2570,,,502000,"$502,000",house,0,2,1,180.7,m²,500.0,m²,,,,,05 May 2014,house,180.7,500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-112664451,Elderslie,NSW,2570,,,,Contact agent,house,1,1,0,,,585.0,m²,TVLSRQ,Ray White - Macarthur Group,,,25 Oct 2013,house,,585.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-elderslie-141466736,Elderslie,NSW,2570,78/21 Macarthur Road,"78/21 Macarthur Road, Elderslie, NSW 2570",,Contact agent,residential-other,1,1,1,102.19,m²,150.0,m²,KIVDKB,Minus The Agent -  AUSTRALIA,,,20 Apr 2023,house,102.19,150.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-139110631,Elderslie,NSW,2570,17 River Road,"17 River Road, Elderslie, NSW 2570",925000,"$925,000",house,2,1,1,,,749.0,m²,IEERYA,McLaren Real Estate - Narellan,,,13 May 2022,house,,749.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-elderslie-139176327,Elderslie,NSW,2570,1 Suffolk Place,"1 Suffolk Place, Elderslie, NSW 2570",875000,"$875,000",duplex-semi-detached,2,2,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,06 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136551398,Elderslie,NSW,2570,9/20 Lorimer Crescent,"9/20 Lorimer Crescent, Elderslie, NSW 2570",515000,"$515,000",house,2,2,1,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,14 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-131511230,Elderslie,NSW,2570,32 Harrington Street,"32 Harrington Street, Elderslie, NSW 2570",645000,"$645,000",house,2,2,2,,,695.6,m²,TVLSRQ,Ray White - Macarthur Group,,,18 Jul 2019,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-125356714,Elderslie,NSW,2570,17 Burrawong Crescent,"17 Burrawong Crescent, Elderslie, NSW 2570",530000,"$530,000",house,2,1,1,,,556.4,m²,XIYWHQ,Stone Real Estate Macarthur,,,27 May 2017,house,,556.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-120958238,Elderslie,NSW,2570,51 MacArthur Road,"51 MacArthur Road, Elderslie, NSW 2570",602000,"$602,000",house,2,1,3,,,512.0,m²,COYNAR,Combined Real Estate - Camden,,,20 Oct 2015,house,,512.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-116526599,Elderslie,NSW,2570,,,485000,"$485,000",house,2,1,1,,,-1.0,,XCXNHT,Harrington Park Real Estate - Narellan,,,17 Apr 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-109011176,Elderslie,NSW,2570,18 MacArthur Road,"18 MacArthur Road, Elderslie, NSW 2570",585000,"$585,000",house,2,1,1,,,852.0,m²,COYNAR,Combined Real Estate - Camden,,,11 Jul 2012,house,,852.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-106157454,Elderslie,NSW,2570,,,430450,"$430,450",house,2,1,3,,,-1.0,,XCXNHT,Harrington Park Real Estate - Narellan,,,02 Mar 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-105866094,Elderslie,NSW,2570,41 Harrington Street,"41 Harrington Street, Elderslie, NSW 2570",345000,"$345,000",house,2,2,0,,,1524.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,18 Aug 2009,house,,1524.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-107124308,Elderslie,NSW,2570,5/11 Woolpack Street,"5/11 Woolpack Street, Elderslie, NSW 2570",,Contact agent,house,2,1,1,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,20 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-135966578,Elderslie,NSW,2570,13/29 Lorimer Crescent,"13/29 Lorimer Crescent, Elderslie, NSW 2570",,Contact agent,house,2,2,2,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,23 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-132994042,Elderslie,NSW,2570,26 Harrington St,"26 Harrington St, Elderslie, NSW 2570",510000,"$510,000",house,2,1,2,,,443.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,28 Feb 2020,house,,443.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-130786734,Elderslie,NSW,2570,21 Wilkinson Street,"21 Wilkinson Street, Elderslie, NSW 2570",590000,"$590,000",house,2,1,1,,,620.0,m²,COYNAR,Combined Real Estate - Camden,,,21 Jun 2019,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-121230490,Elderslie,NSW,2570,35 Purcell Street,"35 Purcell Street, Elderslie, NSW 2570",543000,"$543,000",house,2,1,1,,,569.0,m²,PRVJGQ,GWS Real Estate - CLAREMONT MEADOWS,,,01 Dec 2015,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-114112527,Elderslie,NSW,2570,,,,Contact agent,house,2,2,2,,,-1.0,,,,,,23 Jun 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-108496541,Elderslie,NSW,2570,33 Purcell Street,"33 Purcell Street, Elderslie, NSW 2570",,Contact agent,house,2,1,1,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,19 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-107678511,Elderslie,NSW,2570,27 Macarthur Road,"27 Macarthur Road, Elderslie, NSW 2570",,Contact agent,house,2,1,1,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,16 Nov 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-108028851,Elderslie,NSW,2570,,,415000,"$415,000",house,2,2,1,,,857.0,m²,,,,,26 Oct 2011,house,,857.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-111229003,Elderslie,NSW,2570,39 Macarthur Road,"39 Macarthur Road, Elderslie, NSW 2570",325000,"$325,000",house,2,1,4,,,538.0,m²,KRZTOT,Agent in a Box - Australia,,,26 Nov 2009,house,,538.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-106798657,Elderslie,NSW,2570,,,320000,"$320,000",house,2,1,1,,,-1.0,,COYNAR,Combined Real Estate - Camden,,,23 Aug 2005,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-107043962,Elderslie,NSW,2570,,,,Contact agent,house,2,2,0,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141689456,Elderslie,NSW,2570,136 Liz Kernohan Drive,"136 Liz Kernohan Drive, Elderslie, NSW 2570",810000,"$810,000",house,3,2,2,,,223.4,m²,KUWQEI,Richardson & Wrench Hinchinbrook/Hoxton Park,,,18 Apr 2023,house,,223.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141687756,Elderslie,NSW,2570,13 Polworth Close,"13 Polworth Close, Elderslie, NSW 2570",860000,"$860,000",house,3,1,2,,,711.0,m²,TVLSRQ,Ray White - Macarthur Group,,,24 Mar 2023,house,,711.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141464256,Elderslie,NSW,2570,1 Cruikshank Avenue,"1 Cruikshank Avenue, Elderslie, NSW 2570",810000,"$810,000",house,3,1,2,,,563.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,13 Mar 2023,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141410372,Elderslie,NSW,2570,6 Bruchhauser Crescent,"6 Bruchhauser Crescent, Elderslie, NSW 2570",815000,"$815,000",house,3,1,2,,,-1.0,,TVEVWJ,Upside Realty - NSW,,,01 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141511232,Elderslie,NSW,2570,7 Purcell Street,"7 Purcell Street, Elderslie, NSW 2570",910250,"$910,250",house,3,2,4,,,645.0,m²,COYNAR,Combined Real Estate - Camden,,,27 Feb 2023,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141146708,Elderslie,NSW,2570,43 Harrington Street,"43 Harrington Street, Elderslie, NSW 2570",1090000,"$1,090,000",house,3,1,2,,,1479.0,m²,UEANUN,McGrath  - CAMDEN,,,04 Feb 2023,house,,1479.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141107412,Elderslie,NSW,2570,38 Romney Street,"38 Romney Street, Elderslie, NSW 2570",835000,"$835,000",house,3,2,2,,,-1.0,,COILIV,Community First Real Estate - Liverpool,,,13 Jan 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-141092920,Elderslie,NSW,2570,65 Macarthur Road,"65 Macarthur Road, Elderslie, NSW 2570",1170000,"$1,170,000",house,3,1,2,,,1119.0,m²,TVLSRQ,Ray White - Macarthur Group,,,28 Dec 2022,house,,1119.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-140986304,Elderslie,NSW,2570,20 Merino Drive,"20 Merino Drive, Elderslie, NSW 2570",833000,"$833,000",house,3,2,1,,,-1.0,,STANAR,Richardson & Wrench - Narellan,,,16 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-140522259,Elderslie,NSW,2570,2 Shearer Place,"2 Shearer Place, Elderslie, NSW 2570",770000,"$770,000",house,3,1,5,113,m²,540.0,m²,RRUYJR,Professionals - NARELLAN,,,11 Nov 2022,house,113,540.0
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-elderslie-140757635,Elderslie,NSW,2570,34 Romney Street,"34 Romney Street, Elderslie, NSW 2570",861000,"$861,000",terrace,3,2,2,194.3,m²,225.0,m²,UEANUN,McGrath  - CAMDEN,,,07 Nov 2022,house,194.3,225.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-139668647,Elderslie,NSW,2570,59 Harrington Street,"59 Harrington Street, Elderslie, NSW 2570",900000,"$900,000",house,3,1,1,,,887.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,16 Jul 2022,house,,887.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-138955439,Elderslie,NSW,2570,8 Woolpack Street,"8 Woolpack Street, Elderslie, NSW 2570",885000,"$885,000",house,3,2,1,,,615.0,m²,TVLSRQ,Ray White - Macarthur Group,,,01 Jun 2022,house,,615.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-138466795,Elderslie,NSW,2570,32 Condron Circuit,"32 Condron Circuit, Elderslie, NSW 2570",947000,"$947,000",house,3,2,2,,,509.0,m²,IEERYA,McLaren Real Estate - Narellan,,,07 Mar 2022,house,,509.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-138618751,Elderslie,NSW,2570,11 Brooking Avenue,"11 Brooking Avenue, Elderslie, NSW 2570",895000,"$895,000",house,3,2,1,,,-1.0,,XIYWHQ,Stone Real Estate Macarthur,,,04 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-137405122,Elderslie,NSW,2570,74 Southdown Road,"74 Southdown Road, Elderslie, NSW 2570",875000,"$875,000",house,3,2,2,,,699.0,m²,TVLSRQ,Ray White - Macarthur Group,,,11 Nov 2021,house,,699.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-137605494,Elderslie,NSW,2570,37 Burrawong Crescent,"37 Burrawong Crescent, Elderslie, NSW 2570",771500,"$771,500",house,3,1,3,,,-1.0,,TVLSRQ,Ray White - Macarthur Group,,,08 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-137249466,Elderslie,NSW,2570,136 Lodges Road,"136 Lodges Road, Elderslie, NSW 2570",830000,"$830,000",house,3,2,2,,,303.0,m²,SOTFJA,Century 21 Pereira Group - HARRINGTON PARK,,,11 Oct 2021,house,,303.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-137360026,Elderslie,NSW,2570,14B Brooking Avenue,"14B Brooking Avenue, Elderslie, NSW 2570",760000,"$760,000",house,3,2,1,,,221.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,05 Oct 2021,house,,221.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136980214,Elderslie,NSW,2570,53 Harrington Street,"53 Harrington Street, Elderslie, NSW 2570",1305000,"$1,305,000",house,3,1,2,,,1897.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,23 Aug 2021,house,,1897.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136695858,Elderslie,NSW,2570,7 Carpenter Street,"7 Carpenter Street, Elderslie, NSW 2570",1000000,"$1,000,000",house,3,2,2,,,496.0,m²,TVLSRQ,Ray White - Macarthur Group,,,20 Jul 2021,house,,496.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136586446,Elderslie,NSW,2570,33 Drysdale Road,"33 Drysdale Road, Elderslie, NSW 2570",820000,"$820,000",house,3,1,1,,,-1.0,,STANAR,Richardson & Wrench - Narellan,,,15 Jul 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136537426,Elderslie,NSW,2570,23 Kowald Street,"23 Kowald Street, Elderslie, NSW 2570",926000,"$926,000",house,3,2,2,,,502.7,m²,SOTFJA,Century 21 Pereira Group - HARRINGTON PARK,,,06 Jul 2021,house,,502.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136294418,Elderslie,NSW,2570,51 Camden Acres Drive,"51 Camden Acres Drive, Elderslie, NSW 2570",865500,"$865,500",house,3,2,2,,,563.0,m²,IEERYA,McLaren Real Estate - Narellan,,,11 Jun 2021,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136229134,Elderslie,NSW,2570,35 Drysdale Road,"35 Drysdale Road, Elderslie, NSW 2570",740000,"$740,000",house,3,1,1,,,-1.0,,STANAR,Richardson & Wrench - Narellan,,,02 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-135972650,Elderslie,NSW,2570,24 River Road,"24 River Road, Elderslie, NSW 2570",1300000,"$1,300,000",house,3,2,2,,,890.0,m²,IEERYA,McLaren Real Estate - Narellan,,,10 May 2021,house,,890.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-136109106,Elderslie,NSW,2570,41 Franzman Avenue,"41 Franzman Avenue, Elderslie, NSW 2570",739000,"$739,000",house,3,2,2,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,06 May 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-135739538,Elderslie,NSW,2570,27 Southdown Road,"27 Southdown Road, Elderslie, NSW 2570",746000,"$746,000",house,3,1,1,,,703.0,m²,XCENAR,Gilbert and Younan - CAMDEN,,,20 Apr 2021,house,,703.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-135917194,Elderslie,NSW,2570,21 Kanangra Crescent,"21 Kanangra Crescent, Elderslie, NSW 2570",853000,"$853,000",house,3,2,2,,,708.0,m²,COYNAR,Combined Real Estate - Camden,,,12 Apr 2021,house,,708.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-elderslie-135439982,Elderslie,NSW,2570,2/13 Woolpack Street,"2/13 Woolpack Street, Elderslie, NSW 2570",600000,"$600,000",duplex-semi-detached,3,2,1,,,327.0,m²,RRUYJR,Professionals - NARELLAN,,,16 Mar 2021,house,,327.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-135435822,Elderslie,NSW,2570,28A Hawdon Close,"28A Hawdon Close, Elderslie, NSW 2570",610000,"$610,000",house,3,1,1,,,-1.0,,NMPGOQ,My Property Consultants - GREGORY HILLS,,,22 Feb 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-elderslie-135380510,Elderslie,NSW,2570,4 Baker Way,"4 Baker Way, Elderslie, NSW 2570",703000,"$703,000",house,3,2,1,,,312.0,m²,COILIV,Community First Real Estate - Liverpool,,,08 Feb 2021,house,,312.0
