badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-131680166,Ellis Lane,NSW,2570,10 Mooresfield Lane,"10 Mooresfield Lane, Ellis Lane, NSW 2570",970000,"$970,000",house,2,1,1,,,8379.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,09 Oct 2019,house,,8379.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-140535143,Ellis Lane,NSW,2570,24 Milford Road,"24 Milford Road, Ellis Lane, NSW 2570",1300000,"$1,300,000",house,3,2,16,,,4072.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,20 Jan 2023,house,,4072.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-138931995,Ellis Lane,NSW,2570,43 Ellis Lane,"43 Ellis Lane, Ellis Lane, NSW 2570",2100000,"$2,100,000",house,3,1,5,,,4047.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,31 Mar 2022,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-138326846,Ellis Lane,NSW,2570,69 Ellis Lane,"69 Ellis Lane, Ellis Lane, NSW 2570",1670000,"$1,670,000",house,3,2,7,,,6221.0,m²,TVLSRQ,Ray White - Macarthur Group,,,25 Feb 2022,house,,6221.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-137965602,Ellis Lane,NSW,2570,3 Tarcoola Place,"3 Tarcoola Place, Ellis Lane, NSW 2570",1720000,"$1,720,000",house,3,2,2,,,5080.0,m²,YWSDFD,LJ Hooker - Camden | Bringelly,,,11 Dec 2021,house,,5080.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-120832413,Ellis Lane,NSW,2570,120 Ellis Lane,"120 Ellis Lane, Ellis Lane, NSW 2570",1100000,"$1,100,000",house,3,2,4,,,4086.0,m²,UEANUN,McGrath  - CAMDEN,,,24 Oct 2015,house,,4086.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-140149527,Ellis Lane,NSW,2570,8 Jamaica Park Road,"8 Jamaica Park Road, Ellis Lane, NSW 2570",2300000,"$2,300,000",house,3,2,0,,,4047.0,m²,TVLSRQ,Ray White - Macarthur Group,,,04 May 2022,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-137035050,Ellis Lane,NSW,2570,3 Milford Road,"3 Milford Road, Ellis Lane, NSW 2570",1600000,"$1,600,000",house,3,1,1,,,4723.0,m²,NMPGOQ,My Property Consultants - GREGORY HILLS,,,05 Aug 2021,house,,4723.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-ellis+lane-123341182,Ellis Lane,NSW,2570,18 Milford Road,"18 Milford Road, Ellis Lane, NSW 2570",920000,"$920,000",acreage,3,2,2,,,4046.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,09 Sep 2016,house,,4046.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ellis+lane-117054099,Ellis Lane,NSW,2570,,,1401000,"$1,401,000",house,3,1,4,,,8.5,ha,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,03 Jul 2014,house,,85000.0
