badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-104785694,Emerton,NSW,2770,19 Bach Ave,"19 Bach Ave, Emerton, NSW 2770",180000,"$180,000",house,1,1,0,,,645.0,m²,OUIQFP,Laing+Simmons - The Abassi Group,,,22 Aug 2008,house,,645.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-131041178,Emerton,NSW,2770,42 Mendelssohn Avenue,"42 Mendelssohn Avenue, Emerton, NSW 2770",436000,"$436,000",house,2,1,1,,,575.0,m²,QKQSIZ,Ray White Stanhope Gardens - STANHOPE GARDENS,,,09 Sep 2019,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-118825759,Emerton,NSW,2770,42 Mendelssohn Avenue,"42 Mendelssohn Avenue, Emerton, NSW 2770",,Contact agent,house,2,1,0,,,-1.0,,ANDBLA,Andrew Merton Real Estate - Quakers Hill,,,07 Apr 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-141326540,Emerton,NSW,2770,5 Handel Avenue,"5 Handel Avenue, Emerton, NSW 2770",700000,"$700,000",house,3,1,3,113,m²,601.0,m²,GAHQWN,Nidus Group Real Estate,,,03 Apr 2023,house,113,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-140872612,Emerton,NSW,2770,4 Kleist Place,"4 Kleist Place, Emerton, NSW 2770",620500,"$620,500",house,3,1,4,,,638.6,m²,MULQUJ,Ray White Diamantidis Group,,,18 Jan 2023,house,,638.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-140351235,Emerton,NSW,2770,234 Luxford Road,"234 Luxford Road, Emerton, NSW 2770",620000,"$620,000",house,3,1,4,,,626.0,m²,MULQUJ,Ray White Diamantidis Group,,,11 Nov 2022,house,,626.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-140325415,Emerton,NSW,2770,15 Siemens Crescent,"15 Siemens Crescent, Emerton, NSW 2770",615000,"$615,000",house,3,1,1,,,588.0,m²,XLSMOU,Laing+Simmons - ROOTY HILL | MOUNT DRUITT,,,28 Oct 2022,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-140326447,Emerton,NSW,2770,2 Hertz Place,"2 Hertz Place, Emerton, NSW 2770",670000,"$670,000",house,3,1,2,,,700.0,m²,XRWPEN,Ray White - Nepean Group,,,28 Sep 2022,house,,700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-140086787,Emerton,NSW,2770,97 Popondetta Road,"97 Popondetta Road, Emerton, NSW 2770",680000,"$680,000",house,3,1,0,,,550.0,m²,MMIXNH,Ray White Mt Druitt,,,27 Aug 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-139573107,Emerton,NSW,2770,7 Handel Avenue,"7 Handel Avenue, Emerton, NSW 2770",660000,"$660,000",house,3,1,2,,,-1.0,,DKYKNI,LJ Hooker - Rooty Hill,,,18 Jul 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-139418847,Emerton,NSW,2770,19 Popondetta Road,"19 Popondetta Road, Emerton, NSW 2770",625000,"$625,000",house,3,1,6,,,594.0,m²,MMIXNH,Ray White Mt Druitt,,,27 Jun 2022,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-139515471,Emerton,NSW,2770,4a Bunting Street,"4a Bunting Street, Emerton, NSW 2770",700000,"$700,000",house,3,2,2,,,468.0,m²,OJSUNZ,Harcourts Unlimited  - Blacktown,,,18 Jun 2022,house,,468.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-139366983,Emerton,NSW,2770,20 Emert Parade,"20 Emert Parade, Emerton, NSW 2770",607500,"$607,500",house,3,1,3,,,581.7,m²,BEFHLR,Elders Real Estate  - Penrith,,,31 May 2022,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-138834787,Emerton,NSW,2770,33 Weber Crescent,"33 Weber Crescent, Emerton, NSW 2770",650000,"$650,000",house,3,1,3,,,-1.0,,EYNWAQ,Graham Ball Estate Agents - FAIRFIELD HEIGHTS,,,09 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-138471079,Emerton,NSW,2770,11 Kleist Place,"11 Kleist Place, Emerton, NSW 2770",732000,"$732,000",house,3,2,1,,,715.0,m²,XNTROO,Richardson & Wrench - Rooty Hill & Mt Druitt,,,04 Mar 2022,house,,715.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-138501215,Emerton,NSW,2770,3 Bunsen Avenue,"3 Bunsen Avenue, Emerton, NSW 2770",725000,"$725,000",house,3,2,5,,,752.0,m²,DKYKNI,LJ Hooker - Rooty Hill,,,01 Mar 2022,house,,752.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emerton-138280118,Emerton,NSW,2770,40 Mendelssohn Avenue,"40 Mendelssohn Avenue, Emerton, NSW 2770",730000,"$730,000",house,3,1,2,,,575.0,m²,PLLPFY,Marshan Realestate - ULTIMO,,,14 Feb 2022,house,,575.0
