badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-139886319,Empire Bay,NSW,2257,23/437 Wards Hill Road,"23/437 Wards Hill Road, Empire Bay, NSW 2257",199000,"$199,000",house,1,2,1,,,-1.0,,GCZFWD,Richardson & Wrench - Umina Beach,,,26 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-138341759,Empire Bay,NSW,2257,161 Empire Bay Drive,"161 Empire Bay Drive, Empire Bay, NSW 2257",725000,"$725,000",house,1,1,0,,,650.0,m²,ABCETT,Raine & Horne Ettalong Beach & St Huberts Island - ETTALONG BEACH,,,10 Feb 2022,house,,650.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-135961966,Empire Bay,NSW,2257,23/437 Wards Hill rd,"23/437 Wards Hill rd, Empire Bay, NSW 2257",170000,"$170,000",house,1,1,1,,,-1.0,,XRWUMI,Ray White - Umina Beach,,,07 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-124267874,Empire Bay,NSW,2257,49/437 Wards Hill Road,"49/437 Wards Hill Road, Empire Bay, NSW 2257",225000,"$225,000",house,1,1,1,,,-1.0,,PTRTER,Property Central - CENTRAL COAST,,,18 Jan 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-empire+bay-130522582,Empire Bay,NSW,2257,180 Empire Bay Drive,"180 Empire Bay Drive, Empire Bay, NSW 2257",500000,"$500,000",acreage,1,1,2,,,5975.0,m²,XCEUMI,Wiseberry Peninsula - Umina Beach,,,24 Oct 2019,house,,5975.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-111490923,Empire Bay,NSW,2257,116 Rickard Road,"116 Rickard Road, Empire Bay, NSW 2257",,Contact agent,house,1,1,0,69.96,m²,613.0,m²,EMREMP,Domain Property Group Central Coast - ETTALONG BEACH,,,21 Nov 2012,house,69.96,613.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-empire+bay-109783001,Empire Bay,NSW,2257,33 Pomona Road,"33 Pomona Road, Empire Bay, NSW 2257",650000,"$650,000",acreage,1,1,0,,,1.01,ha,PTRTER,Property Central - CENTRAL COAST,,,13 Mar 2012,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-140580703,Empire Bay,NSW,2257,44/437 Wards Hill Road,"44/437 Wards Hill Road, Empire Bay, NSW 2257",359000,"$359,000",house,2,1,1,,,-1.0,,XLJPOI,Richardson & Wrench - Point Clare,,,21 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-139714147,Empire Bay,NSW,2257,59/437 Wards Hill Road,"59/437 Wards Hill Road, Empire Bay, NSW 2257",275000,"$275,000",house,2,1,1,,,-1.0,,XRWUMI,Ray White - Umina Beach,,,14 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-140174367,Empire Bay,NSW,2257,32/437 Wards Hill Road,"32/437 Wards Hill Road, Empire Bay, NSW 2257",275000,"$275,000",house,2,1,1,,,-1.0,,GCZFWD,Richardson & Wrench - Umina Beach,,,30 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-140181983,Empire Bay,NSW,2257,10 Sorrento Road,"10 Sorrento Road, Empire Bay, NSW 2257",1265000,"$1,265,000",house,2,1,1,,,488.0,m²,TCRELE,Ray White Bensville - Empire Bay,,,17 Sep 2022,house,,488.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-empire+bay-138475587,Empire Bay,NSW,2257,61/437 Wards Hill Road,"61/437 Wards Hill Road, Empire Bay, NSW 2257",255000,"$255,000",house,2,1,1,,,-1.0,,GCZFWD,Richardson & Wrench - Umina Beach,,,15 Jul 2022,house,,-1.0
