badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-137397062,Emu Heights,NSW,2750,26 Strathdon Road,"26 Strathdon Road, Emu Heights, NSW 2750",570000,"$570,000",house,2,1,1,,,708.0,m²,XRWPEN,Ray White - Nepean Group,,,23 Oct 2021,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-115654063,Emu Heights,NSW,2750,19 Glen Road,"19 Glen Road, Emu Heights, NSW 2750",382000,"$382,000",house,2,2,1,,,668.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,30 Jan 2014,house,,668.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-emu+heights-106656769,Emu Heights,NSW,2750,,,397000,"$397,000",acreage,2,1,2,,,1673.0,m²,MPOPEN,Dukes Estate Agents,,,27 Jul 2010,house,,1673.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-139923367,Emu Heights,NSW,2750,31 Riverside Road,"31 Riverside Road, Emu Heights, NSW 2750",790000,"$790,000",house,2,1,0,,,3739.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,21 Dec 2022,house,,3739.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-105087032,Emu Heights,NSW,2750,,,268000,"$268,000",house,2,1,0,,,860.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,17 Sep 2008,house,,860.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-141722940,Emu Heights,NSW,2750,16 Inkerman Road,"16 Inkerman Road, Emu Heights, NSW 2750",930000,"$930,000",house,3,1,1,,,-1.0,,MULQUJ,Ray White Diamantidis Group,,,24 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-141225516,Emu Heights,NSW,2750,72 Wedmore Road,"72 Wedmore Road, Emu Heights, NSW 2750",910000,"$910,000",house,3,2,1,,,561.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,11 Apr 2023,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-141187756,Emu Heights,NSW,2750,15 Gosling Street,"15 Gosling Street, Emu Heights, NSW 2750",870000,"$870,000",house,3,2,0,,,664.0,m²,XRWPEN,Ray White - Nepean Group,,,10 Feb 2023,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-141213180,Emu Heights,NSW,2750,5 Old Bathurst Road,"5 Old Bathurst Road, Emu Heights, NSW 2750",764000,"$764,000",house,3,1,3,,,633.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,31 Jan 2023,house,,633.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-emu+heights-141070716,Emu Heights,NSW,2750,6 Dungarth Place,"6 Dungarth Place, Emu Heights, NSW 2750",870000,"$870,000",house,3,1,1,,,653.0,m²,MPOPEN,Dukes Estate Agents,,,14 Dec 2022,house,,653.0
