badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-enmore-106805054,Enmore,NSW,2042,41 Gladstone,"41 Gladstone, Enmore, NSW 2042",511000,"$511,000",residential-other,0,1,2,,,97.0,m²,ZPCACX,Wiseberry - ENMORE,,,30 Oct 2010,house,,97.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-138957939,Enmore,NSW,2042,22 Augustus Street,"22 Augustus Street, Enmore, NSW 2042",1140000,"$1,140,000",house,1,1,1,,,75.9,m²,ZPCACX,Wiseberry - ENMORE,,,23 Apr 2022,house,,75.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-138368943,Enmore,NSW,2042,13 Marian Street,"13 Marian Street, Enmore, NSW 2042",1287000,"$1,287,000",house,1,1,0,,,109.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,19 Feb 2022,house,,109.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-137049450,Enmore,NSW,2042,16a Francis Street,"16a Francis Street, Enmore, NSW 2042",1505000,"$1,505,000",house,1,1,0,,,139.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,04 Sep 2021,house,,139.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-123098006,Enmore,NSW,2042,106 Simmons Street,"106 Simmons Street, Enmore, NSW 2042",921000,"$921,000",house,1,1,0,,,-1.0,,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,20 Jul 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-122186510,Enmore,NSW,2042,11 James Street,"11 James Street, Enmore, NSW 2042",803000,"$803,000",house,1,1,0,,,88.0,m²,ZPCACX,Wiseberry - ENMORE,,,09 Apr 2016,house,,88.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-111769959,Enmore,NSW,2042,104 Simmons St,"104 Simmons St, Enmore, NSW 2042",610000,"$610,000",house,1,1,0,,,-1.0,,GEVLEI,Gerard Partners Real Estate - Leichhardt,,,26 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-110499381,Enmore,NSW,2042,27 London Street,"27 London Street, Enmore, NSW 2042",545000,"$545,000",house,1,1,0,,,-1.0,,SKGBAF,Belle Property - Newtown,,,16 Jun 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-107489367,Enmore,NSW,2042,17 James Street,"17 James Street, Enmore, NSW 2042",565000,"$565,000",house,1,1,0,,,-1.0,,BZMDAR,BresicWhitney - Inner East,,,18 Jul 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-107369442,Enmore,NSW,2042,92 Simmons Street,"92 Simmons Street, Enmore, NSW 2042",660000,"$660,000",house,1,1,0,,,-1.0,,XRWNEY,Ray White (IW Group),,,10 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-127922102,Enmore,NSW,2042,23 London Street,"23 London Street, Enmore, NSW 2042",847000,"$847,000",house,1,1,0,,,-1.0,,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,21 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-117603223,Enmore,NSW,2042,92 Simmons Street,"92 Simmons Street, Enmore, NSW 2042",785000,"$785,000",house,1,1,0,,,-1.0,,XRHPET,Raine & Horne - Petersham,,,07 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-107214244,Enmore,NSW,2042,18 Augustus,"18 Augustus, Enmore, NSW 2042",700000,"Range: $600,000 - $700,000",house,1,1,1,,,185.0,m²,ZPCACX,Wiseberry - ENMORE,,,01 Apr 2011,house,,185.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-107193966,Enmore,NSW,2042,104 Simmons Street,"104 Simmons Street, Enmore, NSW 2042",615000,"$615,000",house,1,1,0,,,83.0,m²,JEVLEI,Jennifer Aaron Real Estate - Leichhardt,,,19 Mar 2011,house,,83.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-106478680,Enmore,NSW,2042,101 Metropolitan Road,"101 Metropolitan Road, Enmore, NSW 2042",625000,"$625,000",house,1,1,0,,,-1.0,,XRWNEY,Ray White (IW Group),,,20 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-105677303,Enmore,NSW,2042,111 Marian  St,"111 Marian  St, Enmore, NSW 2042",,Contact agent,house,1,1,0,,,125.0,m²,,,,,01 May 2009,house,,125.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-105294359,Enmore,NSW,2042,13 James Street,"13 James Street, Enmore, NSW 2042",,Contact agent,house,1,1,0,,,-1.0,,,,,,27 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-105012580,Enmore,NSW,2042,27 London street,"27 London street, Enmore, NSW 2042",380000,"$380,000",house,1,1,0,,,70.0,m²,SSKKAF,Iskandar Real Estate,,,07 Nov 2008,house,,70.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-enmore-141779272,Enmore,NSW,2042,44 Fotheringham Street,"44 Fotheringham Street, Enmore, NSW 2042",1900000,"$1,900,000",house,2,1,3,,,326.0,m²,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,15 Apr 2023,house,,326.0
