badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-eraring-121992990,Eraring,NSW,2264,56 Point Piper Road,"56 Point Piper Road, Eraring, NSW 2264",,Contact agent,acreage,1,1,0,,,2.43,ha,MPPMOR,Morisset City Real Estate - Morisset,,,02 Apr 2016,house,,24300.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-eraring-126075094,Eraring,NSW,2264,15 Payten Street,"15 Payten Street, Eraring, NSW 2264",1200000,"$1,200,000",acreage,2,1,0,,,5571.0,m²,DOWMOR,Wilson Britten - Morisset,,,09 Sep 2017,house,,5571.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-eraring-120398461,Eraring,NSW,2264,53  Biddulph Street,"53  Biddulph Street, Eraring, NSW 2264",335000,"$335,000",acreage,2,1,4,,,1.62,ha,MPPMOR,Morisset City Real Estate - Morisset,,,12 May 2016,house,,16200.000000000002
Sold,https://www.realestate.com.au/sold/property-house-nsw-eraring-132360786,Eraring,NSW,2264,27 Point Piper Road,"27 Point Piper Road, Eraring, NSW 2264",850000,"$850,000",house,3,1,4,,,1.01,ha,XRWTOR,Ray White - Toronto,,,28 May 2020,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eraring-122174706,Eraring,NSW,2264,17 Wharf Street,"17 Wharf Street, Eraring, NSW 2264",965000,"$965,000",house,3,2,3,,,1.2,ha,XFNTOT,Avery Property Professionals  -   ,,,23 Sep 2016,house,,12000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eraring-121420766,Eraring,NSW,2264,4 Awaba Road,"4 Awaba Road, Eraring, NSW 2264",610000,"$610,000",house,3,1,2,,,1.02,ha,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,10 Feb 2016,house,,10200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-eraring-119199555,Eraring,NSW,2264,102 Border Street,"102 Border Street, Eraring, NSW 2264",860000,"$860,000",acreage,3,2,5,,,-1.0,,XRHMOT,PRD  - Real Estate,,,26 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eraring-118595599,Eraring,NSW,2264,34 Border Street,"34 Border Street, Eraring, NSW 2264",635000,"$635,000",house,3,2,6,,,1.2,ha,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,09 Feb 2015,house,,12000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eraring-110940599,Eraring,NSW,2264,2 Macleay Street,"2 Macleay Street, Eraring, NSW 2264",730000,"$730,000",house,3,2,4,,,1.1,ha,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,04 Nov 2014,house,,11000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-eraring-138070842,Eraring,NSW,2264,4 Awaba Road,"4 Awaba Road, Eraring, NSW 2264",1275000,"$1,275,000",house,3,1,2,,,1.02,ha,AREENA,LJ Hooker Lake Macquarie - Wangi Wangi,,,12 Nov 2021,house,,10200.0
