badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-107361209,Erina Heights,NSW,2260,34 Serpentine Rd,"34 Serpentine Rd, Erina Heights, NSW 2260",350000,"$350,000",house,1,1,4,,,-1.0,,XGBTEA,Brand Property - Premier,,,10 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-137266466,Erina Heights,NSW,2260,401 The Entrance Road,"401 The Entrance Road, Erina Heights, NSW 2260",1050000,"$1,050,000",house,2,1,1,117,m²,847.0,m²,KVDYUU,Urban & Coastal - Terrigal,,,29 Sep 2021,house,117,847.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-erina+heights-134407210,Erina Heights,NSW,2260,495 The Entrance Road,"495 The Entrance Road, Erina Heights, NSW 2260",1425000,"$1,425,000",acreage,2,1,10,,,1.02,ha,HXZVYF,Whiteman Property - WAMBERAL,,,23 Mar 2021,house,,10200.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-erina+heights-141605436,Erina Heights,NSW,2260,495 The Entrance Road,"495 The Entrance Road, Erina Heights, NSW 2260",1425000,"$1,425,000",acreage,2,1,10,,,1.02,ha,ZRRWDY,The Agency Central Coast,,,23 Mar 2021,house,,10200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-124513082,Erina Heights,NSW,2260,32 Serpentine Road,"32 Serpentine Road, Erina Heights, NSW 2260",732000,"$732,000",house,2,1,1,,,1353.0,m²,XLJGOS,LJ Hooker - Gosford/Lisarow,,,30 Jan 2017,house,,1353.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-117332415,Erina Heights,NSW,2260,401 The Entrance Road,"401 The Entrance Road, Erina Heights, NSW 2260",370000,"$370,000",house,2,1,1,,,847.0,m²,,,,,28 Jun 2014,house,,847.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-138664351,Erina Heights,NSW,2260,530 The Entrance Road,"530 The Entrance Road, Erina Heights, NSW 2260",1200000,"$1,200,000",house,3,1,2,,,784.0,m²,XLJTES,LJ Hooker - Terrigal,,,09 Mar 2022,house,,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-133768750,Erina Heights,NSW,2260,496 The Entrance Road,"496 The Entrance Road, Erina Heights, NSW 2260",770000,"$770,000",house,3,1,8,141,m²,1681.0,m²,KVDYUU,Urban & Coastal - Terrigal,,,17 Aug 2020,house,141,1681.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-132139614,Erina Heights,NSW,2260,530 The Entrance Road,"530 The Entrance Road, Erina Heights, NSW 2260",720000,"$720,000",house,3,1,2,,,784.0,m²,XLJTES,LJ Hooker - Terrigal,,,16 Oct 2019,house,,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-131922078,Erina Heights,NSW,2260,40 Serpentine Road,"40 Serpentine Road, Erina Heights, NSW 2260",635000,"$635,000",house,3,1,3,,,828.3,m²,KVDYUU,Urban & Coastal - Terrigal,,,04 Oct 2019,house,,828.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-131993070,Erina Heights,NSW,2260,22 Serpentine Rd,"22 Serpentine Rd, Erina Heights, NSW 2260",815000,"$815,000",house,3,2,4,,,1177.0,m²,ABCSAR,Edge Residential - Saratoga,,,26 Sep 2019,house,,1177.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-131570390,Erina Heights,NSW,2260,465 Central Coast Highway,"465 Central Coast Highway, Erina Heights, NSW 2260",1450000,"$1,450,000",house,3,2,2,,,-1.0,,LAMTHE,Brand Real Estate - The Entrance,,,14 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-129248818,Erina Heights,NSW,2260,534 The Entrance Road,"534 The Entrance Road, Erina Heights, NSW 2260",570000,"$570,000",house,3,1,4,159,m²,784.0,m²,OSQXQV,Gittoes - East Gosford,,,09 Nov 2018,house,159,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-128723734,Erina Heights,NSW,2260,370 The Entrance Road,"370 The Entrance Road, Erina Heights, NSW 2260",642000,"$642,000",house,3,2,2,,,-1.0,,KVDYUU,Urban & Coastal - Terrigal,,,17 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-126959346,Erina Heights,NSW,2260,526 The Entrance Road,"526 The Entrance Road, Erina Heights, NSW 2260",650000,"$650,000",house,3,2,3,141,m²,784.0,m²,RCYGQP,The Property Market - Central Coast,,,09 Dec 2017,house,141,784.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erina+heights-133679986,Erina Heights,NSW,2260,520 The Entrance Road,"520 The Entrance Road, Erina Heights, NSW 2260",1150000,"$1,150,000",house,3,2,4,,,-1.0,,MMDDUL,RE/MAX Lifestyle Marketing,,,30 Apr 2020,house,,-1.0
