badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-ermington-120140937,Ermington,NSW,2115,22C Cowells Lane,"22C Cowells Lane, Ermington, NSW 2115",1170000,"$1,170,000",residential-other,0,1,0,,,859.0,m²,IVKYSD,Element Realty Homes & Projects - EASTWOOD,,,22 Aug 2015,house,,859.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-104881336,Ermington,NSW,2115,,,710000,"$710,000",house,0,1,0,,,-1.0,,XRWERM,Ray White - Ermington,,,07 Jun 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-115509555,Ermington,NSW,2115,38 Atkins Road,"38 Atkins Road, Ermington, NSW 2115",890000,"$890,000",house,1,1,0,,,1189.0,m²,XFNEAT,Green Real Estate Agency - Eastwood & West Ryde,,,19 Dec 2013,house,,1189.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-106047854,Ermington,NSW,2115,Lot 27 Betty Cuthbert Avenue,"Lot 27 Betty Cuthbert Avenue, Ermington, NSW 2115",,Contact agent,house,1,1,0,,,25.0,m²,THNERM,Professionals - Ermington,,,01 Feb 2010,house,,25.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-141023504,Ermington,NSW,2115,3 Atkins Road,"3 Atkins Road, Ermington, NSW 2115",1300000,"$1,300,000",house,2,1,1,,,600.7,m²,XRWERM,Ray White - Ermington,,,10 Feb 2023,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-139396691,Ermington,NSW,2115,21 Trumble Avenue,"21 Trumble Avenue, Ermington, NSW 2115",1370000,"$1,370,000",house,2,1,2,,,520.0,m²,THNERM,Professionals - Ermington,,,21 Jul 2022,house,,520.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-139321075,Ermington,NSW,2115,10 Dennis Street,"10 Dennis Street, Ermington, NSW 2115",1335000,"$1,335,000",house,2,1,3,,,569.1,m²,VTEOZO,Award Group Real Estate - Hills Central - West Ryde,,,18 Jun 2022,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-137798210,Ermington,NSW,2115,654 Victoria Road,"654 Victoria Road, Ermington, NSW 2115",1125000,"$1,125,000",house,2,1,2,,,-1.0,,THNERM,Professionals - Ermington,,,13 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-137661866,Ermington,NSW,2115,590 Victoria Road,"590 Victoria Road, Ermington, NSW 2115",960000,"$960,000",house,2,1,1,,,-1.0,,XNTPAR,Richardson & Wrench - Parramatta,,,24 Nov 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-ermington-137521898,Ermington,NSW,2115,616 Victoria Road,"616 Victoria Road, Ermington, NSW 2115",1310000,"$1,310,000",house,2,1,2,,,657.0,m²,XRWERM,Ray White - Ermington,,,06 Nov 2021,house,,657.0
