badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-126399190,Erskine Park,NSW,2759,8 Grebe Street,"8 Grebe Street, Erskine Park, NSW 2759",620000,"$620,000",house,2,1,0,,,777.0,m²,MULQUJ,Ray White Diamantidis Group,,,23 Oct 2017,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-135607806,Erskine Park,NSW,2759,8 Grebe Street,"8 Grebe Street, Erskine Park, NSW 2759",675000,"$675,000",house,2,1,1,,,778.0,m²,XRWGRC,Ray White - Green Valley,,,24 Mar 2021,house,,778.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-141697016,Erskine Park,NSW,2759,33 Swamphen Street,"33 Swamphen Street, Erskine Park, NSW 2759",1105000,"$1,105,000",house,3,2,6,,,813.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,14 Apr 2023,house,,813.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-141639776,Erskine Park,NSW,2759,62 Swallow Drive,"62 Swallow Drive, Erskine Park, NSW 2759",780500,"$780,500",house,3,1,1,,,562.0,m²,STASTM,Starr Partners Real Estate,,,12 Apr 2023,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-141589884,Erskine Park,NSW,2759,15 CHAMELEON Drive,"15 CHAMELEON Drive, Erskine Park, NSW 2759",880100,"$880,100",house,3,1,1,,,628.9,m²,QQHRJX,LJ Hooker - Colyton | St Clair ,,,27 Mar 2023,house,,628.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-141390488,Erskine Park,NSW,2759,2 Pictor Street,"2 Pictor Street, Erskine Park, NSW 2759",970000,"$970,000",house,3,2,5,,,807.0,m²,STASTM,Starr Partners Real Estate,,,03 Mar 2023,house,,807.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-140299323,Erskine Park,NSW,2759,5 Barcoo Close,"5 Barcoo Close, Erskine Park, NSW 2759",805000,"$805,000",house,3,1,1,,,629.0,m²,STASTM,Starr Partners Real Estate,,,09 Feb 2023,house,,629.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-141057000,Erskine Park,NSW,2759,12 Minto Place,"12 Minto Place, Erskine Park, NSW 2759",901000,"$901,000",house,3,1,4,,,635.0,m²,STASTM,Starr Partners Real Estate,,,30 Jan 2023,house,,635.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-141050548,Erskine Park,NSW,2759,5 Dorado Street,"5 Dorado Street, Erskine Park, NSW 2759",952000,"$952,000",house,3,2,4,,,670.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,22 Dec 2022,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-140640679,Erskine Park,NSW,2759,14 Phoenix Crescent,"14 Phoenix Crescent, Erskine Park, NSW 2759",1050000,"$1,050,000",house,3,2,2,,,-1.0,,STASTM,Starr Partners Real Estate,,,15 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-140849296,Erskine Park,NSW,2759,18 Capella Street,"18 Capella Street, Erskine Park, NSW 2759",945000,"$945,000",house,3,1,4,,,689.6,m²,STASTM,Starr Partners Real Estate,,,06 Dec 2022,house,,689.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-140196735,Erskine Park,NSW,2759,19 Kestrel Crescent,"19 Kestrel Crescent, Erskine Park, NSW 2759",831500,"$831,500",house,3,1,1,,,628.0,m²,XNFPEN,PRD - PENRITH,,,21 Sep 2022,house,,628.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-139482423,Erskine Park,NSW,2759,18 Mohawk Place,"18 Mohawk Place, Erskine Park, NSW 2759",820000,"$820,000",house,3,1,3,,,633.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,13 Sep 2022,house,,633.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-139704551,Erskine Park,NSW,2759,74 Chameleon Drive,"74 Chameleon Drive, Erskine Park, NSW 2759",960000,"$960,000",house,3,2,4,,,609.0,m²,XPNSTM,Professionals - St Marys & Erskine Park,,,03 Aug 2022,house,,609.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-139657435,Erskine Park,NSW,2759,45 Kestrel Crescent,"45 Kestrel Crescent, Erskine Park, NSW 2759",1001000,"$1,001,000",house,3,1,2,,,791.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,11 Jul 2022,house,,791.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-138927919,Erskine Park,NSW,2759,226 Swallow Drive,"226 Swallow Drive, Erskine Park, NSW 2759",842000,"$842,000",house,3,1,2,,,561.0,m²,KGIIDT,AB Property Consultants - Northmead,,,01 Jul 2022,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-139355463,Erskine Park,NSW,2759,201 Swallow Drive,"201 Swallow Drive, Erskine Park, NSW 2759",916000,"$916,000",house,3,1,3,,,635.0,m²,MULQUJ,Ray White Diamantidis Group,,,16 Jun 2022,house,,635.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-138928311,Erskine Park,NSW,2759,18 Aquarius Crescent,"18 Aquarius Crescent, Erskine Park, NSW 2759",975000,"$975,000",house,3,1,3,,,586.4,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,06 May 2022,house,,586.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-139013127,Erskine Park,NSW,2759,15 Aquila Place,"15 Aquila Place, Erskine Park, NSW 2759",892000,"$892,000",house,3,1,1,,,625.0,m²,PWGSTC,Richardson & Wrench -  St Clair / Erskine Park,,,26 Apr 2022,house,,625.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-erskine+park-138866939,Erskine Park,NSW,2759,9 Coot Place,"9 Coot Place, Erskine Park, NSW 2759",1157500,"$1,157,500",house,3,1,2,,,674.0,m²,STASTM,Starr Partners Real Estate,,,14 Apr 2022,house,,674.0
