badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-129722078,Eveleigh,NSW,2015,76/49 Henderson Road,"76/49 Henderson Road, Eveleigh, NSW 2015",570000,"$570,000",apartment,1,1,1,,,-1.0,,GEVLEI,Gerard Partners Real Estate - Leichhardt,,,11 Feb 2019,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-127331178,Eveleigh,NSW,2015,40/49 Henderson Road,"40/49 Henderson Road, Eveleigh, NSW 2015",575000,"$575,000",apartment,1,1,1,63,m²,-1.0,,GEVLEI,Gerard Partners Real Estate - Leichhardt,,,27 Aug 2018,unit apartment,63,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-134462994,Eveleigh,NSW,2015,69/49 Henderson Road,"69/49 Henderson Road, Eveleigh, NSW 2015",732000,"$732,000",apartment,2,1,1,,,-1.0,,XLJNEX,LJ Hooker - Newtown Group,,,24 Oct 2020,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-133671594,Eveleigh,NSW,2015,113/49 Henderson Road,"113/49 Henderson Road, Eveleigh, NSW 2015",835000,"$835,000",apartment,2,2,1,,,-1.0,,XRHNEX,Raine & Horne - Newtown,,,19 Jun 2020,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-130240170,Eveleigh,NSW,2015,96/49 Henderson Road,"96/49 Henderson Road, Eveleigh, NSW 2015",795000,"$795,000",apartment,2,2,1,,,-1.0,,EYBUME,Vesta Property Group - GLEBE,,,27 May 2019,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-116041291,Eveleigh,NSW,2015,97/49 Henderson Road,"97/49 Henderson Road, Eveleigh, NSW 2015",807500,"$807,500",apartment,2,2,1,,,-1.0,,XRHNEX,Raine & Horne - Newtown,,,29 Sep 2017,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-120201329,Eveleigh,NSW,2015,68/49 Henderson Road,"68/49 Henderson Road, Eveleigh, NSW 2015",730000,"$730,000",apartment,2,1,1,110,m²,-1.0,,EUHHUE,Viewey Real Estate - Newtown,,,29 Jul 2015,unit apartment,110,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-120719381,Eveleigh,NSW,2015,46/49 Henderson Road,"46/49 Henderson Road, Eveleigh, NSW 2015",680000,"$680,000",apartment,2,2,1,,,-1.0,,XRHASI,Raine & Horne - Ashfield,,,30 Oct 2015,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-134257178,Eveleigh,NSW,2015,42/49 Henderson Road,"42/49 Henderson Road, Eveleigh, NSW 2015",755000,"$755,000",apartment,2,2,1,111,m²,-1.0,,XRHNEX,Raine & Horne - Newtown,,,23 Oct 2020,unit apartment,111,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-130807054,Eveleigh,NSW,2015,103/49 Henderson Road,"103/49 Henderson Road, Eveleigh, NSW 2015",,Contact agent,apartment,2,2,1,132,m²,-1.0,,UKCDKO,Ray White - Bondi Junction,,,16 Aug 2019,unit apartment,132,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-130486698,Eveleigh,NSW,2015,66/49 Henderson Road,"66/49 Henderson Road, Eveleigh, NSW 2015",777600,"$777,600",apartment,2,2,1,138,m²,-1.0,,XRWNEY,Ray White (IW Group),,,13 Mar 2019,unit apartment,138,-1.0
Sold,https://www.realestate.com.au/sold/property-unit-nsw-eveleigh-125107862,Eveleigh,NSW,2015,84/49 Henderson Road,"84/49 Henderson Road, Eveleigh, NSW 2015",915000,"$915,000",unit,2,2,1,,,-1.0,,XRWNEY,Ray White (IW Group),,,26 Apr 2017,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-109881081,Eveleigh,NSW,2015,86/49 Henderson Road/Rowley Street,"86/49 Henderson Road/Rowley Street, Eveleigh, NSW 2015",,Contact agent,apartment,2,2,1,,,-1.0,,,,,,29 May 2012,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-eveleigh-134022110,Eveleigh,NSW,2015,115/49 Henderson Road,"115/49 Henderson Road, Eveleigh, NSW 2015",1320000,"$1,320,000",apartment,3,2,2,221,m²,-1.0,,XRWSUH,Ray White - Erskineville | Alexandria | Glebe | Surry Hills,,,10 Jul 2020,unit apartment,221,-1.0
Sold,https://www.realestate.com.au/sold/property-townhouse-nsw-eveleigh-134911534,Eveleigh,NSW,2015,21/49 Henderson Road,"21/49 Henderson Road, Eveleigh, NSW 2015",1600000,"$1,600,000",townhouse,4,2,1,237,m²,237.0,m²,IXAZCL,The Agency - NSW,,,05 Dec 2020,townhouse,237,237.0
