badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield+east-105391020,Fairfield East,NSW,2165,,,265000,"$265,000",residential-other,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,25 Feb 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-136320370,Fairfield East,NSW,2165,5 Normanby Street,"5 Normanby Street, Fairfield East, NSW 2165",1122000,"$1,122,000",house,2,1,1,,,1011.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,05 Jun 2021,house,,1011.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-130743870,Fairfield East,NSW,2165,105 Seville Street,"105 Seville Street, Fairfield East, NSW 2165",650000,"$650,000",house,2,1,0,,,913.0,m²,WPATIQ,Ray White - Liverpool,,,25 May 2019,house,,913.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-127644438,Fairfield East,NSW,2165,105 Mandarin Street,"105 Mandarin Street, Fairfield East, NSW 2165",640000,"$640,000",house,2,1,1,,,-1.0,,NAXXFT,McGrath Estate Agents - Liverpool,,,26 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-126891834,Fairfield East,NSW,2165,163 River Avenue,"163 River Avenue, Fairfield East, NSW 2165",620000,"$620,000",house,2,1,2,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,02 Dec 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-117025659,Fairfield East,NSW,2165,,,700000,"$700,000",house,2,1,1,,,-1.0,,OONJNJ,Richardson & Wrench - Fairfield,,,16 Dec 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-132997454,Fairfield East,NSW,2165,3 Macarthur Street,"3 Macarthur Street, Fairfield East, NSW 2165",916000,"$916,000",house,2,1,1,,,670.0,m²,TITCXQ,Professionals Real Estate - Fairfield,,,14 Mar 2020,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-132793898,Fairfield East,NSW,2165,34 Malta Street,"34 Malta Street, Fairfield East, NSW 2165",510000,"$510,000",house,2,1,1,,,518.0,m²,TITCXQ,Professionals Real Estate - Fairfield,,,15 Feb 2020,house,,518.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-132519318,Fairfield East,NSW,2165,69 Hercules Street,"69 Hercules Street, Fairfield East, NSW 2165",721000,"$721,000",house,2,1,1,,,733.0,m²,TITCXQ,Professionals Real Estate - Fairfield,,,14 Dec 2019,house,,733.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+east-129191622,Fairfield East,NSW,2165,6 Lupin Avenue,"6 Lupin Avenue, Fairfield East, NSW 2165",640000,"$640,000",house,2,1,0,,,-1.0,,VNGSTC,First National Real Estate Orrego,,,07 Nov 2018,house,,-1.0
