badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield+heights-105528284,Fairfield Heights,NSW,2165,154 The Boulevarde,"154 The Boulevarde, Fairfield Heights, NSW 2165",1072000,"$1,072,000",residential-other,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,14 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield+heights-105180674,Fairfield Heights,NSW,2165,196 The Boulevarde,"196 The Boulevarde, Fairfield Heights, NSW 2165",785000,"Range: $675,000 - $785,000",residential-other,0,1,0,,,538.0,m²,,,,,03 Aug 2009,house,,538.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield+heights-118805383,Fairfield Heights,NSW,2165,10 Stanbrook Street,"10 Stanbrook Street, Fairfield Heights, NSW 2165",1350000,"$1,350,000",residential-other,1,1,0,,,3659.0,m²,,,,,02 Feb 2015,house,,3659.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield+heights-108237936,Fairfield Heights,NSW,2165,,,,Contact agent,residential-other,1,1,0,,,-1.0,,,,,,06 Jan 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-106403154,Fairfield Heights,NSW,2165,,,325000,"Range: $275,000 - $325,000",house,1,1,1,,,-1.0,,,,,,01 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-141397408,Fairfield Heights,NSW,2165,42 Churchill Street,"42 Churchill Street, Fairfield Heights, NSW 2165",860000,"$860,000",house,2,1,1,,,-1.0,,EYNWAQ,Graham Ball Estate Agents - FAIRFIELD HEIGHTS,,,04 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-138679199,Fairfield Heights,NSW,2165,"10/133 Polding Street,","10/133 Polding Street,, Fairfield Heights, NSW 2165",485000,"$485,000",house,2,2,1,,,-1.0,,XCEBOS,Century 21 - The Parks Realty,,,26 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-138798171,Fairfield Heights,NSW,2165,33 Stanbrook Street,"33 Stanbrook Street, Fairfield Heights, NSW 2165",2350000,"$2,350,000",house,2,1,2,,,1827.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,10 Apr 2022,house,,1827.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-138745963,Fairfield Heights,NSW,2165,9/102-104 Station Street,"9/102-104 Station Street, Fairfield Heights, NSW 2165",590000,"$590,000",house,2,1,1,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,02 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-138149546,Fairfield Heights,NSW,2165,6/133 Polding Street,"6/133 Polding Street, Fairfield Heights, NSW 2165",495000,"$495,000",house,2,2,1,71,m²,-1.0,,XCEBOS,Century 21 - The Parks Realty,,,16 Mar 2022,house,71,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-134282970,Fairfield Heights,NSW,2165,51 Churchill Street,"51 Churchill Street, Fairfield Heights, NSW 2165",921000,"$921,000",house,2,1,0,,,-1.0,,EYNWAQ,Graham Ball Estate Agents - FAIRFIELD HEIGHTS,,,02 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-135633078,Fairfield Heights,NSW,2165,4/33 Stanley Street,"4/33 Stanley Street, Fairfield Heights, NSW 2165",722000,"$722,000",house,2,2,1,,,-1.0,,,,,,11 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+heights-134978438,Fairfield Heights,NSW,2165,47 Linda Street,"47 Linda Street, Fairfield Heights, NSW 2165",765000,"$765,000",house,2,2,2,,,-1.0,,EANQOS,Omega Real Estate - Fairfield,,,12 Jan 2021,house,,-1.0
