badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield+west-104726825,Fairfield West,NSW,2165,70 Margaret Street,"70 Margaret Street, Fairfield West, NSW 2165",305000,"$305,000",residential-other,0,1,0,,,917.0,m²,XCEFAI,Century 21 - Fairfield,,,28 Apr 2008,house,,917.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-fairfield+west-134072702,Fairfield West,NSW,2165,313 Smithfield Road,"313 Smithfield Road, Fairfield West, NSW 2165",463000,"$463,000",acreage,1,1,1,,,556.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,22 Aug 2020,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-127155990,Fairfield West,NSW,2165,57 Lombard Street,"57 Lombard Street, Fairfield West, NSW 2165",585000,"$585,000",house,1,1,0,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,29 Jan 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-140214395,Fairfield West,NSW,2165,12 Grenada Street,"12 Grenada Street, Fairfield West, NSW 2165",730000,"$730,000",house,2,1,1,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,17 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-139700063,Fairfield West,NSW,2165,14 Gardiner Crescent,"14 Gardiner Crescent, Fairfield West, NSW 2165",800000,"$800,000",house,2,1,4,,,-1.0,,EYBUME,Vesta Property Group - GLEBE,,,23 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-136442666,Fairfield West,NSW,2165,336 Hamilton Road,"336 Hamilton Road, Fairfield West, NSW 2165",850000,"$850,000",house,2,1,2,,,607.0,m²,AYUXOI,Parklands Real Estate,,,09 Jun 2022,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-135439322,Fairfield West,NSW,2165,71 King Road,"71 King Road, Fairfield West, NSW 2165",618000,"$618,000",house,2,1,1,,,560.0,m²,HPGDKX,BOS Realty - Liverpool,,,08 Mar 2021,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-128155490,Fairfield West,NSW,2165,1 Noelene Street,"1 Noelene Street, Fairfield West, NSW 2165",626000,"$626,000",house,2,1,2,,,569.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,08 May 2018,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-138432339,Fairfield West,NSW,2165,336 Hamilton Road,"336 Hamilton Road, Fairfield West, NSW 2165",1080000,"$1,080,000",house,2,1,2,,,-1.0,,,,,,04 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield+west-135312370,Fairfield West,NSW,2165,121 King Road,"121 King Road, Fairfield West, NSW 2165",757000,"$757,000",house,2,1,1,,,675.0,m²,TITCXQ,Professionals Real Estate - Fairfield,,,20 Feb 2021,house,,675.0
