badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-130779650,Fairfield,NSW,2165,39 The Crescent,"39 The Crescent, Fairfield, NSW 2165",768000,"$768,000",house,0,1,0,,,-1.0,,BFMBER,Rodi Realty - Berala,,,14 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-115860675,Fairfield,NSW,2165,45 The Crescent,"45 The Crescent, Fairfield, NSW 2165",580000,"$580,000",residential-other,0,1,0,,,-1.0,,EANQOS,Omega Real Estate - Fairfield,,,07 May 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-109005331,Fairfield,NSW,2165,,,490000,"$490,000",house,0,3,1,,,-1.0,,,,,,13 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-133870606,Fairfield,NSW,2165,3/30 Nelson Street,"3/30 Nelson Street, Fairfield, NSW 2165",,Contact agent,residential-other,0,1,0,,,-1.0,,TITCXQ,Professionals Real Estate - Fairfield,,,30 Jul 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-105425140,Fairfield,NSW,2165,,,360000,"$360,000",residential-other,0,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,28 Jan 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-132103290,Fairfield,NSW,2165,206/28 Smart Street,"206/28 Smart Street, Fairfield, NSW 2165",290000,"$290,000",house,1,1,0,,,-1.0,,XNBZVH,LJ Hooker - Fairfield,,,01 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-132465334,Fairfield,NSW,2165,35 Cathcart Street,"35 Cathcart Street, Fairfield, NSW 2165",875000,"$875,000",house,1,1,0,,,569.0,m²,MVRODC,Andrew Partners Real Estate - FAIRFIELD,,,14 Dec 2019,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-130547034,Fairfield,NSW,2165,46 Kenyon Street,"46 Kenyon Street, Fairfield, NSW 2165",651000,"$651,000",house,1,1,0,,,547.0,m²,XCEFAI,Century 21 - Fairfield,,,30 Mar 2019,house,,547.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-124742474,Fairfield,NSW,2165,752/17-21 The Crescent,"752/17-21 The Crescent, Fairfield, NSW 2165",385000,"$385,000",house,1,1,1,,,-1.0,,,,,,22 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-123689374,Fairfield,NSW,2165,Unit 109/17-21 The Crescent,"Unit 109/17-21 The Crescent, Fairfield, NSW 2165",395000,"$395,000",house,1,1,1,,,-1.0,,,,,,31 Jan 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-119490707,Fairfield,NSW,2165,3/30 Nelson Street,"3/30 Nelson Street, Fairfield, NSW 2165",367000,"$367,000",residential-other,1,1,0,,,-1.0,,,,,,15 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-123135110,Fairfield,NSW,2165,3 William Street,"3 William Street, Fairfield, NSW 2165",1630000,"$1,630,000",house,1,1,0,,,-1.0,,XCEFAI,Century 21 - Fairfield,,,06 Aug 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-119490883,Fairfield,NSW,2165,2A William Street,"2A William Street, Fairfield, NSW 2165",410000,"$410,000",residential-other,1,1,0,,,-1.0,,,,,,31 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-119542555,Fairfield,NSW,2165,6/13 Nelson Street,"6/13 Nelson Street, Fairfield, NSW 2165",505000,"$505,000",residential-other,1,1,1,,,-1.0,,,,,,01 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-115750615,Fairfield,NSW,2165,107-109 Ware St,"107-109 Ware St, Fairfield, NSW 2165",1177000,"$1,177,000",residential-other,1,1,0,,,-1.0,,XNOUMK,Goldstar Partners Real Estate - Cabramatta,,,11 Nov 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-fairfield-120936129,Fairfield,NSW,2165,96 Ware Street,"96 Ware Street, Fairfield, NSW 2165",3235000,"$3,235,000",residential-other,1,1,7,,,526.0,m²,,,,,29 Oct 2015,house,,526.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-119947721,Fairfield,NSW,2165,20 Kenyon Street,"20 Kenyon Street, Fairfield, NSW 2165",1100000,"$1,100,000",house,1,1,0,,,-1.0,,XCEWEU,Laing+Simmons - Wetherill Park,,,02 Jun 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-119912033,Fairfield,NSW,2165,18 Kenyon Street,"18 Kenyon Street, Fairfield, NSW 2165",1122000,"$1,122,000",house,1,1,0,,,-1.0,,XCEWEU,Laing+Simmons - Wetherill Park,,,28 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-119911929,Fairfield,NSW,2165,16 Kenyon Street,"16 Kenyon Street, Fairfield, NSW 2165",1014000,"$1,014,000",house,1,1,0,,,-1.0,,XCEWEU,Laing+Simmons - Wetherill Park,,,27 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairfield-119476743,Fairfield,NSW,2165,5/17 Lawson Street,"5/17 Lawson Street, Fairfield, NSW 2165",260000,"$260,000",house,1,1,1,,,-1.0,,PMCTLJ,Marando Real Estate South West - South West,,,27 May 2015,house,,-1.0
