badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-111247599,Fairlight,NSW,2094,15 Suwarrow Street,"15 Suwarrow Street, Fairlight, NSW 2094",875000,"$875,000",house,1,1,0,,,450.0,m²,QJWEGU,Clarke & Humel Property - Manly,,,05 Sep 2012,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-109972271,Fairlight,NSW,2094,6/17 Bolingbroke Parade,"6/17 Bolingbroke Parade, Fairlight, NSW 2094",,Contact agent,house,1,1,0,,,-1.0,,XRHBAN,Raine & Horne - Manly,,,18 May 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-140834532,Fairlight,NSW,2094,257 Sydney Road,"257 Sydney Road, Fairlight, NSW 2094",2100000,"$2,100,000",duplex-semi-detached,2,1,1,,,273.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,23 Nov 2022,house,,273.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-139871119,Fairlight,NSW,2094,1/77 Fairlight Street,"1/77 Fairlight Street, Fairlight, NSW 2094",1710000,"$1,710,000",duplex-semi-detached,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,05 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-134768574,Fairlight,NSW,2094,7 Hill Street,"7 Hill Street, Fairlight, NSW 2094",2050000,"$2,050,000",house,2,1,1,,,285.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,13 Nov 2020,house,,285.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-134671630,Fairlight,NSW,2094,24 Francis Street,"24 Francis Street, Fairlight, NSW 2094",2525000,"$2,525,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,03 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-134396578,Fairlight,NSW,2094,7 Northcote Avenue,"7 Northcote Avenue, Fairlight, NSW 2094",2315000,"$2,315,000",house,2,2,4,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,19 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-132514530,Fairlight,NSW,2094,59 Fairlight Street,"59 Fairlight Street, Fairlight, NSW 2094",2257500,"$2,257,500",house,2,2,1,,,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,29 Feb 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-132176062,Fairlight,NSW,2094,1/3a Northcote Avenue,"1/3a Northcote Avenue, Fairlight, NSW 2094",1720000,"$1,720,000",house,2,1,1,,,-1.0,,KLASEA,Stone Real Estate Seaforth - Seaforth,,,06 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-132167486,Fairlight,NSW,2094,25 Hilltop Crescent,"25 Hilltop Crescent, Fairlight, NSW 2094",1950000,"$1,950,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,23 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-132001522,Fairlight,NSW,2094,219 Sydney Road,"219 Sydney Road, Fairlight, NSW 2094",1850000,"$1,850,000",house,2,1,2,,,273.0,m²,XMHMAN,Stone Real Estate - Manly,,,28 Sep 2019,house,,273.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-131860510,Fairlight,NSW,2094,1/1 Northcote Avenue,"1/1 Northcote Avenue, Fairlight, NSW 2094",1700000,"$1,700,000",duplex-semi-detached,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,05 Sep 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-130364958,Fairlight,NSW,2094,28 Daintrey Street,"28 Daintrey Street, Fairlight, NSW 2094",1805000,"$1,805,000",duplex-semi-detached,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,22 Feb 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-130151306,Fairlight,NSW,2094,2/35 Lauderdale Avenue,"2/35 Lauderdale Avenue, Fairlight, NSW 2094",1331000,"$1,331,000",duplex-semi-detached,2,2,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,02 Feb 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-128965418,Fairlight,NSW,2094,94 Griffiths Street,"94 Griffiths Street, Fairlight, NSW 2094",2065000,"$2,065,000",house,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,08 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-128664242,Fairlight,NSW,2094,1 Bellevue Street,"1 Bellevue Street, Fairlight, NSW 2094",2040000,"$2,040,000",house,2,1,1,,,390.0,m²,XLJMAO,The Rightside Estate Agency - Manly,,,20 Jul 2018,house,,390.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-128091678,Fairlight,NSW,2094,2/42 Fairlight Street,"2/42 Fairlight Street, Fairlight, NSW 2094",1975000,"$1,975,000",duplex-semi-detached,2,1,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,21 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-128091670,Fairlight,NSW,2094,1/42 Fairlight Street,"1/42 Fairlight Street, Fairlight, NSW 2094",1600000,"$1,600,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,21 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-127917838,Fairlight,NSW,2094,24 Francis Street,"24 Francis Street, Fairlight, NSW 2094",2085000,"$2,085,000",house,2,1,0,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,14 Apr 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-127746750,Fairlight,NSW,2094,59 Fairlight Street,"59 Fairlight Street, Fairlight, NSW 2094",2301000,"$2,301,000",house,2,2,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,24 Mar 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-126725418,Fairlight,NSW,2094,2/7 Rosedale Avenue,"2/7 Rosedale Avenue, Fairlight, NSW 2094",1300000,"$1,300,000",duplex-semi-detached,2,1,1,117,m²,362.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,08 Nov 2017,house,117,362.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-126725414,Fairlight,NSW,2094,1/7 Rosedale Avenue,"1/7 Rosedale Avenue, Fairlight, NSW 2094",1300000,"$1,300,000",duplex-semi-detached,2,1,1,112,m²,362.0,m²,CUNBAL,Cunninghams - Northern Beaches,,,08 Nov 2017,house,112,362.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-126581118,Fairlight,NSW,2094,3/23 Fairlight Crescent,"3/23 Fairlight Crescent, Fairlight, NSW 2094",1735000,"$1,735,000",house,2,1,1,,,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,28 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-126726886,Fairlight,NSW,2094,219 Sydney Road,"219 Sydney Road, Fairlight, NSW 2094",1685000,"$1,685,000",house,2,1,2,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,26 Oct 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-125423894,Fairlight,NSW,2094,171 Sydney Road,"171 Sydney Road, Fairlight, NSW 2094",1725000,"$1,725,000",house,2,1,1,,,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,15 Jun 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-fairlight-125383026,Fairlight,NSW,2094,42 Bellevue Street,"42 Bellevue Street, Fairlight, NSW 2094",1725000,"$1,725,000",duplex-semi-detached,2,2,2,,,227.3,m²,CUNBAL,Cunninghams - Northern Beaches,,,24 May 2017,house,,227.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-124991610,Fairlight,NSW,2094,22 Francis Street,"22 Francis Street, Fairlight, NSW 2094",1900000,"$1,900,000",house,2,1,0,,,-1.0,,QJWEGU,Clarke & Humel Property - Manly,,,01 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-124751222,Fairlight,NSW,2094,277 Sydney Road,"277 Sydney Road, Fairlight, NSW 2094",1550000,"$1,550,000",house,2,1,0,,,-1.0,,XNTSEA,LJ Hooker - Seaforth,,,04 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fairlight-124649754,Fairlight,NSW,2094,39 Griffiths Street,"39 Griffiths Street, Fairlight, NSW 2094",2110000,"$2,110,000",house,2,2,1,,,-1.0,,CUNBAL,Cunninghams - Northern Beaches,,,13 Feb 2017,house,,-1.0
