badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-farmborough+heights-140430891,Farmborough Heights,NSW,2526,228B Farmborough Road,"228B Farmborough Road, Farmborough Heights, NSW 2526",760000,"$760,000",duplex-semi-detached,2,2,2,,,-1.0,,OCOWOL,McGrath - Wollongong,,,29 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-138324502,Farmborough Heights,NSW,2526,68 Stanley Avenue,"68 Stanley Avenue, Farmborough Heights, NSW 2526",755000,"$755,000",house,2,1,1,,,556.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,29 Jan 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-134715490,Farmborough Heights,NSW,2526,68 Stanley Avenue,"68 Stanley Avenue, Farmborough Heights, NSW 2526",582000,"$582,000",house,2,1,2,,,556.0,m²,MZKWOM,MMJ Wollongong - WOLLONGONG,,,05 Nov 2020,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-128309730,Farmborough Heights,NSW,2526,103 Farmborough Road,"103 Farmborough Road, Farmborough Heights, NSW 2526",449000,"$449,000",house,2,1,1,,,1008.0,m²,HDYFWJ,Ray White - Wollongong,,,17 Jul 2018,house,,1008.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-126227674,Farmborough Heights,NSW,2526,78 Iola Street,"78 Iola Street, Farmborough Heights, NSW 2526",532000,"$532,000",house,2,1,0,,,600.7,m²,HDYFWJ,Ray White - Wollongong,,,19 Sep 2017,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-123493238,Farmborough Heights,NSW,2526,15 Loch Lomond Avenue,"15 Loch Lomond Avenue, Farmborough Heights, NSW 2526",465000,"$465,000",house,2,2,1,,,607.0,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,19 Sep 2016,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-120529573,Farmborough Heights,NSW,2526,90 Farmborough Road,"90 Farmborough Road, Farmborough Heights, NSW 2526",420000,"$420,000",house,2,1,3,,,607.0,m²,OCOWOL,McGrath - Wollongong,,,27 Aug 2015,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-120206585,Farmborough Heights,NSW,2526,101 Farmborough Road,"101 Farmborough Road, Farmborough Heights, NSW 2526",413000,"$413,000",house,2,2,1,,,815.0,m²,OCOWOL,McGrath - Wollongong,,,01 Aug 2015,house,,815.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-133996914,Farmborough Heights,NSW,2526,38 Panorama Drive,"38 Panorama Drive, Farmborough Heights, NSW 2526",420000,"$420,000",house,2,1,1,,,-1.0,,PUHOJY,MMJ - Dapto,,,06 Aug 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-133121982,Farmborough Heights,NSW,2526,15 Loch Lomond Ave,"15 Loch Lomond Ave, Farmborough Heights, NSW 2526",530000,"$530,000",house,2,2,1,,,607.0,m²,ZEADER,A-List Property Group - Wollongong ,,,04 May 2020,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-125355062,Farmborough Heights,NSW,2526,93 Panorama Drive,"93 Panorama Drive, Farmborough Heights, NSW 2526",572000,"$572,000",house,2,1,1,,,556.0,m²,MBUDAP,Richardson and Wrench - Dapto,,,17 May 2017,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-118811171,Farmborough Heights,NSW,2526,92 Farmborough Road,"92 Farmborough Road, Farmborough Heights, NSW 2526",400000,"$400,000",house,2,1,1,,,613.4,m²,NCOFLL,The Agency - Illawarra,,,09 Feb 2015,house,,613.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-118305195,Farmborough Heights,NSW,2526,107 Farmborough Road,"107 Farmborough Road, Farmborough Heights, NSW 2526",350000,"$350,000",house,2,1,2,,,1110.0,m²,HOCXOB,Spinelli Real Estate Wollongong - Shellharbour City,,,18 Nov 2014,house,,1110.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-118276175,Farmborough Heights,NSW,2526,68 Stanley Avenue,"68 Stanley Avenue, Farmborough Heights, NSW 2526",385000,"$385,000",house,2,1,1,,,556.0,m²,HDZEAQ,Ray White Real Estate - Unanderra,,,05 Nov 2014,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-108312576,Farmborough Heights,NSW,2526,2 Gerard  Ave,"2 Gerard  Ave, Farmborough Heights, NSW 2526",350000,"$350,000",house,2,1,1,,,-1.0,,FANWOL,All Residential Real Estate - Wollongong,,,15 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-108035136,Farmborough Heights,NSW,2526,90 Farmborough Road,"90 Farmborough Road, Farmborough Heights, NSW 2526",305000,"$305,000",house,2,1,1,,,607.0,m²,FLVFJQ,Belle Property - Illawarra,,,14 Oct 2011,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-107776356,Farmborough Heights,NSW,2526,92 Farmborough Road,"92 Farmborough Road, Farmborough Heights, NSW 2526",319000,"$319,000",house,2,1,2,,,613.0,m²,FLVFJQ,Belle Property - Illawarra,,,16 Sep 2011,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-126919138,Farmborough Heights,NSW,2526,158 Farmborough Road,"158 Farmborough Road, Farmborough Heights, NSW 2526",,Contact agent,house,2,1,1,,,575.0,m²,JDSLAS,Master Properties - On King,,,08 May 2018,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-125639466,Farmborough Heights,NSW,2526,203 Farmborough Road,"203 Farmborough Road, Farmborough Heights, NSW 2526",686500,"$686,500",house,2,2,6,,,682.9,m²,XRWWOL,LJ Hooker - Wollongong ,,,03 Jul 2017,house,,682.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-107096374,Farmborough Heights,NSW,2526,101 Panorama Dr,"101 Panorama Dr, Farmborough Heights, NSW 2526",376000,"$376,000",house,2,2,2,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,04 Feb 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-106727208,Farmborough Heights,NSW,2526,235 Farmborough Road,"235 Farmborough Road, Farmborough Heights, NSW 2526",285000,"$285,000",house,2,1,1,,,-1.0,,XRWWOL,LJ Hooker - Wollongong ,,,30 Sep 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-106479692,Farmborough Heights,NSW,2526,36 Panorama Dr,"36 Panorama Dr, Farmborough Heights, NSW 2526",281000,"$281,000",house,2,1,2,,,-1.0,,MYCEDN,Stella Real Estate - Fairy Meadow,,,13 Jul 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-106081050,Farmborough Heights,NSW,2526,85 Stanley Ave,"85 Stanley Ave, Farmborough Heights, NSW 2526",260000,"$260,000",house,2,1,0,,,-1.0,,LJBUNA,Domain Illawarra Real Estate,,,27 Nov 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-farmborough+heights-105870372,Farmborough Heights,NSW,2526,201 Farmborough Road,"201 Farmborough Road, Farmborough Heights, NSW 2526",265000,"$265,000",house,2,1,2,,,513.0,m²,XRHWOM,Raine & Horne - Wollongong,,,22 Jul 2009,house,,513.0
