badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-137529114,Fassifern,NSW,2283,34 Wangi Road,"34 Wangi Road, Fassifern, NSW 2283",662500,"$662,500",house,2,1,1,,,684.0,m²,XRWTOR,Ray White - Toronto,,,02 Nov 2021,house,,684.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-127087466,Fassifern,NSW,2283,8 Dora Street,"8 Dora Street, Fassifern, NSW 2283",390000,"$390,000",house,2,1,0,,,670.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,11 Dec 2017,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-125313302,Fassifern,NSW,2283,7 Dora Street,"7 Dora Street, Fassifern, NSW 2283",362000,"$362,000",house,2,1,1,,,357.0,m²,XRWTOR,Ray White - Toronto,,,04 Jul 2017,house,,357.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-122119750,Fassifern,NSW,2283,50 Wangi Road,"50 Wangi Road, Fassifern, NSW 2283",320000,"$320,000",house,2,1,1,,,623.0,m²,XRWTOR,Ray White - Toronto,,,27 Sep 2016,house,,623.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-114995111,Fassifern,NSW,2283,8 Dora Street,"8 Dora Street, Fassifern, NSW 2283",296000,"$296,000",house,2,1,1,,,678.3,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,30 Jun 2015,house,,678.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-107102039,Fassifern,NSW,2283,1 Lake Street,"1 Lake Street, Fassifern, NSW 2283",322000,"$322,000",house,2,1,1,744,m²,-1.0,,XFNTOT,Avery Property Professionals  -   ,,,12 Feb 2011,house,744,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-106545187,Fassifern,NSW,2283,,,225000,"$225,000",house,2,1,1,,,684.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,02 Jul 2010,house,,684.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-139173135,Fassifern,NSW,2283,8 Dora Street,"8 Dora Street, Fassifern, NSW 2283",585000,"$585,000",house,2,1,0,,,670.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,01 Jul 2022,house,,670.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-136116614,Fassifern,NSW,2283,52 Wangi Road,"52 Wangi Road, Fassifern, NSW 2283",435000,"$435,000",house,2,1,4,,,-1.0,,ZPCAKB,McFarlane Real Estate - Newcastle & Lake Macquarie Regions,,,30 Mar 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fassifern-134474166,Fassifern,NSW,2283,33 Wangi Road,"33 Wangi Road, Fassifern, NSW 2283",391000,"$391,000",house,2,1,1,,,784.0,m²,XRWTOR,Ray White - Toronto,,,08 Oct 2020,house,,784.0
