badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-140416647,Fennell Bay,NSW,2283,19 Edward Street,"19 Edward Street, Fennell Bay, NSW 2283",485000,"$485,000",house,1,1,0,,,584.0,m²,KYNMXR,@realty - National Head Office Australia,,,11 Oct 2022,house,,584.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-133010382,Fennell Bay,NSW,2283,,,300000,"$300,000",house,1,1,0,,,693.0,m²,XRWTOR,Ray White - Toronto,,,10 Jul 2020,house,,693.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-120360669,Fennell Bay,NSW,2283,89 Macquarie Road,"89 Macquarie Road, Fennell Bay, NSW 2283",310000,"$310,000",house,1,1,4,,,928.0,m²,XRWTOR,Ray White - Toronto,,,15 Jan 2016,house,,928.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-120628737,Fennell Bay,NSW,2283,14 Lake Road,"14 Lake Road, Fennell Bay, NSW 2283",305000,"$305,000",house,1,1,3,,,657.0,m²,CYFQZK,Century 21 Carkeet Johns Smith - Charlestown,,,14 Sep 2015,house,,657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-115544295,Fennell Bay,NSW,2283,31 Brougham Avenue,"31 Brougham Avenue, Fennell Bay, NSW 2283",455000,"$455,000",house,1,1,1,,,1270.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,06 Dec 2013,house,,1270.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-135566630,Fennell Bay,NSW,2283,14 Lake Road,"14 Lake Road, Fennell Bay, NSW 2283",475000,"$475,000",house,1,1,2,,,657.0,m²,XFNTOT,Avery Property Professionals  -   ,,,26 Feb 2021,house,,657.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-116130939,Fennell Bay,NSW,2283,,,,Contact agent,house,1,1,2,859,m²,859.0,m²,NTWOYA,Love Realty - Newcastle/ Lake Macquarie,,,09 Dec 2014,house,859,859.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-106987729,Fennell Bay,NSW,2283,3 Blandford Street,"3 Blandford Street, Fennell Bay, NSW 2283",255000,"$255,000",house,1,1,0,,,607.0,m²,XFNTOT,Avery Property Professionals  -   ,,,04 Apr 2011,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-139707183,Fennell Bay,NSW,2283,311 Main Road,"311 Main Road, Fennell Bay, NSW 2283",550000,"$550,000",house,2,1,0,,,562.0,m²,XFNTOT,Avery Property Professionals  -   ,,,22 Jul 2022,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-139602151,Fennell Bay,NSW,2283,15 Prince Street,"15 Prince Street, Fennell Bay, NSW 2283",540000,"$540,000",house,2,1,1,,,581.0,m²,XFNTOT,Avery Property Professionals  -   ,,,08 Jul 2022,house,,581.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-137411430,Fennell Bay,NSW,2283,9 Elizabeth Street,"9 Elizabeth Street, Fennell Bay, NSW 2283",726000,"$726,000",house,2,1,1,,,920.0,m²,XRWTOR,Ray White - Toronto,,,21 Oct 2021,house,,920.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-136568198,Fennell Bay,NSW,2283,24 Prince Street,"24 Prince Street, Fennell Bay, NSW 2283",665000,"$665,000",house,2,1,2,,,594.0,m²,XRWTOR,Ray White - Toronto,,,15 Jul 2021,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-133933314,Fennell Bay,NSW,2283,25 Lake Road,"25 Lake Road, Fennell Bay, NSW 2283",420000,"$420,000",house,2,1,2,,,629.0,m²,DIYWVC,Harcourts Newcastle - NEWCASTLE,,,09 Jul 2020,house,,629.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-127811546,Fennell Bay,NSW,2283,4 FIG TREE LANE,"4 FIG TREE LANE, Fennell Bay, NSW 2283",440000,"$440,000",house,2,1,2,,,610.0,m²,VZUYFE,First National Real Estate - Toronto,,,16 Apr 2018,house,,610.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-124649022,Fennell Bay,NSW,2283,294 Main Road,"294 Main Road, Fennell Bay, NSW 2283",350000,"$350,000",house,2,1,2,,,682.9,m²,VZUYFE,First National Real Estate - Toronto,,,04 May 2017,house,,682.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-122987266,Fennell Bay,NSW,2283,8 Macquarie Road,"8 Macquarie Road, Fennell Bay, NSW 2283",252000,"$252,000",house,2,1,0,,,285.0,m²,XFNTOT,Avery Property Professionals  -   ,,,26 Jul 2016,house,,285.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-141480112,Fennell Bay,NSW,2283,4 Margaret Street,"4 Margaret Street, Fennell Bay, NSW 2283",490000,"$490,000",house,2,1,1,,,741.0,m²,AREENA,LJ Hooker Lake Macquarie - Wangi Wangi,,,05 Apr 2023,house,,741.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-133197562,Fennell Bay,NSW,2283,12 Prince Street,"12 Prince Street, Fennell Bay, NSW 2283",472400,"$472,400",house,2,1,2,,,595.0,m²,XRWTOR,Ray White - Toronto,,,14 Apr 2020,house,,595.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-132394102,Fennell Bay,NSW,2283,31 Margaret Street,"31 Margaret Street, Fennell Bay, NSW 2283",670000,"$670,000",house,2,1,1,,,689.2,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,04 Feb 2020,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-129044694,Fennell Bay,NSW,2283,38/305 Main Road,"38/305 Main Road, Fennell Bay, NSW 2283",325000,"$325,000",house,2,1,1,,,-1.0,,XRWTOR,Ray White - Toronto,,,21 Dec 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-125828294,Fennell Bay,NSW,2283,2 Potter Close,"2 Potter Close, Fennell Bay, NSW 2283",349950,"$349,950",house,2,1,2,,,-1.0,,GKPMPW,Ray White Newcastle Lake Macquarie - NEWCASTLE,,,04 Aug 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-123379546,Fennell Bay,NSW,2283,44 Macquarie Road,"44 Macquarie Road, Fennell Bay, NSW 2283",640000,"$640,000",house,2,1,3,,,872.0,m²,XFNTOT,Avery Property Professionals  -   ,,,24 Sep 2016,house,,872.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-121757558,Fennell Bay,NSW,2283,36 Elizabeth Street,"36 Elizabeth Street, Fennell Bay, NSW 2283",645000,"$645,000",house,2,3,2,,,822.0,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,16 Mar 2016,house,,822.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-121566622,Fennell Bay,NSW,2283,10 Edward Street,"10 Edward Street, Fennell Bay, NSW 2283",450000,"$450,000",house,2,1,2,,,898.0,m²,XRWTOR,Ray White - Toronto,,,04 Mar 2016,house,,898.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-121491154,Fennell Bay,NSW,2283,31 Margaret Street,"31 Margaret Street, Fennell Bay, NSW 2283",517500,"$517,500",house,2,1,0,,,689.2,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,29 Feb 2016,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-121663626,Fennell Bay,NSW,2283,19 Bellevue Lane,"19 Bellevue Lane, Fennell Bay, NSW 2283",375000,"$375,000",house,2,1,2,,,643.1,m²,XLJTOS,LJ Hooker Lake Macquarie - TORONTO,,,18 Feb 2016,house,,643.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-121695410,Fennell Bay,NSW,2283,12 Prince Street,"12 Prince Street, Fennell Bay, NSW 2283",378500,"$378,500",house,2,1,2,,,594.0,m²,XFNTOT,Avery Property Professionals  -   ,,,08 Feb 2016,house,,594.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-fennell+bay-121475338,Fennell Bay,NSW,2283,18/305 Main Road,"18/305 Main Road, Fennell Bay, NSW 2283",288000,"$288,000",house,2,1,1,,,-1.0,,XRWTOR,Ray White - Toronto,,,15 Jan 2016,house,,-1.0
