badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-five+dock-135153158,Five Dock,NSW,2046,Shop 21/183 First Ave,"Shop 21/183 First Ave, Five Dock, NSW 2046",,Contact agent,residential-other,1,1,2,,,-1.0,,JWHARZ,Raine & Horne - Five Dock/Drummoyne,,,22 Dec 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-132379086,Five Dock,NSW,2046,4/3 Udall Ave,"4/3 Udall Ave, Five Dock, NSW 2046",860000,"$860,000",house,1,1,1,,,-1.0,,JWHARZ,Raine & Horne - Five Dock/Drummoyne,,,06 Dec 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-120333469,Five Dock,NSW,2046,241 Great North Road,"241 Great North Road, Five Dock, NSW 2046",790500,"$790,500",house,1,1,1,,,177.0,m²,ABCFIV,Time Realty - Five Dock,,,05 Sep 2015,house,,177.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-115460027,Five Dock,NSW,2046,241 Great North Road,"241 Great North Road, Five Dock, NSW 2046",693000,"$693,000",house,1,1,1,,,-1.0,,ABCFIV,Time Realty - Five Dock,,,13 Feb 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-105847308,Five Dock,NSW,2046,1/397 Lyons Road,"1/397 Lyons Road, Five Dock, NSW 2046",940000,"$940,000",house,1,2,3,,,-1.0,,XFNDRU,Devine Real Estate - Drummoyne,,,24 Feb 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-141586780,Five Dock,NSW,2046,41 East Street,"41 East Street, Five Dock, NSW 2046",1810000,"$1,810,000",house,2,1,1,,,-1.0,,ORKKMA,PRB Real Estate - Five Dock,,,11 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-140253047,Five Dock,NSW,2046,14 Arlington Street,"14 Arlington Street, Five Dock, NSW 2046",1850000,"$1,850,000",house,2,1,3,,,442.0,m²,JWHARZ,Raine & Horne - Five Dock/Drummoyne,,,21 Sep 2022,house,,442.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-140091047,Five Dock,NSW,2046,295 Great North Road,"295 Great North Road, Five Dock, NSW 2046",1776000,"$1,776,000",house,2,1,4,,,-1.0,,DTBRVS,Belle Property - Drummoyne,,,10 Sep 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-five+dock-137957594,Five Dock,NSW,2046,517 Lyons Road West,"517 Lyons Road West, Five Dock, NSW 2046",1725000,"$1,725,000",duplex-semi-detached,2,1,2,,,303.5,m²,PGPYYO,Belle Property - Ashfield,,,22 Feb 2022,house,,303.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-five+dock-137320810,Five Dock,NSW,2046,44 Harrabrook Avenue,"44 Harrabrook Avenue, Five Dock, NSW 2046",2085000,"$2,085,000",house,2,1,1,,,278.2,m²,ABCFIV,Time Realty - Five Dock,,,16 Oct 2021,house,,278.2
