badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-141467000,Floraville,NSW,2280,22 Marlin Avenue,"22 Marlin Avenue, Floraville, NSW 2280",670000,"$670,000",house,2,2,1,,,505.0,m²,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,14 Mar 2023,house,,505.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-floraville-132792874,Floraville,NSW,2280,2/139 Floraville Road,"2/139 Floraville Road, Floraville, NSW 2280",425000,"$425,000",duplex-semi-detached,2,1,1,,,-1.0,,CRGCHA,Creer Property - Charlestown     ,,,09 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-139946119,Floraville,NSW,2280,71 Floraville Road,"71 Floraville Road, Floraville, NSW 2280",649500,"$649,500",house,2,1,1,,,607.0,m²,XCEEDG,Century 21 Aaron Walter - Edgeworth,,,10 Feb 2023,house,,607.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-139785303,Floraville,NSW,2280,4/64 Floraville Road,"4/64 Floraville Road, Floraville, NSW 2280",640000,"$640,000",house,2,1,1,,,-1.0,,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,24 Oct 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-134707102,Floraville,NSW,2280,1/139 Floraville Road,"1/139 Floraville Road, Floraville, NSW 2280",510000,"$510,000",house,2,1,1,,,312.0,m²,XRWTOR,Ray White - Toronto,,,26 Nov 2020,house,,312.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-floraville-113124027,Floraville,NSW,2280,2/131 Floraville Road,"2/131 Floraville Road, Floraville, NSW 2280",330000,"$330,000",duplex-semi-detached,2,1,1,,,379.0,m²,CYFQZK,Century 21 Carkeet Johns Smith - Charlestown,,,05 Dec 2013,house,,379.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-112576079,Floraville,NSW,2280,3/25 Park Royal Drive,"3/25 Park Royal Drive, Floraville, NSW 2280",,Contact agent,house,2,1,1,,,-1.0,,,,,,20 Dec 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-141119224,Floraville,NSW,2280,5 Griffiths Avenue,"5 Griffiths Avenue, Floraville, NSW 2280",690000,"$690,000",house,3,1,2,,,556.0,m²,CYFQZK,Century 21 Carkeet Johns Smith - Charlestown,,,20 Jan 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-140148723,Floraville,NSW,2280,84b Floraville Road,"84b Floraville Road, Floraville, NSW 2280",1115000,"$1,115,000",house,3,2,2,,,455.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,29 Sep 2022,house,,455.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-140111203,Floraville,NSW,2280,13 Jordan Street,"13 Jordan Street, Floraville, NSW 2280",860000,"$860,000",house,3,2,1,,,506.0,m²,CTCVKL,Lance Jensen & Associates Real Estate,,,30 Aug 2022,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-138907075,Floraville,NSW,2280,21 Elizabeth Street,"21 Elizabeth Street, Floraville, NSW 2280",830000,"$830,000",house,3,1,1,,,506.0,m²,CRGCHA,Creer Property - Charlestown     ,,,07 Apr 2022,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-137962654,Floraville,NSW,2280,31 Marlin Avenue,"31 Marlin Avenue, Floraville, NSW 2280",870000,"$870,000",house,3,1,1,,,506.0,m²,TLAEKB,Stone Real Estate - Newcastle,,,11 Jan 2022,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-136363294,Floraville,NSW,2280,106 Floraville Road,"106 Floraville Road, Floraville, NSW 2280",605000,"$605,000",house,3,1,1,,,-1.0,,CRGCHA,Creer Property - Charlestown     ,,,19 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-floraville-136492606,Floraville,NSW,2280,2/8 Baronet Close,"2/8 Baronet Close, Floraville, NSW 2280",650000,"$650,000",duplex-semi-detached,3,1,1,,,-1.0,,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,18 Jun 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-134750566,Floraville,NSW,2280,12 Sovereign Cl,"12 Sovereign Cl, Floraville, NSW 2280",650000,"$650,000",house,3,1,2,,,715.0,m²,QQQMLX,Viking Realty - Belmont,,,07 Dec 2020,house,,715.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-floraville-134793722,Floraville,NSW,2280,76B Violet Town Road,"76B Violet Town Road, Floraville, NSW 2280",550000,"$550,000",duplex-semi-detached,3,1,1,,,-1.0,,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,24 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-133652726,Floraville,NSW,2280,5/36 Nyanda Avenue,"5/36 Nyanda Avenue, Floraville, NSW 2280",471000,"$471,000",house,3,2,1,,,213.0,m²,ASAYKQ,Belle Property Lake Macquarie - Charlestown,,,16 Jun 2020,house,,213.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-133581502,Floraville,NSW,2280,94 Floraville Road,"94 Floraville Road, Floraville, NSW 2280",485000,"$485,000",house,3,2,2,,,506.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,29 May 2020,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-133023926,Floraville,NSW,2280,3 Jordan Street,"3 Jordan Street, Floraville, NSW 2280",670000,"$670,000",house,3,2,4,,,506.0,m²,DIYWVC,Harcourts Newcastle - NEWCASTLE,,,13 Mar 2020,house,,506.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-floraville-132854402,Floraville,NSW,2280,11A Park Royal Drive,"11A Park Royal Drive, Floraville, NSW 2280",528000,"$528,000",duplex-semi-detached,3,1,1,,,343.0,m²,JSUAAV,"Altitude Real Estate - Newcastle, Lake Macquarie & Hunter Valley",,,02 Mar 2020,house,,343.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-131712018,Floraville,NSW,2280,13 Marlin Avenue,"13 Marlin Avenue, Floraville, NSW 2280",725000,"$725,000",house,3,2,2,,,506.0,m²,CYFQZK,Century 21 Carkeet Johns Smith - Charlestown,,,21 Aug 2019,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-130716934,Floraville,NSW,2280,9 Hollway Street,"9 Hollway Street, Floraville, NSW 2280",495000,"$495,000",house,3,1,2,,,-1.0,,KHXGGD,McGrath - Newcastle,,,10 Apr 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-floraville-129160970,Floraville,NSW,2280,154 Floraville Road,"154 Floraville Road, Floraville, NSW 2280",555000,"$555,000",house,3,1,1,,,506.0,m²,PRDNEW,"PRD Presence - Newcastle, Lake Macquarie & Central Coast -     ",,,19 Sep 2018,house,,506.0
