badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-135460970,Forestville,NSW,2087,5A Angophora Crescent,"5A Angophora Crescent, Forestville, NSW 2087",1502237,"$1,502,237",house,1,1,1,,,1341.0,m²,XNTSEA,LJ Hooker - Seaforth,,,05 Mar 2021,house,,1341.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-133624214,Forestville,NSW,2087,2/48 Arthur Street,"2/48 Arthur Street, Forestville, NSW 2087",990000,"$990,000",house,1,1,1,,,259.0,m²,PZSIVX,One Agency - The Forest,,,24 Jul 2020,house,,259.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-110252585,Forestville,NSW,2087,B113/2-4 Darley Street,"B113/2-4 Darley Street, Forestville, NSW 2087",410000,"$410,000",house,1,1,1,,,-1.0,,AMCFOR,Raine & Horne Forestville - Frenchs Forest,,,26 Apr 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-107162769,Forestville,NSW,2087,749A Warringah Road,"749A Warringah Road, Forestville, NSW 2087",,Contact agent,house,1,1,0,,,749.0,m²,MAJFOR,Bulldog Realtor - MANLY,,,,house,,749.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-107303699,Forestville,NSW,2087,43A Darley Street,"43A Darley Street, Forestville, NSW 2087",,Contact agent,house,1,1,0,,,20.0,m²,MAJFOR,Bulldog Realtor - MANLY,,,,house,,20.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-139752027,Forestville,NSW,2087,13/17 Forestville Avenue,"13/17 Forestville Avenue, Forestville, NSW 2087",1300000,"$1,300,000",house,2,2,1,,,-1.0,,AMCFOR,Raine & Horne Forestville - Frenchs Forest,,,21 Nov 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-139516611,Forestville,NSW,2087,5/17 Forestville Avenue,"5/17 Forestville Avenue, Forestville, NSW 2087",1300000,"$1,300,000",house,2,1,1,,,-1.0,,XWNFOR,McGrath  - Forestville,,,27 Jun 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-139223311,Forestville,NSW,2087,16 Alkoomie Avenue,"16 Alkoomie Avenue, Forestville, NSW 2087",1900000,"$1,900,000",house,2,1,1,,,866.0,m²,SKYFRE,Skyline Real Estate - FRENCHS FOREST,,,26 May 2022,house,,866.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-138288218,Forestville,NSW,2087,2/23 Darley Street,"2/23 Darley Street, Forestville, NSW 2087",1350000,"$1,350,000",house,2,1,1,,,-1.0,,SKYFRE,Skyline Real Estate - FRENCHS FOREST,,,12 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-forestville-138235858,Forestville,NSW,2087,6/27-29 Cannons Parade,"6/27-29 Cannons Parade, Forestville, NSW 2087",1200000,"$1,200,000",house,2,2,1,,,235.0,m²,XWNFOR,McGrath  - Forestville,,,21 Jan 2022,house,,235.0
