badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-galston-117372939,Galston,NSW,2159,,,,Contact agent,acreage,0,1,0,,,-1.0,,,,,,18 Aug 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-114937843,Galston,NSW,2159,344 Galston Rd,"344 Galston Rd, Galston, NSW 2159",1100000,"$1,100,000",house,1,1,12,,,859.6,m²,XCEDUR,Vendo Property Pty Ltd,,,08 Apr 2015,house,,859.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-112941091,Galston,NSW,2159,,,2940000,"$2,940,000",house,1,1,0,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,18 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-galston-132811486,Galston,NSW,2159,4 Carrs Road,"4 Carrs Road, Galston, NSW 2159",2140000,"$2,140,000",acreage,2,1,0,,,2.02,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,09 Apr 2021,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-124093506,Galston,NSW,2159,2/6 Glen Street,"2/6 Glen Street, Galston, NSW 2159",700000,"$700,000",house,2,2,1,,,-1.0,,XCEDUR,Vendo Property Pty Ltd,,,06 Dec 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-135532414,Galston,NSW,2159,7 School Road,"7 School Road, Galston, NSW 2159",1865000,"$1,865,000",house,2,1,1,,,5012.0,m²,OLVNZZ,Lumby Hampson - DURAL,,,05 Feb 2021,house,,5012.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-119660067,Galston,NSW,2159,2 / 6 Glen Street,"2 / 6 Glen Street, Galston, NSW 2159",655000,"$655,000",house,2,2,1,,,-1.0,,XCEDUR,Vendo Property Pty Ltd,,,15 May 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-galston-106761705,Galston,NSW,2159,57-71 Crosslands Rd,"57-71 Crosslands Rd, Galston, NSW 2159",970000,"$970,000",acreage,2,1,0,,,-1.0,,,,,,25 Sep 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-133001526,Galston,NSW,2159,5/6 Glen Street,"5/6 Glen Street, Galston, NSW 2159",855000,"$855,000",house,2,1,1,,,-1.0,,INCMAR,In Conjunction Real Estate - Galston,,,06 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-galston-104815792,Galston,NSW,2159,,,425000,"Range: $365,000 - $425,000",duplex-semi-detached,2,2,0,,,262.0,m²,,,,,31 Jul 2008,house,,262.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-141703188,Galston,NSW,2159,6 Forest Place,"6 Forest Place, Galston, NSW 2159",1575000,"$1,575,000",house,3,2,2,,,758.0,m²,NMKGVO,Belle Property - Castle Hill,,,04 Apr 2023,house,,758.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-galston-141485336,Galston,NSW,2159,26 Fishburns,"26 Fishburns, Galston, NSW 2159",1800000,"$1,800,000",acreage,3,2,2,,,2.52,ha,CWTMKU,Coppernest Property Group,,,08 Mar 2023,house,,25200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-140762395,Galston,NSW,2159,21a Hakea Crescent,"21a Hakea Crescent, Galston, NSW 2159",1535000,"$1,535,000",house,3,1,2,,,-1.0,,NMKGVO,Belle Property - Castle Hill,,,12 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-140049275,Galston,NSW,2159,279 Galston Road,"279 Galston Road, Galston, NSW 2159",1635000,"$1,635,000",house,3,2,2,,,2.25,ha,NMKGVO,Belle Property - Castle Hill,,,07 Dec 2022,house,,22500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-140077639,Galston,NSW,2159,3 The Glade,"3 The Glade, Galston, NSW 2159",1325000,"$1,325,000",house,3,1,2,,,-1.0,,NMKGVO,Belle Property - Castle Hill,,,30 Aug 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-140101035,Galston,NSW,2159,46a Nancy Place,"46a Nancy Place, Galston, NSW 2159",1070000,"$1,070,000",house,3,2,4,,,762.0,m²,JNLTSI,Bev Jones Property - DURAL,,,12 Aug 2022,house,,762.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-galston-139128407,Galston,NSW,2159,30 Johnson Road,"30 Johnson Road, Galston, NSW 2159",1500000,"$1,500,000",house,3,1,1,105,m²,951.0,m²,XGRDUR,Guardian Realty - Dural,,,25 May 2022,house,105,951.0
