badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-glen+alpine-119348183,Glen Alpine,NSW,2560,27 Glen Alpine Dr,"27 Glen Alpine Dr, Glen Alpine, NSW 2560",440000,"$440,000",residential-other,0,4,0,,,772.0,m²,XNOUMK,Goldstar Partners Real Estate - Cabramatta,,,18 Jun 2015,house,,772.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-glen+alpine-118716199,Glen Alpine,NSW,2560,1A Strathmore Place,"1A Strathmore Place, Glen Alpine, NSW 2560",410000,"$410,000",duplex-semi-detached,2,1,1,,,-1.0,,ROKCAA,Harcourts The Property People - CAMPBELLTOWN,,,19 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-138114318,Glen Alpine,NSW,2560,158a Englorie Park Drive,"158a Englorie Park Drive, Glen Alpine, NSW 2560",830000,"$830,000",house,3,1,1,,,375.0,m²,PVRHHQ,Century 21 The Paramount Group,,,11 Jan 2022,house,,375.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-134871002,Glen Alpine,NSW,2560,23 Englorie Park Drive,"23 Englorie Park Drive, Glen Alpine, NSW 2560",665000,"$665,000",house,3,1,1,,,446.0,m²,TVLSRQ,Ray White - Macarthur Group,,,30 Nov 2020,house,,446.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-127341858,Glen Alpine,NSW,2560,,,724000,"$724,000",house,3,1,1,,,707.6,m²,TVLSRQ,Ray White - Macarthur Group,,,09 Feb 2018,house,,707.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-124276146,Glen Alpine,NSW,2560,49 Claremont Circuit,"49 Claremont Circuit, Glen Alpine, NSW 2560",717500,"$717,500",house,3,2,2,,,-1.0,,HBGYTR,Ray White Macarthur Group,,,20 Feb 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-123664378,Glen Alpine,NSW,2560,14 Braeside Crescent,"14 Braeside Crescent, Glen Alpine, NSW 2560",700000,"$700,000",house,3,2,2,,,800.0,m²,WEHVXR,Premiere Estate Agents,,,03 Feb 2017,house,,800.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-123492578,Glen Alpine,NSW,2560,31 Englorie Park Drive,"31 Englorie Park Drive, Glen Alpine, NSW 2560",678000,"$678,000",house,3,1,1,,,503.0,m²,FZTXYQ,Holmes Real Estate - CAMPBELLTOWN,,,20 Sep 2016,house,,503.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-141163196,Glen Alpine,NSW,2560,74 Abington Crescent,"74 Abington Crescent, Glen Alpine, NSW 2560",947625,"$947,625",house,3,2,2,,,904.0,m²,FZTXYQ,Holmes Real Estate - CAMPBELLTOWN,,,28 Apr 2023,house,,904.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-140468255,Glen Alpine,NSW,2560,88 Abington Crescent,"88 Abington Crescent, Glen Alpine, NSW 2560",1050000,"$1,050,000",house,3,2,2,,,900.1,m²,QJJLZY,Harcourts Lifestyles - Mount Annan,,,20 Oct 2022,house,,900.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-136799114,Glen Alpine,NSW,2560,33 Englorie Park Drive,"33 Englorie Park Drive, Glen Alpine, NSW 2560",690000,"$690,000",house,3,1,1,,,630.0,m²,STACAM,Prudential Real Estate - Campbelltown,,,06 Aug 2021,house,,630.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glen+alpine-136301638,Glen Alpine,NSW,2560,23 Belltrees Close,"23 Belltrees Close, Glen Alpine, NSW 2560",899000,"$899,000",house,3,2,2,,,712.0,m²,FZTXYQ,Holmes Real Estate - CAMPBELLTOWN,,,17 May 2021,house,,712.0
