badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-118523843,Glendenning,NSW,2761,6 Woodley street,"6 Woodley street, Glendenning, NSW 2761",480000,"$480,000",house,2,1,0,,,-1.0,,PVDMAR,Prime Real Estate Agents - Marayong,,,13 Dec 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141760608,Glendenning,NSW,2761,7/114 Armitage Drive,"7/114 Armitage Drive, Glendenning, NSW 2761",820000,"$820,000",house,3,1,1,,,-1.0,,TSCUWU,Setia Real Estate - DOONSIDE,,,22 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141636500,Glendenning,NSW,2761,48 Linde Road,"48 Linde Road, Glendenning, NSW 2761",980000,"$980,000",house,3,2,2,,,450.0,m²,TSCUWU,Setia Real Estate - DOONSIDE,,,13 Apr 2023,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141741812,Glendenning,NSW,2761,44 Woodley Crescent,"44 Woodley Crescent, Glendenning, NSW 2761",818000,"$818,000",house,3,1,1,,,450.0,m²,OFLLTA,Harcourts Your Place - Plumpton  / St Marys,,,13 Apr 2023,house,,450.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141682952,Glendenning,NSW,2761,17 Azzopardi Avenue,"17 Azzopardi Avenue, Glendenning, NSW 2761",775000,"$775,000",house,3,1,1,,,-1.0,,XDWWMM,Urban Land Housing - Schofields,,,05 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-glendenning-141400816,Glendenning,NSW,2761,24A Sherborne Place,"24A Sherborne Place, Glendenning, NSW 2761",700000,"$700,000",duplex-semi-detached,3,1,1,,,-1.0,,TSCUWU,Setia Real Estate - DOONSIDE,,,13 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141348944,Glendenning,NSW,2761,4 Masiku Place,"4 Masiku Place, Glendenning, NSW 2761",861000,"$861,000",house,3,2,1,,,412.4,m²,TSCUWU,Setia Real Estate - DOONSIDE,,,06 Mar 2023,house,,412.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141309456,Glendenning,NSW,2761,3 Masiku Place,"3 Masiku Place, Glendenning, NSW 2761",820000,"$820,000",house,3,1,3,,,320.1,m²,TSCUWU,Setia Real Estate - DOONSIDE,,,26 Feb 2023,house,,320.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-141231296,Glendenning,NSW,2761,9 Rathmore Circuit,"9 Rathmore Circuit, Glendenning, NSW 2761",875000,"$875,000",house,3,1,1,,,375.0,m²,TSCUWU,Setia Real Estate - DOONSIDE,,,18 Feb 2023,house,,375.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glendenning-140824559,Glendenning,NSW,2761,12 Armitage Drive,"12 Armitage Drive, Glendenning, NSW 2761",830000,"$830,000",house,3,1,1,,,450.0,m²,TSCUWU,Setia Real Estate - DOONSIDE,,,18 Feb 2023,house,,450.0
