badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-glenhaven-105774631,Glenhaven,NSW,2156,,,,Contact agent,residential-other,0,1,0,,,-1.0,,XLJDUR,LJ Hooker - Dural,,,05 Aug 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-118771855,Glenhaven,NSW,2156,1 Glenshee Place,"1 Glenshee Place, Glenhaven, NSW 2156",765000,"$765,000",house,1,1,0,,,861.0,m²,LOACAS,Louis Carr Glenhaven - Castle Hill,,,23 Dec 2014,house,,861.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-114862907,Glenhaven,NSW,2156,,,2700000,"$2,700,000",house,1,1,0,,,2.02,ha,XCEDUR,Vendo Property Pty Ltd,,,16 Sep 2013,house,,20200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-105933208,Glenhaven,NSW,2156,,,675000,"Range: $575,000 - $675,000",house,1,1,0,,,1935.0,m²,PZQANP,Rance Property - Kenthurst,,,17 Dec 2009,house,,1935.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-124109066,Glenhaven,NSW,2156,2/112 Glenhaven Road,"2/112 Glenhaven Road, Glenhaven, NSW 2156",640000,"$640,000",house,2,1,2,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,17 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-116196487,Glenhaven,NSW,2156,2/42 Glenhaven Road,"2/42 Glenhaven Road, Glenhaven, NSW 2156",675000,"$675,000",house,2,1,2,75,m²,600.0,m²,,,,,16 May 2014,house,75,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-121940574,Glenhaven,NSW,2156,6a Edgecliff Road,"6a Edgecliff Road, Glenhaven, NSW 2156",,Contact agent,house,2,1,1,,,-1.0,,XGRDUR,Guardian Realty - Dural,,,31 Mar 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-105846194,Glenhaven,NSW,2156,,,510000,"$510,000",house,2,1,0,,,1099.0,m²,XGRDUR,Guardian Realty - Dural,,,21 Jul 2009,house,,1099.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-141456312,Glenhaven,NSW,2156,2 Merrick Way,"2 Merrick Way, Glenhaven, NSW 2156",1420000,"$1,420,000",house,3,2,2,,,-1.0,,XLJDUR,LJ Hooker - Dural,,,26 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-141318272,Glenhaven,NSW,2156,22 Fullers Road,"22 Fullers Road, Glenhaven, NSW 2156",2050000,"$2,050,000",house,3,2,2,,,928.0,m²,XLJDUR,LJ Hooker - Dural,,,10 Feb 2023,house,,928.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenhaven-139606063,Glenhaven,NSW,2156,166 Glenhaven Road,"166 Glenhaven Road, Glenhaven, NSW 2156",3200000,"$3,200,000",house,3,1,2,,,2.19,ha,OLVNZZ,Lumby Hampson - DURAL,,,25 Nov 2022,house,,21900.0
