badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-133775454,Glenmore Park,NSW,2745,Lot 411 Corridale Road,"Lot 411 Corridale Road, Glenmore Park, NSW 2745",,Contact agent,house,0,3,4,288.94,m²,350.0,m²,MFBHFX,Better Built Homes and Developments,,,25 Jan 2021,house,288.94,350.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-133775926,Glenmore Park,NSW,2745,Lot 412 Corridale Road,"Lot 412 Corridale Road, Glenmore Park, NSW 2745",,Contact agent,house,0,2,4,204.42,m²,350.0,m²,MFBHFX,Better Built Homes and Developments,,,25 Jan 2021,house,204.42,350.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-glenmore+park-135887326,Glenmore Park,NSW,2745,22-26 Wittama Drive,"22-26 Wittama Drive, Glenmore Park, NSW 2745",1802000,"$1,802,000",residential-other,1,1,0,,,1708.0,m²,JIAEMU,Jim Aitken + Partners - Emu Plains,,,24 Apr 2021,house,,1708.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-glenmore+park-124168842,Glenmore Park,NSW,2745,110/8 Mapleview Lane,"110/8 Mapleview Lane, Glenmore Park, NSW 2745",375600,"$375,600",residential-other,1,1,0,,,375.0,m²,GLGGLE,Glenmore Park Realty - Glenmore Park,,,04 Sep 2017,house,,375.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-glenmore+park-138470859,Glenmore Park,NSW,2745,A219/90-96 Glenmore Ridge Drive,"A219/90-96 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,residential-other,1,1,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,31 Jan 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-132594066,Glenmore Park,NSW,2745,30/1 Glenmore Ridge Drive,"30/1 Glenmore Ridge Drive, Glenmore Park, NSW 2745",440000,"$440,000",house,2,2,1,,,-1.0,,XRWPEN,Ray White - Nepean Group,,,13 Mar 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-glenmore+park-121756158,Glenmore Park,NSW,2745,2/31 Bluebell Close,"2/31 Bluebell Close, Glenmore Park, NSW 2745",518000,"$518,000",duplex-semi-detached,2,1,1,,,292.5,m²,GLGGLE,Glenmore Park Realty - Glenmore Park,,,06 May 2016,house,,292.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-139069619,Glenmore Park,NSW,2745,B308/90-98 Glenmore Ridge Drive,"B308/90-98 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,house,2,2,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,11 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-139069583,Glenmore Park,NSW,2745,C210/90-98 Glenmore Ridge Drive,"C210/90-98 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,house,2,2,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,11 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-139033011,Glenmore Park,NSW,2745,A309/90-98 Glenmore Ridge Drive,"A309/90-98 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,house,2,2,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,04 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-138938599,Glenmore Park,NSW,2745,A114/90-98 Glenmore Ridge Drive,"A114/90-98 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,house,2,2,1,,,-1.0,,XNFPEN,PRD - PENRITH,,,28 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-138939579,Glenmore Park,NSW,2745,A215/90-98 Glenmore Ridge Drive,"A215/90-98 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,house,2,2,0,,,-1.0,,XNFPEN,PRD - PENRITH,,,28 Mar 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-glenmore+park-138938495,Glenmore Park,NSW,2745,A220/90-98 Glenmore Ridge Drive,"A220/90-98 Glenmore Ridge Drive, Glenmore Park, NSW 2745",,Contact agent,house,2,2,0,,,-1.0,,XNFPEN,PRD - PENRITH,,,28 Mar 2022,house,,-1.0
