badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-104804457,Grays Point,NSW,2232,95A Grays Point Road,"95A Grays Point Road, Grays Point, NSW 2232",625000,"$625,000",house,1,1,2,,,-1.0,,,,,,24 Apr 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-133610946,Grays Point,NSW,2232,121 Grays Point Road,"121 Grays Point Road, Grays Point, NSW 2232",,Contact agent,house,1,1,0,,,1544.0,m²,WUGANK,McDonald Partners,,,11 Aug 2020,house,,1544.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-grays+point-107592007,Grays Point,NSW,2232,,,,Contact agent,residential-other,1,1,2,,,850.0,m²,KRZTOT,Agent in a Box - Australia,,,22 Jun 2015,house,,850.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-116585523,Grays Point,NSW,2232,53 Seabrook Avenue,"53 Seabrook Avenue, Grays Point, NSW 2232",640000,"$640,000",house,1,1,0,,,1752.0,m²,XLSMIR,Laing+Simmons - Miranda,,,30 Apr 2014,house,,1752.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-grays+point-107206072,Grays Point,NSW,2232,,,,Contact agent,residential-other,1,1,0,,,771.0,m²,,,,,08 Apr 2011,house,,771.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-grays+point-106915817,Grays Point,NSW,2232,,,,Contact agent,residential-other,1,1,0,,,771.0,m²,,,,,24 Nov 2010,house,,771.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-106130199,Grays Point,NSW,2232,24 Grays Point Road,"24 Grays Point Road, Grays Point, NSW 2232",1100000,"$1,100,000",house,1,1,1,,,1022.0,m²,,,,,12 Dec 2009,house,,1022.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-118017103,Grays Point,NSW,2232,163 Grays Point Road,"163 Grays Point Road, Grays Point, NSW 2232",641500,"$641,500",house,2,1,1,,,-1.0,,,,,,16 Oct 2014,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-107268289,Grays Point,NSW,2232,189 Peninsular Rd,"189 Peninsular Rd, Grays Point, NSW 2232",545000,"$545,000",house,2,1,1,,,-1.0,,XFNGYM,Strong Property - GYMEA,,,21 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-106842559,Grays Point,NSW,2232,182 Grays Point Rd,"182 Grays Point Rd, Grays Point, NSW 2232",628000,"$628,000",house,2,1,1,,,-1.0,,XFNGYM,Strong Property - GYMEA,,,16 Oct 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-106580040,Grays Point,NSW,2232,232 North West Arm Road,"232 North West Arm Road, Grays Point, NSW 2232",582000,"$582,000",house,2,1,1,,,961.0,m²,XCEGYN,JRE Property,,,09 Sep 2010,house,,961.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-105481139,Grays Point,NSW,2232,187 Peninsular Road,"187 Peninsular Road, Grays Point, NSW 2232",515000,"Range: $435,000 - $515,000",house,2,1,2,,,-1.0,,,,,,25 Mar 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-141276984,Grays Point,NSW,2232,126a Grays Point Road,"126a Grays Point Road, Grays Point, NSW 2232",1530000,"$1,530,000",house,3,2,2,,,-1.0,,BWZQTE,Highland - Sutherland Shire & St George,,,09 Feb 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-140765983,Grays Point,NSW,2232,261 North West Arm Road,"261 North West Arm Road, Grays Point, NSW 2232",1420000,"$1,420,000",house,3,1,3,,,809.0,m²,UWIGMI,Highland - Sutherland,,,06 Dec 2022,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-137742842,Grays Point,NSW,2232,218 North West Arm Road,"218 North West Arm Road, Grays Point, NSW 2232",2180000,"$2,180,000",house,3,2,3,,,878.0,m²,WUGANK,McDonald Partners,,,27 Jan 2022,house,,878.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-137893030,Grays Point,NSW,2232,3 Budyan Road,"3 Budyan Road, Grays Point, NSW 2232",1690000,"$1,690,000",house,3,2,2,,,600.0,m²,ELDSYL,Elders Real Estate - Sylvania,,,23 Dec 2021,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-137559126,Grays Point,NSW,2232,92 Angle Road,"92 Angle Road, Grays Point, NSW 2232",1635000,"$1,635,000",house,3,2,6,,,-1.0,,RPKRUK,Ausrealty,,,28 Oct 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-136859346,Grays Point,NSW,2232,9 Swallow Rock Drive,"9 Swallow Rock Drive, Grays Point, NSW 2232",1400000,"$1,400,000",house,3,2,2,,,569.1,m²,XCEMEN,Century 21 - Realty One,,,05 Aug 2021,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-135490410,Grays Point,NSW,2232,29 Moyran Parade,"29 Moyran Parade, Grays Point, NSW 2232",1610000,"$1,610,000",house,3,2,2,,,910.5,m²,HQCZFU,Katrina Wright - Property Excellence,,,13 Mar 2021,house,,910.5
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-134778426,Grays Point,NSW,2232,140 North West Arm Road,"140 North West Arm Road, Grays Point, NSW 2232",1140000,"$1,140,000",house,3,2,3,,,588.0,m²,WUGANK,McDonald Partners,,,03 Nov 2020,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-132983630,Grays Point,NSW,2232,15 Plover Street,"15 Plover Street, Grays Point, NSW 2232",1195088,"$1,195,088",house,3,1,2,,,-1.0,,CHRCRO,Chris Burke & Co - Cronulla,,,21 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-134278670,Grays Point,NSW,2232,46B Warren Avenue,"46B Warren Avenue, Grays Point, NSW 2232",1020000,"$1,020,000",house,3,1,2,,,640.0,m²,RIJMIR,Shire Living Property - Kirrawee,,,24 Sep 2020,house,,640.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-133146866,Grays Point,NSW,2232,136 North West Arm Road,"136 North West Arm Road, Grays Point, NSW 2232",1020000,"$1,020,000",house,3,1,3,,,562.0,m²,XFNJAN,Sanders Property Agents -   ,,,11 Mar 2020,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-132532278,Grays Point,NSW,2232,94 Grays Point Road,"94 Grays Point Road, Grays Point, NSW 2232",1290000,"$1,290,000",house,3,2,1,,,1015.0,m²,UWIGMI,Highland - Sutherland,,,18 Dec 2019,house,,1015.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-132270882,Grays Point,NSW,2232,45 Budyan Road,"45 Budyan Road, Grays Point, NSW 2232",1025000,"$1,025,000",house,3,1,1,,,1018.0,m²,WUGANK,McDonald Partners,,,11 Nov 2019,house,,1018.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-132097210,Grays Point,NSW,2232,14 Pilbara Place,"14 Pilbara Place, Grays Point, NSW 2232",1083500,"$1,083,500",house,3,2,2,,,720.2,m²,BDLNNK,The Property Co. Group - CARINGBAH,,,29 Oct 2019,house,,720.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-132252014,Grays Point,NSW,2232,21 Hovea Place,"21 Hovea Place, Grays Point, NSW 2232",1100000,"$1,100,000",house,3,2,2,,,660.0,m²,WUGANK,McDonald Partners,,,25 Oct 2019,house,,660.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-131753342,Grays Point,NSW,2232,261 North West Arm Road,"261 North West Arm Road, Grays Point, NSW 2232",1200000,"$1,200,000",house,3,1,3,,,809.0,m²,SBENIM,Ray White Sutherland Shire - Sylvania,,,29 Aug 2019,house,,809.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-131197310,Grays Point,NSW,2232,11 Mansion Point Road,"11 Mansion Point Road, Grays Point, NSW 2232",1060000,"$1,060,000",house,3,2,4,,,878.0,m²,XCEGYN,JRE Property,,,06 Jun 2019,house,,878.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-130267706,Grays Point,NSW,2232,171 North West Arm Road,"171 North West Arm Road, Grays Point, NSW 2232",975000,"$975,000",house,3,1,2,,,727.2,m²,PBZQZT,Stone - Gymea,,,08 May 2019,house,,727.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-128605190,Grays Point,NSW,2232,3 Ibis Place,"3 Ibis Place, Grays Point, NSW 2232",1175000,"$1,175,000",house,3,2,2,,,-1.0,,UWIGMI,Highland - Sutherland,,,21 Sep 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-128715354,Grays Point,NSW,2232,258 North West Arm Rd,"258 North West Arm Rd, Grays Point, NSW 2232",970000,"$970,000",house,3,1,3,,,588.0,m²,WUGANK,McDonald Partners,,,07 Sep 2018,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-128751362,Grays Point,NSW,2232,1 Noyana Avenue,"1 Noyana Avenue, Grays Point, NSW 2232",1050000,"$1,050,000",house,3,1,1,,,758.0,m²,WUGANK,McDonald Partners,,,24 Aug 2018,house,,758.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-128197938,Grays Point,NSW,2232,187 North West Arm Road,"187 North West Arm Road, Grays Point, NSW 2232",865000,"$865,000",house,3,1,3,,,-1.0,,WUGANK,McDonald Partners,,,13 Aug 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-128627726,Grays Point,NSW,2232,6 Goldfinch Place,"6 Goldfinch Place, Grays Point, NSW 2232",2200000,"$2,200,000",house,3,1,4,,,797.0,m²,HPTSAN,Honer Dodd Realty - Sans Souci,,,24 Jul 2018,house,,797.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-127347998,Grays Point,NSW,2232,105 Peninsular Road,"105 Peninsular Road, Grays Point, NSW 2232",1060000,"$1,060,000",house,3,2,1,,,784.1,m²,XCEGYN,JRE Property,,,14 Mar 2018,house,,784.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-126613610,Grays Point,NSW,2232,33 Emerald Place,"33 Emerald Place, Grays Point, NSW 2232",1185000,"$1,185,000",house,3,1,3,575,m²,-1.0,,TTXRBO,Century 21 Adamson's The Property People -   ,,,20 Oct 2017,house,575,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-124969966,Grays Point,NSW,2232,14 Noyana Avenue,"14 Noyana Avenue, Grays Point, NSW 2232",1242000,"$1,242,000",house,3,2,1,,,637.0,m²,EMRLGJ,Hill & Viteri Property - Sutherland,,,03 Apr 2017,house,,637.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-124719226,Grays Point,NSW,2232,158 Grays Point Rd,"158 Grays Point Rd, Grays Point, NSW 2232",1180000,"$1,180,000",house,3,2,3,,,-1.0,,PBZQZT,Stone - Gymea,,,03 Mar 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-124130830,Grays Point,NSW,2232,92 Peninsular Road,"92 Peninsular Road, Grays Point, NSW 2232",1275000,"$1,275,000",house,3,2,2,,,675.0,m²,WUGANK,McDonald Partners,,,02 Dec 2016,house,,675.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-121937482,Grays Point,NSW,2232,5 Pilbara Place,"5 Pilbara Place, Grays Point, NSW 2232",815500,"$815,500",house,3,1,2,,,1361.0,m²,CWLBWW,Sutherland Shire Property Agents,,,30 Mar 2016,house,,1361.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-124511346,Grays Point,NSW,2232,171 North West Arm Road,"171 North West Arm Road, Grays Point, NSW 2232",1100000,"$1,100,000",house,3,1,2,,,714.0,m²,,,,,10 Feb 2017,house,,714.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-123812278,Grays Point,NSW,2232,49 Moyran Parade,"49 Moyran Parade, Grays Point, NSW 2232",1065000,"$1,065,000",house,3,2,2,,,942.2,m²,GYBNME,Cronulla Real Estate - Cronulla,,,21 Oct 2016,house,,942.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-123456286,Grays Point,NSW,2232,7 Swallow Rock Drive,"7 Swallow Rock Drive, Grays Point, NSW 2232",1130000,"$1,130,000",house,3,2,1,,,-1.0,,,,,,26 Sep 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-120844133,Grays Point,NSW,2232,50 Kingfisher Crescent,"50 Kingfisher Crescent, Grays Point, NSW 2232",2050000,"$2,050,000",house,3,2,3,,,-1.0,,,,,,30 Oct 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grays+point-121046230,Grays Point,NSW,2232,10 Budyan Road,"10 Budyan Road, Grays Point, NSW 2232",1235000,"$1,235,000",house,3,2,3,,,-1.0,,,,,,30 Oct 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-grays+point-120334817,Grays Point,NSW,2232,2/52 Budyan Road,"2/52 Budyan Road, Grays Point, NSW 2232",855000,"$855,000",duplex-semi-detached,3,2,1,,,394.5,m²,WUGANK,McDonald Partners,,,18 Aug 2015,house,,394.5
