badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-134889930,Green Valley,NSW,2168,38 Bernier Way,"38 Bernier Way, Green Valley, NSW 2168",558000,"$558,000",house,1,1,1,,,397.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,12 Dec 2020,house,,397.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-green+valley-106563149,Green Valley,NSW,2168,,,645000,"Range: $550,000 - $645,000",acreage,1,1,0,,,-1.0,,XLSFAJ,Laing+Simmons - Fairfield,,,09 May 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-128831646,Green Valley,NSW,2168,194-196 North Liverpool Road,"194-196 North Liverpool Road, Green Valley, NSW 2168",800000,"$800,000",house,2,1,0,,,831.0,m²,XRWGRC,Ray White - Green Valley,,,29 Oct 2018,house,,831.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-114286659,Green Valley,NSW,2168,,,,Contact agent,house,2,1,1,,,563.0,m²,VUDYDN,Goldstar Realty & Commercial - Fairfield,,,30 Oct 2013,house,,563.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-106442990,Green Valley,NSW,2168,24 Rundle Rd,"24 Rundle Rd, Green Valley, NSW 2168",335000,"$335,000",house,2,1,2,,,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,01 May 2010,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-106055083,Green Valley,NSW,2168,188 Green Valley Rd,"188 Green Valley Rd, Green Valley, NSW 2168",347500,"$347,500",house,2,1,1,,,-1.0,,XRHCAF,Raine & Horne - Cabramatta,,,31 Oct 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-104869033,Green Valley,NSW,2168,239A Green Valley Road,"239A Green Valley Road, Green Valley, NSW 2168",290000,"Range: $245,000 - $290,000",house,2,2,1,,,280.0,m²,JQALIV,John Williams Real Estate - Liverpool,,,29 May 2008,house,,280.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-141688760,Green Valley,NSW,2168,40 Rodeo Drive,"40 Rodeo Drive, Green Valley, NSW 2168",920000,"$920,000",house,3,2,1,216,m²,303.0,m²,DQXBYP,Cardem Property Group - HARRINGTON PARK,,,15 Apr 2023,house,216,303.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-141407292,Green Valley,NSW,2168,1 Baringa Close,"1 Baringa Close, Green Valley, NSW 2168",1270000,"$1,270,000",house,3,2,2,,,651.0,m²,HFOROI,GIA Realty - BONNYRIGG,,,12 Apr 2023,house,,651.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-141687856,Green Valley,NSW,2168,8B Stella Drive,"8B Stella Drive, Green Valley, NSW 2168",850000,"$850,000",house,3,2,1,,,306.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,12 Apr 2023,house,,306.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-141702828,Green Valley,NSW,2168,3/10-12 Peacock Close,"3/10-12 Peacock Close, Green Valley, NSW 2168",690000,"$690,000",house,3,2,1,,,-1.0,,XRWGRC,Ray White - Green Valley,,,27 Mar 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-green+valley-141633592,Green Valley,NSW,2168,19 Magpie Road,"19 Magpie Road, Green Valley, NSW 2168",838000,"$838,000",house,3,2,1,,,412.0,m²,XRWGRC,Ray White - Green Valley,,,25 Mar 2023,house,,412.0
