badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-warehouse-nsw-greenacre-110738945,Greenacre,NSW,2190,16 Beresford Avenue,"16 Beresford Avenue, Greenacre, NSW 2190",552500,"$552,500",warehouse,0,1,2,,,490.0,m²,XFNLAE,Ralph First Real Estate - The Ralph Team,,,07 Jul 2012,house,,490.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-136061310,Greenacre,NSW,2190,283 Noble Avenue,"283 Noble Avenue, Greenacre, NSW 2190",1235000,"$1,235,000",house,1,1,0,,,612.0,m²,WPPBXN,Professionals - Greenacre,,,08 May 2021,house,,612.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-133172814,Greenacre,NSW,2190,255 ROBERTS Road,"255 ROBERTS Road, Greenacre, NSW 2190",700000,"$700,000",house,1,1,1,,,689.0,m²,QIJQHP,McGrath - Canterbury-Bankstown,,,01 Jul 2020,house,,689.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-107413209,Greenacre,NSW,2190,,,,Contact agent,house,1,2,1,,,-1.0,,,,,,01 Jun 2004,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-141477120,Greenacre,NSW,2190,9 Juno Parade,"9 Juno Parade, Greenacre, NSW 2190",980000,"$980,000",house,2,1,2,,,562.15,m²,ETKSSE,Pace Property Agents - GREENACRE,,,17 Apr 2023,house,,562.15
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-141528140,Greenacre,NSW,2190,210 Old Kent Road,"210 Old Kent Road, Greenacre, NSW 2190",901000,"$901,000",house,2,1,0,,,569.1,m²,ABCBAP,Ray White - Bankstown,,,18 Mar 2023,house,,569.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-141239984,Greenacre,NSW,2190,16 Welch Avenue,"16 Welch Avenue, Greenacre, NSW 2190",822000,"$822,000",house,2,1,2,,,480.0,m²,ABCBAP,Ray White - Bankstown,,,11 Feb 2023,house,,480.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-140813039,Greenacre,NSW,2190,50 Chaseling Street,"50 Chaseling Street, Greenacre, NSW 2190",1612000,"$1,612,000",house,2,1,1,,,885.0,m²,WTNBAN,W.T. Newey & Company Pty Ltd - BANKSTOWN,,,03 Dec 2022,house,,885.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-140433511,Greenacre,NSW,2190,91  Northcote Road,"91  Northcote Road, Greenacre, NSW 2190",1015000,"$1,015,000",house,2,1,1,,,550.0,m²,WPPBXN,Professionals - Greenacre,,,30 Sep 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-139110855,Greenacre,NSW,2190,15 O'Donnell Avenue,"15 O'Donnell Avenue, Greenacre, NSW 2190",1603500,"$1,603,500",house,2,1,1,,,720.8,m²,WTNBAN,W.T. Newey & Company Pty Ltd - BANKSTOWN,,,07 May 2022,house,,720.8
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-138992455,Greenacre,NSW,2190,44 Wilbur Street,"44 Wilbur Street, Greenacre, NSW 2190",1000000,"$1,000,000",house,2,1,2,,,461.6,m²,ETKSSE,Pace Property Agents - GREENACRE,,,06 May 2022,house,,461.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-138703695,Greenacre,NSW,2190,200 Wilbur Street,"200 Wilbur Street, Greenacre, NSW 2190",1220000,"$1,220,000",house,2,1,2,,,-1.0,,,,,,02 Apr 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-138554655,Greenacre,NSW,2190,19 Gosling Street,"19 Gosling Street, Greenacre, NSW 2190",1301000,"$1,301,000",house,2,2,1,,,663.9,m²,WPPBXN,Professionals - Greenacre,,,12 Mar 2022,house,,663.9
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-136765410,Greenacre,NSW,2190,98 Wilbur Street,"98 Wilbur Street, Greenacre, NSW 2190",1230000,"$1,230,000",house,2,1,2,,,543.7,m²,ETKSSE,Pace Property Agents - GREENACRE,,,07 Aug 2021,house,,543.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenacre-136547222,Greenacre,NSW,2190,145 Wilbur Street,"145 Wilbur Street, Greenacre, NSW 2190",1400000,"$1,400,000",house,2,1,1,,,613.11,m²,ETKSSE,Pace Property Agents - GREENACRE,,,09 Jul 2021,house,,613.11
