badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-107218405,Greenfield Park,NSW,2176,11/59-61 Devenish Street,"11/59-61 Devenish Street, Greenfield Park, NSW 2176",305000,"$305,000",house,2,1,1,,,-1.0,,,,,,22 Apr 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-141819808,Greenfield Park,NSW,2176,5A Apollo Street,"5A Apollo Street, Greenfield Park, NSW 2176",845000,"$845,000",house,3,1,1,,,237.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,29 Apr 2023,house,,237.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-141682812,Greenfield Park,NSW,2176,30 Mohawk Crescent,"30 Mohawk Crescent, Greenfield Park, NSW 2176",1142000,"$1,142,000",house,3,2,2,,,620.0,m²,XCEBOS,Century 21 - The Parks Realty,,,01 Apr 2023,house,,620.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-141455384,Greenfield Park,NSW,2176,12 Raphael Street,"12 Raphael Street, Greenfield Park, NSW 2176",1004000,"$1,004,000",house,3,1,2,,,550.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,11 Mar 2023,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-140961288,Greenfield Park,NSW,2176,25 Natchez Crescent,"25 Natchez Crescent, Greenfield Park, NSW 2176",1173000,"$1,173,000",house,3,2,2,,,-1.0,,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,17 Dec 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-140358539,Greenfield Park,NSW,2176,12 Cherokee Avenue,"12 Cherokee Avenue, Greenfield Park, NSW 2176",960000,"$960,000",house,3,1,1,,,662.0,m²,XCEBOS,Century 21 - The Parks Realty,,,08 Oct 2022,house,,662.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-140262723,Greenfield Park,NSW,2176,55 Cherokee Avenue,"55 Cherokee Avenue, Greenfield Park, NSW 2176",920500,"$920,500",house,3,1,1,,,558.0,m²,XCEBOS,Century 21 - The Parks Realty,,,24 Sep 2022,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-140246567,Greenfield Park,NSW,2176,33 Shawnee St,"33 Shawnee St, Greenfield Park, NSW 2176",931000,"$931,000",house,3,1,1,,,582.0,m²,BECKAI,LJ Hooker - Cabramatta  ,,,17 Sep 2022,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-139852975,Greenfield Park,NSW,2176,22 Blacksmith Street,"22 Blacksmith Street, Greenfield Park, NSW 2176",970000,"$970,000",house,3,2,4,,,627.2,m²,NAXXFT,McGrath Estate Agents - Liverpool,,,24 Aug 2022,house,,627.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-139514599,Greenfield Park,NSW,2176,21 Cree Cr,"21 Cree Cr, Greenfield Park, NSW 2176",935000,"$935,000",house,3,1,2,,,585.0,m²,PXVEDE,LJ Hooker - EDENSOR PARK,,,07 Jul 2022,house,,585.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-139424207,Greenfield Park,NSW,2176,264 Mimosa Road,"264 Mimosa Road, Greenfield Park, NSW 2176",930000,"$930,000",house,3,1,1,,,557.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,07 Jun 2022,house,,557.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-139162419,Greenfield Park,NSW,2176,12 Mistral Street,"12 Mistral Street, Greenfield Park, NSW 2176",960000,"$960,000",house,3,1,1,,,550.0,m²,XCEBOS,Century 21 - The Parks Realty,,,20 May 2022,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-139064699,Greenfield Park,NSW,2176,14 Cherokee Ave,"14 Cherokee Ave, Greenfield Park, NSW 2176",1135000,"$1,135,000",house,3,1,1,,,708.0,m²,PGGREK,Ray White - Canley Heights,,,09 May 2022,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-138744203,Greenfield Park,NSW,2176,33 Ryder Road,"33 Ryder Road, Greenfield Park, NSW 2176",1050000,"$1,050,000",house,3,1,1,,,559.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,23 Mar 2022,house,,559.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-138061170,Greenfield Park,NSW,2176,27 Cree Crescent,"27 Cree Crescent, Greenfield Park, NSW 2176",998000,"$998,000",house,3,2,5,,,596.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,20 Dec 2021,house,,596.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-137558678,Greenfield Park,NSW,2176,3 Natchez Crescent,"3 Natchez Crescent, Greenfield Park, NSW 2176",967000,"$967,000",house,3,1,1,,,565.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,13 Nov 2021,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-137148162,Greenfield Park,NSW,2176,14/30 Devenish Street,"14/30 Devenish Street, Greenfield Park, NSW 2176",777500,"$777,500",house,3,1,1,,,-1.0,,ETMHFJ,Blaze Real Estate - Wetherill Park,,,29 Sep 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-136777754,Greenfield Park,NSW,2176,284 Mimosa Road,"284 Mimosa Road, Greenfield Park, NSW 2176",900000,"$900,000",house,3,1,2,,,561.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,29 Jul 2021,house,,561.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-135933790,Greenfield Park,NSW,2176,11 Shawnee Street,"11 Shawnee Street, Greenfield Park, NSW 2176",945000,"$945,000",house,3,1,2,,,550.0,m²,PDRFTJ,Vacci Estate Agents - KOGARAH,,,24 Apr 2021,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-135475026,Greenfield Park,NSW,2176,4 Moonbi Close,"4 Moonbi Close, Greenfield Park, NSW 2176",842000,"$842,000",house,3,1,1,,,560.0,m²,PMCTLJ,Marando Real Estate South West - South West,,,15 Feb 2021,house,,560.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-134777574,Greenfield Park,NSW,2176,4/30 Devenish Street,"4/30 Devenish Street, Greenfield Park, NSW 2176",600000,"$600,000",house,3,1,1,,,301.0,m²,VYEKEU,"United Realty - Acreage, Residential, Prestige ",,,20 Nov 2020,house,,301.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-134600226,Greenfield Park,NSW,2176,18 Jasnar Street,"18 Jasnar Street, Greenfield Park, NSW 2176",765000,"$765,000",house,3,1,1,,,558.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,07 Nov 2020,house,,558.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-134397714,Greenfield Park,NSW,2176,41 Arrowhead Road,"41 Arrowhead Road, Greenfield Park, NSW 2176",810000,"$810,000",house,3,2,1,,,582.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,10 Oct 2020,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-133614254,Greenfield Park,NSW,2176,41 Arrowhead Road,"41 Arrowhead Road, Greenfield Park, NSW 2176",825000,"$825,000",house,3,2,1,,,582.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,13 Jun 2020,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-133496502,Greenfield Park,NSW,2176,11 Miami Close,"11 Miami Close, Greenfield Park, NSW 2176",800000,"$800,000",house,3,1,1,,,601.0,m²,ETMHFJ,Blaze Real Estate - Wetherill Park,,,08 May 2020,house,,601.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-132302454,Greenfield Park,NSW,2176,9 Hoyle Place,"9 Hoyle Place, Greenfield Park, NSW 2176",691000,"$691,000",house,3,1,1,,,559.0,m²,PXVEDE,LJ Hooker - EDENSOR PARK,,,16 Nov 2019,house,,559.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-131945438,Greenfield Park,NSW,2176,6/59-61 Devenish Street,"6/59-61 Devenish Street, Greenfield Park, NSW 2176",500000,"$500,000",house,3,1,1,,,-1.0,,XCEBOS,Century 21 - The Parks Realty,,,18 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-131031230,Greenfield Park,NSW,2176,12 Cheyenne Road,"12 Cheyenne Road, Greenfield Park, NSW 2176",671000,"$671,000",house,3,1,2,,,550.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,18 May 2019,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-130863938,Greenfield Park,NSW,2176,20 Raphael Street,"20 Raphael Street, Greenfield Park, NSW 2176",640000,"$640,000",house,3,1,2,,,550.0,m²,,,,,30 Apr 2019,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenfield+park-129671310,Greenfield Park,NSW,2176,9 Arrowhead Road,"9 Arrowhead Road, Greenfield Park, NSW 2176",750000,"$750,000",house,3,1,1,,,550.0,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,17 Nov 2018,house,,550.0
