badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-104427192,Greenwich,NSW,2065,"2-7,33 Greenwich Road","2-7,33 Greenwich Road, Greenwich, NSW 2065",,Contact agent,house,0,1,0,,,-1.0,,YEEAMO,Belle Property - Lane Cove,,,16 Jul 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-greenwich-131858942,Greenwich,NSW,2065,88 River Road,"88 River Road, Greenwich, NSW 2065",,Contact agent,residential-other,1,1,1,,,667.0,m²,HMQCWU,Raine & Horne - Lower North Shore,,,28 Sep 2019,house,,667.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-132466574,Greenwich,NSW,2065,1A Ronald Avenue,"1A Ronald Avenue, Greenwich, NSW 2065",1560000,"$1,560,000",house,2,1,2,,,389.6,m²,ABCMOS,Ray White - Lower North Shore Group,,,29 Nov 2019,house,,389.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-129146382,Greenwich,NSW,2065,13 Gore Street,"13 Gore Street, Greenwich, NSW 2065",1675000,"$1,675,000",house,2,1,2,,,493.0,m²,BLULAN,Blunts Real Estate - Lane Cove,,,22 Sep 2018,house,,493.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-greenwich-125168674,Greenwich,NSW,2065,12 Greenwich Road,"12 Greenwich Road, Greenwich, NSW 2065",1515000,"$1,515,000",duplex-semi-detached,2,1,0,,,-1.0,,,,,,29 Apr 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-121753398,Greenwich,NSW,2065,35 Vista Street,"35 Vista Street, Greenwich, NSW 2065",3420000,"$3,420,000",house,2,1,0,,,-1.0,,SYSIIL,DiJones - Northern Suburbs,,,20 Feb 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-119990237,Greenwich,NSW,2065,6 Greenwich Road,"6 Greenwich Road, Greenwich, NSW 2065",1650000,"$1,650,000",house,2,1,1,,,444.0,m²,QWIJYQ,Burwood Partners Real Estate Agents - Burwood,,,27 Jun 2015,house,,444.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-119244615,Greenwich,NSW,2065,1 Ulonga Avenue,"1 Ulonga Avenue, Greenwich, NSW 2065",1370000,"$1,370,000",house,2,1,0,,,-1.0,,FFYBBK,Stone Real Estate - Greenwich,,,28 Mar 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-115174047,Greenwich,NSW,2065,19 Chisholm Street,"19 Chisholm Street, Greenwich, NSW 2065",1120000,"$1,120,000",house,2,1,0,,,206.0,m²,,,,,09 Nov 2013,house,,206.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-113366871,Greenwich,NSW,2065,41 Kingslangley Road,"41 Kingslangley Road, Greenwich, NSW 2065",1750000,"$1,750,000",house,2,2,2,,,-1.0,,,,,,11 Apr 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-112967175,Greenwich,NSW,2065,7 Wilona Avenue,"7 Wilona Avenue, Greenwich, NSW 2065",1300000,"$1,300,000",house,2,1,1,,,-1.0,,YEEAMO,Belle Property - Lane Cove,,,08 Mar 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-greenwich-111243335,Greenwich,NSW,2065,16 Osborne Road,"16 Osborne Road, Greenwich, NSW 2065",1085000,"$1,085,000",house,2,2,3,,,-1.0,,XLJLAO,LJ Hooker - Lane Cove  ,,,08 Sep 2012,house,,-1.0
