badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-116286315,Grose Vale,NSW,2753,"Lot 2, 591 Grose Vale Road","Lot 2, 591 Grose Vale Road, Grose Vale, NSW 2753",515000,"$515,000",acreage,0,1,0,,,6.47,ha,ZFYLXU,VIBE Property - Richmond,,,25 Jul 2014,house,,64700.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-105151184,Grose Vale,NSW,2753,,,385000,"$385,000",house,1,1,2,,,3200.0,m²,BFERIC,Bennett Property - Richmond,,,28 Mar 2009,house,,3200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-105695585,Grose Vale,NSW,2753,659 Grose Vale Rd,"659 Grose Vale Rd, Grose Vale, NSW 2753",,Contact agent,house,1,1,0,,,1000.0,m²,XRWXMT,First National Connect,,,27 May 2009,house,,1000.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-103337975,Grose Vale,NSW,2753,,,745000,"$745,000",acreage,1,1,0,,,5.91,ha,XRWKUR,Ray White - Kurrajong,,,27 Jun 2008,house,,59100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-134213778,Grose Vale,NSW,2753,67A Ginahgullah Avenue,"67A Ginahgullah Avenue, Grose Vale, NSW 2753",1395000,"$1,395,000",acreage,2,1,3,,,4.05,ha,ZFYLXU,VIBE Property - Richmond,,,05 Feb 2021,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-133324346,Grose Vale,NSW,2753,,,1225000,"$1,225,000",house,2,1,5,,,1.01,ha,XRWNOF,Ray White - North Richmond,,,10 Aug 2020,house,,10100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-133288386,Grose Vale,NSW,2753,774 Grose Vale Road,"774 Grose Vale Road, Grose Vale, NSW 2753",650000,"$650,000",house,2,1,1,,,2023.4,m²,XRWNOF,Ray White - North Richmond,,,04 Jun 2020,house,,2023.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-131384810,Grose Vale,NSW,2753,67a Ginahgullah Avenue,"67a Ginahgullah Avenue, Grose Vale, NSW 2753",1130000,"$1,130,000",house,2,1,2,,,4.21,ha,XRWNEU,The Agency - North,,,20 Jul 2019,house,,42100.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-123836526,Grose Vale,NSW,2753,746 Grose Vale Road,"746 Grose Vale Road, Grose Vale, NSW 2753",1250000,"$1,250,000",acreage,2,1,2,,,2.91,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,24 Nov 2016,house,,29100.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-107353198,Grose Vale,NSW,2753,679 Grose Vale Road,"679 Grose Vale Road, Grose Vale, NSW 2753",605000,"$605,000",house,2,2,0,,,-1.0,,BFERIC,Bennett Property - Richmond,,,01 Mar 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-107348352,Grose Vale,NSW,2753,,,775000,"$775,000",house,2,1,1,,,-1.0,,BFERIC,Bennett Property - Richmond,,,21 Jun 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-105318704,Grose Vale,NSW,2753,,,580000,"$580,000",house,2,1,0,,,-1.0,,BFERIC,Bennett Property - Richmond,,,12 Nov 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-140661471,Grose Vale,NSW,2753,31 Westbury Road,"31 Westbury Road, Grose Vale, NSW 2753",1100000,"$1,100,000",house,3,1,2,,,3343.0,m²,XRWKUR,Ray White - Kurrajong,,,30 Nov 2022,house,,3343.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-138828355,Grose Vale,NSW,2753,537 Grose Vale Road,"537 Grose Vale Road, Grose Vale, NSW 2753",1110000,"$1,110,000",acreage,3,1,7,,,4046.86,m²,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,26 Jul 2022,house,,4046.86
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-139269431,Grose Vale,NSW,2753,760 Grose Vale Road,"760 Grose Vale Road, Grose Vale, NSW 2753",2200000,"$2,200,000",acreage,3,3,10,,,4.05,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,02 Jun 2022,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-127827258,Grose Vale,NSW,2753,477 Grose Vale Road,"477 Grose Vale Road, Grose Vale, NSW 2753",900000,"$900,000",house,3,1,3,,,4047.0,m²,XRWNOF,Ray White - North Richmond,,,05 Mar 2021,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-134314086,Grose Vale,NSW,2753,518 Grose Vale Road,"518 Grose Vale Road, Grose Vale, NSW 2753",1225000,"$1,225,000",acreage,3,2,1,,,-1.0,,XRWNOF,Ray White - North Richmond,,,06 Nov 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-132927742,Grose Vale,NSW,2753,405 Grose Vale Road,"405 Grose Vale Road, Grose Vale, NSW 2753",650000,"$650,000",house,3,1,2,,,1005.0,m²,XRWNOF,Ray White - North Richmond,,,18 Mar 2020,house,,1005.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-130073910,Grose Vale,NSW,2753,655 Grose Vale Road,"655 Grose Vale Road, Grose Vale, NSW 2753",620000,"$620,000",house,3,1,2,,,2047.0,m²,XNRUVE,Belle Property Hawkesbury - NORTH RICHMOND,,,09 Aug 2019,house,,2047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-129449530,Grose Vale,NSW,2753,568 Grose Vale Road,"568 Grose Vale Road, Grose Vale, NSW 2753",775000,"$775,000",house,3,2,3,,,4451.54,m²,WVYSSK,Hall & Co - Hawkesbury,,,22 Feb 2019,house,,4451.54
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-129371798,Grose Vale,NSW,2753,362 Bells Road,"362 Bells Road, Grose Vale, NSW 2753",975000,"$975,000",house,3,2,17,,,4.0,ha,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,11 Dec 2018,house,,40000.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-126089638,Grose Vale,NSW,2753,159 Carters Road,"159 Carters Road, Grose Vale, NSW 2753",1050000,"$1,050,000",house,3,2,4,,,4047.0,m²,XRWNEU,The Agency - North,,,25 Oct 2017,house,,4047.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-125577786,Grose Vale,NSW,2753,489 Grose Vale Road,"489 Grose Vale Road, Grose Vale, NSW 2753",1550000,"$1,550,000",house,3,1,4,,,7.02,ha,XRWKUR,Ray White - Kurrajong,,,20 Jul 2017,house,,70200.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-123254546,Grose Vale,NSW,2753,31 Westbury Road,"31 Westbury Road, Grose Vale, NSW 2753",855000,"$855,000",house,3,1,2,,,3334.0,m²,BFERIC,Bennett Property - Richmond,,,06 Sep 2016,house,,3334.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-grose+vale-121072138,Grose Vale,NSW,2753,77A Bells Road,"77A Bells Road, Grose Vale, NSW 2753",970000,"$970,000",house,3,2,1,,,4.05,ha,BFERIC,Bennett Property - Richmond,,,07 Nov 2015,house,,40500.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-120340817,Grose Vale,NSW,2753,646 Grose Vale Road,"646 Grose Vale Road, Grose Vale, NSW 2753",1325000,"$1,325,000",acreage,3,2,2,,,3.56,ha,ZFYLXU,VIBE Property - Richmond,,,30 Sep 2015,house,,35600.0
Sold,https://www.realestate.com.au/sold/property-acreage+semi-rural-nsw-grose+vale-122147934,Grose Vale,NSW,2753,778 Grose Vale Road,"778 Grose Vale Road, Grose Vale, NSW 2753",785000,"$785,000",acreage,3,1,1,,,3358.0,m²,CUTMCH,Cutcliffe Properties - DURAL | NTH RICHMOND | MULGRAVE,,,31 Mar 2016,house,,3358.0
