badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-128404906,Gymea Bay,NSW,2227,172 Ellesmere Road,"172 Ellesmere Road, Gymea Bay, NSW 2227",1600000,"$1,600,000",house,1,1,1,,,1352.0,m²,XLJSAO,McGrath - Sans Souci,,,09 May 2018,house,,1352.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-111556099,Gymea Bay,NSW,2227,,,1300000,"$1,300,000",house,1,1,0,,,1352.0,m²,BWZQTE,Highland - Sutherland Shire & St George,,,01 Mar 2013,house,,1352.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-108596961,Gymea Bay,NSW,2227,23 Valley Way,"23 Valley Way, Gymea Bay, NSW 2227",413000,"$413,000",house,1,1,0,,,-1.0,,SBENIM,Ray White Sutherland Shire - Sylvania,,,29 Nov 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-108262081,Gymea Bay,NSW,2227,147 Ellesmere Road,"147 Ellesmere Road, Gymea Bay, NSW 2227",,Contact agent,house,1,1,0,,,-1.0,,,,,,22 Dec 2011,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-138819391,Gymea Bay,NSW,2227,13 Huskisson Street,"13 Huskisson Street, Gymea Bay, NSW 2227",1400000,"$1,400,000",house,2,1,0,,,588.1,m²,XCEGYN,JRE Property,,,01 Apr 2022,house,,588.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-134486830,Gymea Bay,NSW,2227,16 Alkaringa Rd,"16 Alkaringa Rd, Gymea Bay, NSW 2227",1080000,"$1,080,000",house,2,1,1,,,575.4,m²,XCEGYN,JRE Property,,,24 Oct 2020,house,,575.4
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-133092886,Gymea Bay,NSW,2227,3 June Place,"3 June Place, Gymea Bay, NSW 2227",1200000,"$1,200,000",house,2,1,3,,,803.0,m²,UWIGMI,Highland - Sutherland,,,07 May 2020,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-132577206,Gymea Bay,NSW,2227,8 June Place,"8 June Place, Gymea Bay, NSW 2227",1510000,"$1,510,000",house,2,1,2,,,803.0,m²,XMHCRO,McGrath Sutherland Shire - Cronulla,,,18 Dec 2019,house,,803.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-131564982,Gymea Bay,NSW,2227,93 Coonong Road,"93 Coonong Road, Gymea Bay, NSW 2227",1307000,"$1,307,000",house,2,1,1,,,-1.0,,PBZQZT,Stone - Gymea,,,10 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea+bay-129548430,Gymea Bay,NSW,2227,27 Horns Avenue,"27 Horns Avenue, Gymea Bay, NSW 2227",975000,"$975,000",house,2,1,1,,,-1.0,,XNFSYL,McGrath Sutherland Shire - Sylvania,,,20 Feb 2019,house,,-1.0
