badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-105736062,Gymea,NSW,2227,87 Chapman Street,"87 Chapman Street, Gymea, NSW 2227",568000,"$568,000",house,1,1,1,,,-1.0,,XCEGYN,JRE Property,,,30 May 2009,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-other-nsw-gymea-105065731,Gymea,NSW,2227,372-376 President Ave,"372-376 President Ave, Gymea, NSW 2227",775000,"Range: $665,000 - $775,000",residential-other,1,1,0,,,-1.0,,,,,,28 Aug 2008,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-140439919,Gymea,NSW,2227,87B Talara Road,"87B Talara Road, Gymea, NSW 2227",1231000,"$1,231,000",house,2,1,1,,,297.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,15 Oct 2022,house,,297.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-139538107,Gymea,NSW,2227,22 North West Arm Road,"22 North West Arm Road, Gymea, NSW 2227",1250000,"$1,250,000",house,2,1,1,,,695.6,m²,,,,,02 Jul 2022,house,,695.6
Sold,https://www.realestate.com.au/sold/property-terrace-nsw-gymea-139087243,Gymea,NSW,2227,14/34-38 Hotham Road,"14/34-38 Hotham Road, Gymea, NSW 2227",900000,"$900,000",terrace,2,1,1,,,-1.0,,LMRQYG,Oz Combined Realty,,,04 May 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-135638438,Gymea,NSW,2227,107 Talara Road,"107 Talara Road, Gymea, NSW 2227",1100000,"$1,100,000",house,2,2,2,,,330.7,m²,TQDTIH,Pulse Property Agents - Sutherland Shire,,,19 Mar 2021,house,,330.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-128237738,Gymea,NSW,2227,71 North West Arm Road,"71 North West Arm Road, Gymea, NSW 2227",1200000,"$1,200,000",house,2,1,4,,,1347.0,m²,XCEGYN,JRE Property,,,26 Jul 2018,house,,1347.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-128018142,Gymea,NSW,2227,85 Premier Street,"85 Premier Street, Gymea, NSW 2227",1300000,"$1,300,000",house,2,1,1,,,664.0,m²,XNFSYL,McGrath Sutherland Shire - Sylvania,,,28 Apr 2018,house,,664.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-127596438,Gymea,NSW,2227,2 Talara Road,"2 Talara Road, Gymea, NSW 2227",1000000,"$1,000,000",house,2,1,2,,,569.0,m²,XFNJAN,Sanders Property Agents -   ,,,08 Mar 2018,house,,569.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-gymea-126409606,Gymea,NSW,2227,56 Chapman Street,"56 Chapman Street, Gymea, NSW 2227",840000,"$840,000",house,2,1,1,,,663.0,m²,XCEGYN,JRE Property,,,18 Oct 2017,house,,663.0
