badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-132916730,Halekulani,NSW,2262,152 Sunrise Avenue,"152 Sunrise Avenue, Halekulani, NSW 2262",385000,"$385,000",house,1,1,2,,,582.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,06 Mar 2020,house,,582.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-130400030,Halekulani,NSW,2262,2/100 Macleay Drive,"2/100 Macleay Drive, Halekulani, NSW 2262",135000,"$135,000",house,1,1,1,,,-1.0,,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,30 Aug 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-106588613,Halekulani,NSW,2262,,,147000,"$147,000",house,1,1,0,,,575.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,25 Aug 2010,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-141782800,Halekulani,NSW,2262,18 Walu Avenue,"18 Walu Avenue, Halekulani, NSW 2262",550000,"$550,000",house,2,1,1,,,556.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,13 Apr 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-137170494,Halekulani,NSW,2262,6 Huene Avenue,"6 Huene Avenue, Halekulani, NSW 2262",705000,"$705,000",house,2,1,1,,,556.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,24 Sep 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-135141962,Halekulani,NSW,2262,21 Lilo Avenue,"21 Lilo Avenue, Halekulani, NSW 2262",530000,"$530,000",house,2,2,1,,,556.0,m²,OKRIYO,McGrath Toukley - TOUKLEY,,,09 Jan 2021,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-133892922,Halekulani,NSW,2262,24 Wailele Avenue,"24 Wailele Avenue, Halekulani, NSW 2262",435000,"$435,000",house,2,2,2,,,575.0,m²,,,,,03 Aug 2020,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-133042378,Halekulani,NSW,2262,82 Sunrise Avenue,"82 Sunrise Avenue, Halekulani, NSW 2262",390000,"$390,000",house,2,1,1,,,506.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,06 May 2020,house,,506.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-130811290,Halekulani,NSW,2262,95 Delia Avenue,"95 Delia Avenue, Halekulani, NSW 2262",370000,"$370,000",house,2,1,1,,,-1.0,,OKRIYO,McGrath Toukley - TOUKLEY,,,09 May 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-129049274,Halekulani,NSW,2262,155 Delia Avenue,"155 Delia Avenue, Halekulani, NSW 2262",475000,"$475,000",house,2,2,1,,,-1.0,,OKRIYO,McGrath Toukley - TOUKLEY,,,08 Jan 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-130096854,Halekulani,NSW,2262,2 Ulana Avenue,"2 Ulana Avenue, Halekulani, NSW 2262",346000,"$346,000",house,2,1,1,,,588.0,m²,YFXTMJ,Ray White - Long Jetty,,,22 Dec 2018,house,,588.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-129294586,Halekulani,NSW,2262,102 Coonanga Avenue,"102 Coonanga Avenue, Halekulani, NSW 2262",390000,"$390,000",house,2,2,2,,,600.0,m²,XRWGOR,Ray White Thompson Partners - Gorokan,,,17 Dec 2018,house,,600.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-141618920,Halekulani,NSW,2262,31/186 Sunrise Avenue,"31/186 Sunrise Avenue, Halekulani, NSW 2262",280000,"$280,000",house,2,1,1,,,-1.0,,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,18 Apr 2023,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-139611515,Halekulani,NSW,2262,153 Delia Avenue,"153 Delia Avenue, Halekulani, NSW 2262",650000,"$650,000",house,2,1,1,,,632.3,m²,KYNMXR,@realty - National Head Office Australia,,,16 Aug 2022,house,,632.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-139337279,Halekulani,NSW,2262,2 Huene Avenue,"2 Huene Avenue, Halekulani, NSW 2262",620000,"$620,000",house,2,1,1,,,556.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,07 Jun 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-138142114,Halekulani,NSW,2262,54 Walu Avenue,"54 Walu Avenue, Halekulani, NSW 2262",638000,"$638,000",house,2,1,1,,,556.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,04 Feb 2022,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-135949782,Halekulani,NSW,2262,73 Doyle Avenue,"73 Doyle Avenue, Halekulani, NSW 2262",521000,"$521,000",house,2,1,2,,,564.0,m²,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,30 Apr 2021,house,,564.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-134436438,Halekulani,NSW,2262,105 Coonanga Avenue,"105 Coonanga Avenue, Halekulani, NSW 2262",460000,"$460,000",house,2,1,2,,,-1.0,,SHGBZJ,First National - Charmhaven ,,,14 Oct 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-133936450,Halekulani,NSW,2262,79 Sunrise Avenue,"79 Sunrise Avenue, Halekulani, NSW 2262",690000,"$690,000",house,2,1,1,,,-1.0,,XLQATQ,Wiseberry Gorokan Heritage - GOROKAN,,,18 Sep 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-133847458,Halekulani,NSW,2262,60 Walu Ave,"60 Walu Ave, Halekulani, NSW 2262",440000,"$440,000",house,2,1,3,,,562.0,m²,SHGBZJ,First National - Charmhaven ,,,13 Jul 2020,house,,562.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-133640286,Halekulani,NSW,2262,67 Sunrise Ave,"67 Sunrise Ave, Halekulani, NSW 2262",659000,"$659,000",house,2,2,3,,,613.0,m²,,,,,01 Jul 2020,house,,613.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-133031858,Halekulani,NSW,2262,88 Manoa Road,"88 Manoa Road, Halekulani, NSW 2262",383000,"$383,000",house,2,1,0,,,556.0,m²,,,,,13 Mar 2020,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-132341938,Halekulani,NSW,2262,5 Wailele Avenue,"5 Wailele Avenue, Halekulani, NSW 2262",375000,"$375,000",house,2,1,2,,,550.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,22 Nov 2019,house,,550.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-129356206,Halekulani,NSW,2262,76 Walu Avenue,"76 Walu Avenue, Halekulani, NSW 2262",360000,"$360,000",house,2,1,1,,,556.0,m²,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,14 Nov 2018,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-129436762,Halekulani,NSW,2262,117 Woolana Avenue,"117 Woolana Avenue, Halekulani, NSW 2262",429000,"$429,000",house,2,1,0,,,556.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,08 Oct 2018,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-129083754,Halekulani,NSW,2262,129 Manoa Road,"129 Manoa Road, Halekulani, NSW 2262",490000,"$490,000",house,2,2,5,,,701.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,24 Aug 2018,house,,701.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-126573878,Halekulani,NSW,2262,26 Wailele Avenue,"26 Wailele Avenue, Halekulani, NSW 2262",443000,"$443,000",house,2,1,2,,,575.0,m²,GJCGZD,Field Property Partners - Central Coast,,,18 Oct 2017,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-125801130,Halekulani,NSW,2262,123/2 Macleay Drive,"123/2 Macleay Drive, Halekulani, NSW 2262",335000,"$335,000",house,2,2,1,,,-1.0,,CAYGOR,Capital One Real Estate - Central Coast,,,12 Sep 2017,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-125283194,Halekulani,NSW,2262,10 Wailele Avenue,"10 Wailele Avenue, Halekulani, NSW 2262",380000,"$380,000",house,2,1,2,,,575.0,m²,LVVNKI,LJ Hooker - Budgewoi | Toukley,,,26 May 2017,house,,575.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-123748502,Halekulani,NSW,2262,80 Manoa  Road,"80 Manoa  Road, Halekulani, NSW 2262",360000,"$360,000",house,2,1,1,,,565.0,m²,JWYVFW,Wiseberry Gorokan Heritage Rentals - GOROKAN,,,14 Oct 2016,house,,565.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-123324610,Halekulani,NSW,2262,24 Huene  Avenue,"24 Huene  Avenue, Halekulani, NSW 2262",355000,"$355,000",house,2,2,2,,,556.0,m²,JWYVFW,Wiseberry Gorokan Heritage Rentals - GOROKAN,,,23 Aug 2016,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-122336094,Halekulani,NSW,2262,89 Laelana Avenue,"89 Laelana Avenue, Halekulani, NSW 2262",360000,"$360,000",house,2,2,1,,,556.0,m²,GJCGZD,Field Property Partners - Central Coast,,,24 Jun 2016,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-121059714,Halekulani,NSW,2262,24 Alewa Ave,"24 Alewa Ave, Halekulani, NSW 2262",360000,"$360,000",house,2,1,0,,,-1.0,,XHEGOS,Wiseberry Charmhaven - CHARMHAVEN,,,31 Aug 2015,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-halekulani-119113883,Halekulani,NSW,2262,14 Wailele Avenue,"14 Wailele Avenue, Halekulani, NSW 2262",320000,"$320,000",house,2,1,1,,,-1.0,,XRHTER,McGrath - Terrigal,,,19 Feb 2015,house,,-1.0
