badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-110638549,Hammondville,NSW,2170,81 Stewart Avenue,"81 Stewart Avenue, Hammondville, NSW 2170",,Contact agent,house,1,1,0,,,1320.0,m²,UDQEIW,Prestige Professionals - MOOREBANK,,,03 Aug 2013,house,,1320.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-138801887,Hammondville,NSW,2170,107 Stewart Avenue,"107 Stewart Avenue, Hammondville, NSW 2170",885000,"$885,000",house,2,1,1,,,624.0,m²,OXYVDM,First National Real Estate Davidson - HAMMONDVILLE,,,06 Apr 2022,house,,624.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-138602239,Hammondville,NSW,2170,4/75 Stewart Avenue,"4/75 Stewart Avenue, Hammondville, NSW 2170",660000,"$660,000",house,2,1,1,,,-1.0,,CQCFNJ,Demians Estate Agents - MOOREBANK,,,28 Feb 2022,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-136429230,Hammondville,NSW,2170,18/136-138 Heathcote Road,"18/136-138 Heathcote Road, Hammondville, NSW 2170",565000,"$565,000",house,2,1,1,,,-1.0,,HODDUV,Real Equity Estate Agents - Wattle Grove,,,05 Aug 2021,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-126773646,Hammondville,NSW,2170,1/136 Heathcote Road,"1/136 Heathcote Road, Hammondville, NSW 2170",525000,"$525,000",house,2,1,2,97,m²,185.0,m²,ZZZAEN,Century 21 Innovative Realty - Revesby,,,10 Nov 2017,house,97,185.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-125152962,Hammondville,NSW,2170,3 Pritchard Avenue,"3 Pritchard Avenue, Hammondville, NSW 2170",561000,"$561,000",house,2,1,1,,,556.0,m²,,,,,29 Apr 2017,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-122626466,Hammondville,NSW,2170,17/136-138 Heathcote Road,"17/136-138 Heathcote Road, Hammondville, NSW 2170",522000,"$522,000",house,2,1,1,,,-1.0,,UDQEIW,Prestige Professionals - MOOREBANK,,,18 May 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-125144970,Hammondville,NSW,2170,5/109 Stewart Avenue,"5/109 Stewart Avenue, Hammondville, NSW 2170",545000,"$545,000",house,2,1,1,,,171.0,m²,OXYVDM,First National Real Estate Davidson - HAMMONDVILLE,,,29 Apr 2017,house,,171.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-122618782,Hammondville,NSW,2170,79 Walder Rd,"79 Walder Rd, Hammondville, NSW 2170",691000,"$691,000",house,2,1,1,,,-1.0,,WTNBAN,W.T. Newey & Company Pty Ltd - BANKSTOWN,,,04 Jun 2016,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hammondville-122237666,Hammondville,NSW,2170,44/109 Stewart Avenue,"44/109 Stewart Avenue, Hammondville, NSW 2170",475000,"$475,000",house,2,1,1,,,-1.0,,STALIV,Benchmark National - Moorebank,,,07 Apr 2016,house,,-1.0
