badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-139959499,Hawkesbury Heights,NSW,2777,782 Hawkesbury Road,"782 Hawkesbury Road, Hawkesbury Heights, NSW 2777",730000,"$730,000",house,2,1,0,,,777.0,m²,DDSQFH,McGrath Lower Blue Mountains - BLAXLAND,,,26 Aug 2022,house,,777.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-117523991,Hawkesbury Heights,NSW,2777,782 Hawkesbury Road,"782 Hawkesbury Road, Hawkesbury Heights, NSW 2777",397000,"$397,000",house,2,1,1,,,778.0,m²,SGIKVA,PRD Blue Mountains - SPRINGWOOD,,,05 Jan 2015,house,,778.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-139621287,Hawkesbury Heights,NSW,2777,12 Yvonne Avenue,"12 Yvonne Avenue, Hawkesbury Heights, NSW 2777",865000,"$865,000",house,3,2,2,,,708.0,m²,XFNSPA,Lister Estate Agents - Springwood,,,08 Jul 2022,house,,708.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-139400995,Hawkesbury Heights,NSW,2777,17 Booker Road,"17 Booker Road, Hawkesbury Heights, NSW 2777",847989,"$847,989",house,3,1,1,,,765.0,m²,AJQDMV,Century 21 Combined - Springwood,,,14 Jun 2022,house,,765.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-138429311,Hawkesbury Heights,NSW,2777,12 Booker Road,"12 Booker Road, Hawkesbury Heights, NSW 2777",738000,"$738,000",house,3,2,2,,,720.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,04 Mar 2022,house,,720.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-138224590,Hawkesbury Heights,NSW,2777,814 Hawkesbury Road,"814 Hawkesbury Road, Hawkesbury Heights, NSW 2777",839750,"$839,750",house,3,1,0,,,763.0,m²,DDSQFH,McGrath Lower Blue Mountains - BLAXLAND,,,31 Jan 2022,house,,763.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-137052130,Hawkesbury Heights,NSW,2777,66 Roberts Parade,"66 Roberts Parade, Hawkesbury Heights, NSW 2777",800000,"$800,000",house,3,2,1,,,759.0,m²,JIASPR,One Agency Springwood Ritchie Property Group,,,10 Sep 2021,house,,759.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-133878698,Hawkesbury Heights,NSW,2777,788 Hawkesbury Road,"788 Hawkesbury Road, Hawkesbury Heights, NSW 2777",575000,"$575,000",house,3,1,1,,,695.6,m²,XFNSPA,Lister Estate Agents - Springwood,,,13 Jul 2020,house,,695.6
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-132026802,Hawkesbury Heights,NSW,2777,18 Roberts Parade,"18 Roberts Parade, Hawkesbury Heights, NSW 2777",667000,"$667,000",house,3,2,2,,,-1.0,,JIASPR,One Agency Springwood Ritchie Property Group,,,30 Oct 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-132195182,Hawkesbury Heights,NSW,2777,29 Roberts Parade,"29 Roberts Parade, Hawkesbury Heights, NSW 2777",750000,"$750,000",house,3,2,1,,,695.0,m²,XFNSPA,Lister Estate Agents - Springwood,,,23 Oct 2019,house,,695.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-hawkesbury+heights-129133622,Hawkesbury Heights,NSW,2777,,,615000,"$615,000",house,3,2,2,,,866.0,m²,AJQDMV,Century 21 Combined - Springwood,,,19 Sep 2018,house,,866.0
