badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-other-nsw-haymarket-106323222,Haymarket,NSW,2000,8 QUAY,"8 QUAY, Haymarket, NSW 2000",,Contact agent,residential-other,0,1,0,57.97,m²,-1.0,,KUGYWN,Xingwang Property Real Estate - Hurstville,,,09 Nov 2012,house,57.97,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-haymarket-113686151,Haymarket,NSW,2000,1707/2 Quay Street,"1707/2 Quay Street, Haymarket, NSW 2000",810000,"$810,000",house,2,2,1,,,-1.0,,XRWBAA,Coopers Agency - BALMAIN,,,26 May 2013,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-121419990,Haymarket,NSW,2000,150/107 Quay Street,"150/107 Quay Street, Haymarket, NSW 2000",390000,"$390,000",apartment,0,1,0,297.29,m²,-1.0,,MDUSYD,Mint Residential  - Sydney,,,01 Apr 2016,unit apartment,297.29,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-115994699,Haymarket,NSW,2000,154/2 Dixon Street,"154/2 Dixon Street, Haymarket, NSW 2000",387000,"$387,000",studio,0,1,0,,,-1.0,,MZLZZU,Morton - Sydney,,,10 Feb 2014,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-114736555,Haymarket,NSW,2000,57/2 Dixon Street,"57/2 Dixon Street, Haymarket, NSW 2000",360000,"$360,000",studio,0,1,0,65,m²,-1.0,,CJMDOU,Charles & Stuart Real Estate - Paddington,,,04 Oct 2013,unit apartment,65,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-105854515,Haymarket,NSW,2000,1106/653-659 George St,"1106/653-659 George St, Haymarket, NSW 2000",270000,"$270,000",apartment,0,1,0,31,m²,-1.0,,,,,,26 Mar 2010,unit apartment,31,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-139249227,Haymarket,NSW,2000,908/653-659 George Street,"908/653-659 George Street, Haymarket, NSW 2000",,Contact agent,apartment,0,1,0,,,29.0,m²,ZRTGVJ,Greencliff - Sydney,,,18 Oct 2022,unit apartment,,29.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-138118458,Haymarket,NSW,2000,1206/653-659 George Street,"1206/653-659 George Street, Haymarket, NSW 2000",301500,"$301,500",studio,0,1,0,,,-1.0,,RUPART,Little Real Estate                                                                                  ,,,30 Mar 2022,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-134315078,Haymarket,NSW,2000,S1701/178 Thomas Street,"S1701/178 Thomas Street, Haymarket, NSW 2000",,Contact agent,apartment,0,1,0,,,-1.0,,UYCNVS,Ace Properties (Aust) Pty Ltd - Sydney,,,24 May 2021,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-132343522,Haymarket,NSW,2000,1021/1 Steam Mill Lane,"1021/1 Steam Mill Lane, Haymarket, NSW 2000",,Contact agent,apartment,0,1,0,,,-1.0,,LMMMIX,Legend Property - SYDNEY,,,17 Feb 2020,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-126642062,Haymarket,NSW,2000,206/653-659  George Street,"206/653-659  George Street, Haymarket, NSW 2000",300000,"$300,000",apartment,0,1,0,,,-1.0,,ZEHQET,Dixon Real Estate - KINGSFORD,,,08 Mar 2018,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-114831775,Haymarket,NSW,2000,907/2-8 Cunningham Street,"907/2-8 Cunningham Street, Haymarket, NSW 2000",,Contact agent,studio,0,1,0,63,m²,-1.0,,CJMDOU,Charles & Stuart Real Estate - Paddington,,,19 Nov 2013,unit apartment,63,-1.0
Sold,https://www.realestate.com.au/sold/property-apartment-nsw-haymarket-114638851,Haymarket,NSW,2000,107 Quay Street,"107 Quay Street, Haymarket, NSW 2000",,Contact agent,apartment,0,1,0,,,-1.0,,,,,,29 Oct 2013,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-111694055,Haymarket,NSW,2000,903/2 Cunningham Street,"903/2 Cunningham Street, Haymarket, NSW 2000",300000,"$300,000",studio,0,1,0,,,-1.0,,GJGKEX,Maison Bridge Property - WEST RYDE ,,,27 May 2013,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-113234087,Haymarket,NSW,2000,100/107 Quay Street,"100/107 Quay Street, Haymarket, NSW 2000",310000,"$310,000",studio,0,1,0,,,-1.0,,,,,,09 Apr 2013,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-111185275,Haymarket,NSW,2000,707/653-659 George Street,"707/653-659 George Street, Haymarket, NSW 2000",262000,"$262,000",studio,0,1,0,29,m²,-1.0,,XRWSYD,Ray White - City South,,,20 Nov 2012,unit apartment,29,-1.0
Sold,https://www.realestate.com.au/sold/property-studio-nsw-haymarket-106651035,Haymarket,NSW,2000,8 Dixon Street,"8 Dixon Street, Haymarket, NSW 2000",,Contact agent,studio,0,1,0,,,-1.0,,XLJSYF,LJ Hooker - Chinatown,,,09 Aug 2010,unit apartment,,-1.0
Sold,https://www.realestate.com.au/sold/property-serviced+apartment-nsw-haymarket-106054870,Haymarket,NSW,2000,1212/653-659 George St.,"1212/653-659 George St., Haymarket, NSW 2000",2308545000,"Range: $1,986,420,000 - $2,308,545,000",serviced-apartment,0,1,0,,,-1.0,,,,,,12 Oct 2009,unit apartment,,-1.0
