badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-141070204,Heckenberg,NSW,2168,54 South Liverpool Road,"54 South Liverpool Road, Heckenberg, NSW 2168",765000,"$765,000",house,3,1,2,,,556.0,m²,HRXGDD,J Nguyen Property Agents - CANLEY VALE,,,28 Feb 2023,house,,556.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-141146404,Heckenberg,NSW,2168,38 South Liverpool Road,"38 South Liverpool Road, Heckenberg, NSW 2168",636500,"$636,500",house,3,1,0,,,581.7,m²,YHOLQM,Ray White Carnes Hill - HOXTON PARK,,,02 Feb 2023,house,,581.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-140239015,Heckenberg,NSW,2168,22 South Liverpool Road,"22 South Liverpool Road, Heckenberg, NSW 2168",800000,"$800,000",house,3,3,10,,,563.0,m²,XRWGRC,Ray White - Green Valley,,,05 Oct 2022,house,,563.0
Sold,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-heckenberg-139773855,Heckenberg,NSW,2168,76b North Liverpool Road,"76b North Liverpool Road, Heckenberg, NSW 2168",686000,"$686,000",duplex-semi-detached,3,1,1,,,272.1,m²,XRWXFE,Ray White - Wetherill Park/ Cecil Hills,,,02 Aug 2022,house,,272.1
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-139641731,Heckenberg,NSW,2168,66 Matthew Ave,"66 Matthew Ave, Heckenberg, NSW 2168",840000,"$840,000",house,3,1,1,,,639.0,m²,BECKAI,LJ Hooker - Cabramatta  ,,,11 Jul 2022,house,,639.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-138508975,Heckenberg,NSW,2168,26 St Johns Road,"26 St Johns Road, Heckenberg, NSW 2168",835000,"$835,000",house,3,1,3,,,632.3,m²,STALIL,Prudential Real Estate - Liverpool,,,22 Feb 2022,house,,632.3
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-138274114,Heckenberg,NSW,2168,8 Barham Street,"8 Barham Street, Heckenberg, NSW 2168",854000,"$854,000",house,3,1,4,,,604.0,m²,XRWGRC,Ray White - Green Valley,,,05 Feb 2022,house,,604.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-137524874,Heckenberg,NSW,2168,53 Guthega Crescent,"53 Guthega Crescent, Heckenberg, NSW 2168",880000,"$880,000",house,3,2,4,,,600.7,m²,STALIL,Prudential Real Estate - Liverpool,,,13 Nov 2021,house,,600.7
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-137236830,Heckenberg,NSW,2168,62 North Liverpool Road,"62 North Liverpool Road, Heckenberg, NSW 2168",921000,"$921,000",house,3,1,2,,,689.2,m²,COILIV,Community First Real Estate - Liverpool,,,09 Oct 2021,house,,689.2
Sold,https://www.realestate.com.au/sold/property-house-nsw-heckenberg-136579058,Heckenberg,NSW,2168,38 Munyang Street,"38 Munyang Street, Heckenberg, NSW 2168",690000,"$690,000",house,3,1,2,,,583.0,m²,XIYWHQ,Stone Real Estate Macarthur,,,05 Jul 2021,house,,583.0
