badge,url,suburb,state,postcode,short_address,full_address,price,price_text,property_type_detail,bedrooms,bathrooms,parking_spaces,building_size,building_size_unit,land_size,land_size_unit,listing_company_id,listing_company_name,auction_date,available_date,sold_date,property_type,building_size_clean,land_size_clean
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-128801606,Helensburgh,NSW,2508,21 Harper Lane,"21 Harper Lane, Helensburgh, NSW 2508",590000,"$590,000",house,1,1,1,,,455.2,m²,XRWHEB,Ray White - Helensburgh,,,31 Jul 2018,house,,455.2
Sold,https://www.realestate.com.au/sold/property-other-nsw-helensburgh-111665535,Helensburgh,NSW,2508,10 Walker Street,"10 Walker Street, Helensburgh, NSW 2508",530500,"$530,500",residential-other,1,1,4,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,30 Oct 2012,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-140221619,Helensburgh,NSW,2508,14 Bulgo Road,"14 Bulgo Road, Helensburgh, NSW 2508",830000,"$830,000",house,2,1,2,,,462.0,m²,VJSMGZ,Raine & Horne - Helensburgh,,,06 Sep 2022,house,,462.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-139925059,Helensburgh,NSW,2508,108 Parkes Street,"108 Parkes Street, Helensburgh, NSW 2508",970000,"$970,000",house,2,1,4,,,495.0,m²,UTFACO,Molenaar + McNeice,,,05 Aug 2022,house,,495.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-133659042,Helensburgh,NSW,2508,12 Stuart Street,"12 Stuart Street, Helensburgh, NSW 2508",790000,"$790,000",house,2,1,1,,,740.0,m²,XRWHEB,Ray White - Helensburgh,,,19 Jun 2020,house,,740.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-132648010,Helensburgh,NSW,2508,144 Parkes Street,"144 Parkes Street, Helensburgh, NSW 2508",820000,"$820,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,17 Jan 2020,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-131382182,Helensburgh,NSW,2508,26 Foster Street,"26 Foster Street, Helensburgh, NSW 2508",552000,"$552,000",house,2,1,1,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,30 Jul 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-129796686,Helensburgh,NSW,2508,2/18A Hay Street,"2/18A Hay Street, Helensburgh, NSW 2508",685000,"$685,000",house,2,1,3,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,06 Feb 2019,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-129265338,Helensburgh,NSW,2508,15 Foster Street,"15 Foster Street, Helensburgh, NSW 2508",670000,"$670,000",house,2,1,2,,,-1.0,,XRWHEB,Ray White - Helensburgh,,,10 Oct 2018,house,,-1.0
Sold,https://www.realestate.com.au/sold/property-house-nsw-helensburgh-128263562,Helensburgh,NSW,2508,5 Cowper Street,"5 Cowper Street, Helensburgh, NSW 2508",595000,"$595,000",house,2,1,1,,,-1.0,,GNHNIS,Laurence Morgan -  Woonona,,,23 May 2018,house,,-1.0
